Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE","District 15 Estimate","District 15 MOE","District 16 Estimate","District 16 MOE","District 17 Estimate","District 17 MOE","District 18 Estimate","District 18 MOE","District 19 Estimate","District 19 MOE","District 20 Estimate","District 20 MOE","District 21 Estimate","District 21 MOE","District 22 Estimate","District 22 MOE","District 23 Estimate","District 23 MOE","District 24 Estimate","District 24 MOE","District 25 Estimate","District 25 MOE","District 26 Estimate","District 26 MOE","District 27 Estimate","District 27 MOE","District 28 Estimate","District 28 MOE"
People,"Veteran Status","Civilian veterans","89,785","(+/-4,972)","55,062","(+/-3,794)","60,574","(+/-4,608)","73,997","(+/-4,118)","64,731","(+/-5,380)","68,321","(+/-4,103)","50,339","(+/-3,960)","80,013","(+/-3,740)","39,244","(+/-4,863)","31,559","(+/-3,764)","58,541","(+/-3,887)","73,581","(+/-3,980)","55,922","(+/-3,350)","39,718","(+/-3,972)","45,749","(+/-3,931)","59,042","(+/-4,083)","63,277","(+/-4,368)","51,000","(+/-3,723)","51,770","(+/-3,342)","25,262","(+/-3,243)","48,861","(+/-3,600)","29,046","(+/-2,956)","26,561","(+/-3,068)","14,691","(+/-2,283)","21,516","(+/-3,173)","16,780","(+/-2,354)","13,315","(+/-2,045)","18,800","(+/-2,182)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population","759,791","(+/-5,332)","759,944","(+/-4,772)","776,544","(+/-11,170)","794,774","(+/-15,402)","821,928","(+/-14,572)","810,728","(+/-16,060)","796,204","(+/-6,102)","808,857","(+/-2,132)","838,693","(+/-20,378)","774,365","(+/-20,336)","829,833","(+/-17,520)","836,450","(+/-8,856)","756,416","(+/-7,887)","776,936","(+/-20,812)","821,364","(+/-24,579)","842,742","(+/-18,682)","840,387","(+/-9,350)","838,523","(+/-15,639)","801,579","(+/-12,168)","794,992","(+/-17,164)","812,826","(+/-9,497)","767,935","(+/-14,472)","772,275","(+/-16,411)","767,863","(+/-16,939)","776,020","(+/-10,371)","801,366","(+/-14,991)","741,570","(+/-17,726)","755,492","(+/-17,830)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","123,253","(+/-6,753)","118,645","(+/-6,558)","123,949","(+/-6,132)","128,825","(+/-7,673)","100,895","(+/-6,728)","144,513","(+/-7,338)","109,432","(+/-7,619)","128,310","(+/-7,394)","106,831","(+/-8,802)","87,781","(+/-6,832)","107,684","(+/-5,243)","157,101","(+/-7,432)","116,196","(+/-5,924)","101,578","(+/-6,457)","103,512","(+/-6,492)","118,801","(+/-7,057)","137,846","(+/-6,775)","131,865","(+/-5,986)","109,815","(+/-5,456)","92,121","(+/-6,916)","110,812","(+/-6,509)","91,142","(+/-5,622)","89,566","(+/-6,703)","82,513","(+/-4,920)","85,824","(+/-6,023)","87,416","(+/-6,469)","81,035","(+/-4,620)","73,688","(+/-5,663)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years","172,723","(+/-2,087)","155,504","(+/-2,212)","149,697","(+/-4,661)","184,216","(+/-8,218)","181,969","(+/-8,040)","145,575","(+/-7,259)","158,042","(+/-3,855)","142,225","(+/-1,337)","187,332","(+/-8,598)","156,729","(+/-6,650)","160,262","(+/-8,700)","152,942","(+/-4,579)","111,804","(+/-4,776)","144,193","(+/-9,838)","193,011","(+/-11,679)","172,389","(+/-7,790)","128,621","(+/-4,717)","178,409","(+/-7,999)","116,886","(+/-5,276)","173,642","(+/-8,864)","147,342","(+/-4,931)","142,288","(+/-7,224)","147,106","(+/-8,852)","176,690","(+/-8,324)","158,915","(+/-10,050)","147,417","(+/-6,226)","133,095","(+/-8,121)","155,700","(+/-9,221)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","9,927","(+/-2,176)","9,780","(+/-1,958)","9,950","(+/-2,161)","13,199","(+/-2,372)","7,177","(+/-1,733)","10,214","(+/-2,484)","6,660","(+/-1,927)","6,062","(+/-1,796)","14,246","(+/-3,127)","8,760","(+/-2,276)","6,384","(+/-2,034)","9,692","(+/-2,124)","6,585","(+/-1,643)","7,006","(+/-2,094)","4,806","(+/-1,360)","11,775","(+/-2,490)","5,731","(+/-1,972)","9,966","(+/-1,973)","3,757","(+/-1,171)","8,691","(+/-2,442)","5,518","(+/-1,302)","5,226","(+/-1,694)","5,914","(+/-1,821)","6,899","(+/-1,974)","8,832","(+/-2,272)","7,794","(+/-1,872)","3,956","(+/-1,257)","7,126","(+/-1,665)"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years","447,021","(+/-4,492)","464,352","(+/-3,628)","458,749","(+/-7,728)","476,908","(+/-9,968)","498,697","(+/-10,173)","438,283","(+/-11,515)","478,821","(+/-5,689)","448,514","(+/-1,723)","533,381","(+/-14,228)","521,904","(+/-14,139)","450,421","(+/-12,273)","466,542","(+/-6,433)","437,352","(+/-6,068)","498,700","(+/-15,568)","493,203","(+/-16,474)","480,954","(+/-12,589)","414,437","(+/-6,763)","480,410","(+/-9,151)","417,343","(+/-8,262)","484,532","(+/-12,241)","441,118","(+/-8,249)","422,057","(+/-11,496)","452,651","(+/-13,207)","463,920","(+/-12,190)","483,401","(+/-8,808)","490,546","(+/-10,414)","470,628","(+/-13,682)","471,278","(+/-13,328)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","62,228","(+/-5,049)","59,676","(+/-4,799)","56,830","(+/-4,506)","71,297","(+/-5,901)","55,201","(+/-5,382)","58,587","(+/-5,418)","53,573","(+/-5,173)","54,717","(+/-5,611)","53,288","(+/-5,904)","47,243","(+/-4,651)","37,940","(+/-3,799)","73,271","(+/-5,561)","45,413","(+/-3,830)","48,978","(+/-4,669)","51,666","(+/-5,279)","47,471","(+/-4,530)","46,702","(+/-4,790)","57,368","(+/-4,587)","33,785","(+/-3,735)","39,128","(+/-4,703)","38,758","(+/-4,396)","27,872","(+/-3,417)","35,782","(+/-5,016)","37,357","(+/-3,561)","32,583","(+/-3,286)","30,068","(+/-3,455)","30,041","(+/-3,452)","31,913","(+/-3,910)"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over","140,047","(+/-1,775)","140,088","(+/-1,888)","168,098","(+/-3,710)","133,650","(+/-3,564)","141,262","(+/-4,316)","226,870","(+/-5,303)","159,341","(+/-3,432)","218,118","(+/-1,097)","117,980","(+/-4,721)","95,732","(+/-5,239)","219,150","(+/-6,144)","216,966","(+/-3,319)","207,260","(+/-3,585)","134,043","(+/-5,900)","135,150","(+/-6,154)","189,399","(+/-4,497)","297,329","(+/-3,657)","179,704","(+/-3,953)","267,350","(+/-5,775)","136,818","(+/-5,964)","224,366","(+/-4,610)","203,590","(+/-5,819)","172,518","(+/-7,395)","127,253","(+/-5,852)","133,704","(+/-6,318)","163,403","(+/-6,456)","137,847","(+/-6,672)","128,514","(+/-6,047)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","51,098","(+/-3,219)","49,189","(+/-3,077)","57,169","(+/-3,311)","44,329","(+/-3,746)","38,517","(+/-3,425)","75,712","(+/-4,315)","49,199","(+/-4,958)","67,531","(+/-4,324)","39,297","(+/-4,149)","31,778","(+/-3,108)","63,360","(+/-4,265)","74,138","(+/-4,147)","64,198","(+/-4,013)","45,594","(+/-4,246)","47,040","(+/-3,906)","59,555","(+/-4,199)","85,413","(+/-3,678)","64,531","(+/-3,831)","72,273","(+/-4,675)","44,302","(+/-4,477)","66,536","(+/-4,120)","58,044","(+/-4,276)","47,870","(+/-3,535)","38,257","(+/-2,970)","44,409","(+/-4,459)","49,554","(+/-4,219)","47,038","(+/-3,796)","34,649","(+/-3,422)"
People,"Residence 1 Year Ago","Population 1 year and over","794,569","(+/-4,133)","791,920","(+/-4,764)","799,686","(+/-11,496)","800,875","(+/-14,712)","829,176","(+/-14,705)","814,992","(+/-16,120)","796,448","(+/-5,868)","811,760","(+/-2,411)","833,661","(+/-20,236)","777,098","(+/-20,309)","835,387","(+/-17,795)","837,302","(+/-8,700)","762,023","(+/-8,145)","777,391","(+/-20,176)","818,365","(+/-24,405)","844,782","(+/-19,149)","846,145","(+/-9,066)","842,831","(+/-14,976)","802,989","(+/-12,017)","794,703","(+/-17,162)","812,903","(+/-9,912)","764,467","(+/-14,605)","775,870","(+/-16,613)","762,843","(+/-16,690)","769,387","(+/-10,205)","801,670","(+/-15,151)","738,384","(+/-17,553)","757,839","(+/-17,324)"
People,"Residence 1 Year Ago","Same house","671,234","(+/-10,543)","666,747","(+/-10,431)","662,259","(+/-12,158)","680,963","(+/-14,041)","694,386","(+/-17,752)","719,660","(+/-16,722)","705,404","(+/-10,021)","719,818","(+/-8,957)","714,467","(+/-20,060)","639,179","(+/-21,274)","735,228","(+/-18,515)","738,422","(+/-11,629)","664,966","(+/-8,948)","647,551","(+/-20,357)","695,672","(+/-22,085)","731,974","(+/-19,303)","732,702","(+/-11,862)","729,889","(+/-15,978)","699,841","(+/-14,135)","694,031","(+/-17,996)","733,069","(+/-12,849)","666,357","(+/-16,182)","656,569","(+/-17,433)","649,238","(+/-16,431)","668,356","(+/-14,293)","687,984","(+/-15,268)","644,017","(+/-18,385)","691,351","(+/-18,207)"
People,"Residence 1 Year Ago","Different house (in the U.S. or abroad)","123,335","(+/-9,495)","125,173","(+/-9,423)","137,427","(+/-10,826)","119,912","(+/-10,127)","134,790","(+/-11,646)","95,332","(+/-10,764)","91,044","(+/-9,041)","91,942","(+/-8,483)","119,194","(+/-12,075)","137,919","(+/-11,924)","100,159","(+/-8,857)","98,880","(+/-9,305)","97,057","(+/-7,005)","129,840","(+/-9,515)","122,693","(+/-12,548)","112,808","(+/-10,301)","113,443","(+/-9,812)","112,942","(+/-9,507)","103,148","(+/-7,732)","100,672","(+/-10,310)","79,834","(+/-8,423)","98,110","(+/-11,563)","119,301","(+/-13,668)","113,605","(+/-10,982)","101,031","(+/-11,313)","113,686","(+/-9,393)","94,367","(+/-8,400)","66,488","(+/-7,343)"
People,"Residence 1 Year Ago","Different house in the U.S.","117,155","(+/-9,067)","121,284","(+/-9,271)","129,863","(+/-11,019)","115,900","(+/-10,206)","127,429","(+/-10,911)","90,564","(+/-10,235)","83,864","(+/-8,200)","86,609","(+/-8,436)","104,520","(+/-10,580)","127,703","(+/-11,373)","96,386","(+/-8,558)","92,953","(+/-8,556)","91,832","(+/-6,812)","111,374","(+/-8,706)","112,529","(+/-12,098)","102,510","(+/-9,775)","104,922","(+/-9,979)","104,407","(+/-8,920)","93,247","(+/-7,112)","87,848","(+/-9,889)","74,949","(+/-7,801)","85,139","(+/-11,144)","104,238","(+/-13,025)","95,566","(+/-9,587)","82,437","(+/-10,062)","84,117","(+/-8,947)","69,312","(+/-7,532)","51,607","(+/-5,830)"
People,"Residence 1 Year Ago","Same county","49,280","(+/-6,268)","55,504","(+/-7,361)","47,898","(+/-7,917)","59,718","(+/-8,527)","58,589","(+/-7,116)","33,115","(+/-5,167)","34,285","(+/-6,481)","43,177","(+/-6,177)","49,066","(+/-8,237)","70,059","(+/-9,084)","34,179","(+/-6,436)","37,955","(+/-7,736)","48,537","(+/-5,348)","57,342","(+/-6,877)","61,037","(+/-8,895)","42,040","(+/-6,187)","51,400","(+/-8,175)","45,378","(+/-7,282)","50,635","(+/-6,954)","60,646","(+/-8,991)","33,803","(+/-6,446)","52,490","(+/-9,316)","64,330","(+/-10,415)","73,511","(+/-8,883)","40,178","(+/-6,342)","63,624","(+/-8,484)","49,573","(+/-6,703)","39,158","(+/-5,498)"
People,"Residence 1 Year Ago","Different county","67,875","(+/-7,223)","65,780","(+/-6,598)","81,965","(+/-8,670)","56,182","(+/-6,866)","68,840","(+/-7,537)","57,449","(+/-8,732)","49,579","(+/-5,253)","43,432","(+/-6,067)","55,454","(+/-8,995)","57,644","(+/-6,125)","62,207","(+/-8,536)","54,998","(+/-6,295)","43,295","(+/-4,529)","54,032","(+/-5,992)","51,492","(+/-8,401)","60,470","(+/-8,151)","53,522","(+/-6,643)","59,029","(+/-7,332)","42,612","(+/-5,372)","27,202","(+/-4,839)","41,146","(+/-5,020)","32,649","(+/-5,931)","39,908","(+/-8,416)","22,055","(+/-4,259)","42,259","(+/-8,555)","20,493","(+/-3,785)","19,739","(+/-3,574)","12,449","(+/-2,390)"
People,"Residence 1 Year Ago","Same state","20,855","(+/-3,363)","43,093","(+/-4,466)","56,563","(+/-6,129)","26,655","(+/-4,434)","30,536","(+/-5,640)","31,764","(+/-5,637)","30,544","(+/-4,365)","18,059","(+/-4,290)","27,273","(+/-6,513)","42,323","(+/-5,413)","34,171","(+/-7,316)","32,411","(+/-5,044)","18,370","(+/-3,187)","24,553","(+/-4,613)","31,727","(+/-7,366)","27,187","(+/-6,057)","23,778","(+/-4,909)","38,130","(+/-6,679)","15,839","(+/-4,415)","16,721","(+/-4,279)","24,475","(+/-4,138)","11,223","(+/-3,045)","16,323","(+/-4,782)","10,902","(+/-2,971)","28,705","(+/-7,958)","8,870","(+/-2,645)","7,414","(+/-2,420)","8,360","(+/-2,125)"
People,"Residence 1 Year Ago","Different state","47,020","(+/-6,014)","22,687","(+/-4,494)","25,402","(+/-5,815)","29,527","(+/-6,078)","38,304","(+/-5,591)","25,685","(+/-5,647)","19,035","(+/-3,641)","25,373","(+/-4,480)","28,181","(+/-6,919)","15,321","(+/-3,067)","28,036","(+/-4,757)","22,587","(+/-3,812)","24,925","(+/-3,512)","29,479","(+/-3,830)","19,765","(+/-4,211)","33,283","(+/-5,996)","29,744","(+/-4,669)","20,899","(+/-3,284)","26,773","(+/-3,974)","10,481","(+/-2,783)","16,671","(+/-2,658)","21,426","(+/-4,559)","23,585","(+/-6,334)","11,153","(+/-3,205)","13,554","(+/-3,769)","11,623","(+/-2,643)","12,325","(+/-2,382)","4,089","(+/-1,486)"
People,"Residence 1 Year Ago",Abroad,"6,180","(+/-2,043)","3,889","(+/-1,121)","7,564","(+/-2,811)","4,012","(+/-2,554)","7,361","(+/-2,932)","4,768","(+/-1,676)","7,180","(+/-3,009)","5,333","(+/-1,946)","14,674","(+/-4,423)","10,216","(+/-2,511)","3,773","(+/-2,057)","5,927","(+/-3,334)","5,225","(+/-1,562)","18,466","(+/-3,804)","10,164","(+/-2,651)","10,298","(+/-4,342)","8,521","(+/-2,003)","8,535","(+/-2,368)","9,901","(+/-2,913)","12,824","(+/-3,189)","4,885","(+/-2,060)","12,971","(+/-3,027)","15,063","(+/-3,744)","18,039","(+/-4,141)","18,594","(+/-5,666)","29,569","(+/-4,521)","25,055","(+/-4,600)","14,881","(+/-3,363)"
Workers,"Employment Status","Population 16 years and over","654,450","(+/-4,103)","663,734","(+/-3,650)","674,661","(+/-8,856)","650,778","(+/-10,352)","675,724","(+/-10,938)","694,529","(+/-13,044)","665,888","(+/-6,412)","691,858","(+/-2,607)","676,313","(+/-15,374)","643,678","(+/-17,125)","702,818","(+/-14,052)","711,784","(+/-7,186)","669,936","(+/-7,051)","659,823","(+/-16,007)","657,543","(+/-18,008)","697,499","(+/-14,307)","738,568","(+/-7,888)","694,969","(+/-10,043)","707,914","(+/-10,676)","649,855","(+/-14,180)","694,632","(+/-8,812)","647,211","(+/-11,724)","648,502","(+/-15,357)","615,789","(+/-13,865)","640,322","(+/-9,313)","681,030","(+/-12,591)","629,980","(+/-14,737)","628,672","(+/-13,378)"
Workers,"Employment Status","In labor force","404,304","(+/-7,013)","392,216","(+/-6,505)","362,700","(+/-9,737)","403,777","(+/-11,605)","443,947","(+/-10,679)","356,144","(+/-11,517)","416,266","(+/-7,542)","381,889","(+/-6,900)","457,143","(+/-12,330)","437,159","(+/-13,639)","384,174","(+/-11,745)","373,484","(+/-9,513)","390,327","(+/-8,669)","436,529","(+/-13,312)","416,343","(+/-15,590)","417,432","(+/-12,482)","360,415","(+/-8,101)","389,304","(+/-10,322)","358,994","(+/-9,597)","434,107","(+/-12,771)","389,395","(+/-8,479)","380,587","(+/-12,643)","408,227","(+/-12,659)","397,703","(+/-12,013)","434,549","(+/-11,480)","420,048","(+/-10,522)","417,026","(+/-12,541)","403,739","(+/-12,245)"
Workers,"Employment Status","Civilian labor force","372,350","(+/-8,008)","389,313","(+/-6,732)","362,348","(+/-9,699)","393,406","(+/-11,762)","433,752","(+/-10,503)","355,700","(+/-11,521)","415,687","(+/-7,662)","379,850","(+/-6,707)","456,671","(+/-12,446)","436,775","(+/-13,703)","383,482","(+/-11,811)","373,297","(+/-9,556)","389,345","(+/-8,421)","432,901","(+/-13,374)","415,285","(+/-15,593)","414,266","(+/-12,324)","359,691","(+/-8,134)","388,403","(+/-10,666)","358,619","(+/-9,588)","433,806","(+/-12,783)","388,990","(+/-8,387)","380,587","(+/-12,643)","407,743","(+/-12,651)","397,039","(+/-11,932)","434,213","(+/-11,494)","419,829","(+/-10,499)","416,135","(+/-12,492)","401,661","(+/-12,160)"
Workers,"Employment Status",Employed,"356,975","(+/-8,289)","371,260","(+/-7,074)","345,373","(+/-10,265)","374,624","(+/-11,940)","420,574","(+/-10,110)","339,140","(+/-11,067)","399,376","(+/-8,031)","362,697","(+/-7,473)","434,918","(+/-12,510)","417,470","(+/-13,391)","369,389","(+/-11,530)","354,127","(+/-9,399)","374,573","(+/-8,218)","414,631","(+/-13,011)","399,943","(+/-15,314)","399,012","(+/-12,282)","346,865","(+/-8,507)","372,976","(+/-10,839)","345,402","(+/-9,179)","412,992","(+/-12,637)","372,656","(+/-8,772)","362,304","(+/-12,628)","393,267","(+/-11,667)","375,886","(+/-11,078)","416,234","(+/-11,544)","405,379","(+/-10,748)","401,673","(+/-12,178)","391,479","(+/-12,013)"
Workers,"Employment Status",Unemployed,"15,375","(+/-2,459)","18,053","(+/-2,445)","16,975","(+/-2,653)","18,782","(+/-3,441)","13,178","(+/-2,595)","16,560","(+/-2,590)","16,311","(+/-3,005)","17,153","(+/-2,737)","21,753","(+/-3,522)","19,305","(+/-3,075)","14,093","(+/-3,038)","19,170","(+/-3,409)","14,772","(+/-2,442)","18,270","(+/-3,126)","15,342","(+/-2,460)","15,254","(+/-2,303)","12,826","(+/-2,163)","15,427","(+/-2,350)","13,217","(+/-2,503)","20,814","(+/-2,955)","16,334","(+/-2,454)","18,283","(+/-3,580)","14,476","(+/-2,955)","21,153","(+/-3,216)","17,979","(+/-3,377)","14,450","(+/-2,494)","14,462","(+/-2,010)","10,182","(+/-1,817)"
Workers,"Employment Status","Armed Forces","31,954","(+/-3,363)","2,903","(+/-1,080)",352,(+/-289),"10,371","(+/-2,115)","10,195","(+/-2,592)",444,(+/-360),579,(+/-452),"2,039",(+/-945),472,(+/-499),384,(+/-411),692,(+/-849),187,(+/-193),982,(+/-896),"3,628","(+/-1,277)","1,058",(+/-612),"3,166","(+/-1,588)",724,(+/-484),901,(+/-876),375,(+/-215),301,(+/-295),405,(+/-373),0,(+/-243),484,(+/-695),664,(+/-491),336,(+/-297),219,(+/-261),891,(+/-890),"2,078","(+/-1,164)"
Workers,"Employment Status","Not in labor force","250,146","(+/-6,917)","271,518","(+/-6,224)","311,961","(+/-7,977)","247,001","(+/-9,129)","231,777","(+/-9,527)","338,385","(+/-8,559)","249,622","(+/-6,898)","309,969","(+/-7,726)","219,170","(+/-10,363)","206,519","(+/-8,778)","318,644","(+/-8,599)","338,300","(+/-9,436)","279,609","(+/-6,673)","223,294","(+/-9,248)","241,200","(+/-9,073)","280,067","(+/-7,872)","378,153","(+/-7,576)","305,665","(+/-8,438)","348,920","(+/-8,445)","215,748","(+/-10,090)","305,237","(+/-7,820)","266,624","(+/-8,965)","240,275","(+/-8,467)","218,086","(+/-8,269)","205,773","(+/-8,883)","260,982","(+/-8,768)","212,954","(+/-7,062)","224,933","(+/-8,412)"
Workers,"Employment Status","Civilian labor force","372,350","(+/-8,008)","389,313","(+/-6,732)","362,348","(+/-9,699)","393,406","(+/-11,762)","433,752","(+/-10,503)","355,700","(+/-11,521)","415,687","(+/-7,662)","379,850","(+/-6,707)","456,671","(+/-12,446)","436,775","(+/-13,703)","383,482","(+/-11,811)","373,297","(+/-9,556)","389,345","(+/-8,421)","432,901","(+/-13,374)","415,285","(+/-15,593)","414,266","(+/-12,324)","359,691","(+/-8,134)","388,403","(+/-10,666)","358,619","(+/-9,588)","433,806","(+/-12,783)","388,990","(+/-8,387)","380,587","(+/-12,643)","407,743","(+/-12,651)","397,039","(+/-11,932)","434,213","(+/-11,494)","419,829","(+/-10,499)","416,135","(+/-12,492)","401,661","(+/-12,160)"
Workers,"Employment Status","Unemployment Rate",4.1,(+/-0.7),4.6,(+/-0.6),4.7,(+/-0.8),4.8,(+/-0.9),3.0,(+/-0.6),4.7,(+/-0.7),3.9,(+/-0.7),4.5,(+/-0.7),4.8,(+/-0.8),4.4,(+/-0.7),3.7,(+/-0.8),5.1,(+/-0.9),3.8,(+/-0.6),4.2,(+/-0.7),3.7,(+/-0.6),3.7,(+/-0.6),3.6,(+/-0.6),4.0,(+/-0.6),3.7,(+/-0.7),4.8,(+/-0.7),4.2,(+/-0.6),4.8,(+/-0.9),3.6,(+/-0.7),5.3,(+/-0.8),4.1,(+/-0.8),3.4,(+/-0.6),3.5,(+/-0.5),2.5,(+/-0.4)
Workers,"Commuting to Work","Workers 16 years and over","379,862","(+/-7,979)","366,953","(+/-7,162)","338,100","(+/-10,625)","378,855","(+/-11,895)","424,883","(+/-10,263)","333,275","(+/-10,968)","394,287","(+/-8,133)","358,525","(+/-8,131)","427,218","(+/-12,339)","410,156","(+/-12,968)","364,689","(+/-11,270)","347,970","(+/-9,358)","366,997","(+/-8,606)","410,756","(+/-13,187)","393,983","(+/-15,044)","395,558","(+/-12,008)","340,206","(+/-8,605)","368,089","(+/-10,297)","341,877","(+/-9,218)","405,600","(+/-12,825)","367,680","(+/-8,764)","354,449","(+/-12,501)","387,466","(+/-11,561)","367,751","(+/-11,284)","410,708","(+/-11,985)","398,915","(+/-10,784)","396,458","(+/-12,450)","388,408","(+/-12,266)"
Workers,"Commuting to Work","Car, truck, or van -- drove alone","279,498","(+/-8,522)","276,645","(+/-7,674)","244,558","(+/-9,259)","267,676","(+/-10,624)","273,433","(+/-9,609)","238,028","(+/-9,801)","271,142","(+/-8,817)","262,888","(+/-7,833)","299,380","(+/-10,604)","278,372","(+/-11,609)","249,407","(+/-11,500)","240,774","(+/-8,666)","248,511","(+/-7,764)","262,272","(+/-10,322)","261,288","(+/-12,334)","269,696","(+/-12,908)","236,709","(+/-7,670)","261,236","(+/-10,099)","239,742","(+/-8,840)","287,341","(+/-10,891)","263,881","(+/-7,978)","250,465","(+/-9,676)","259,498","(+/-10,052)","235,002","(+/-9,924)","282,893","(+/-9,722)","266,941","(+/-9,676)","253,038","(+/-9,742)","283,177","(+/-10,825)"
Workers,"Commuting to Work","Car, truck, or van -- carpooled","38,063","(+/-3,846)","35,523","(+/-3,388)","35,828","(+/-5,069)","39,750","(+/-5,430)","34,063","(+/-4,451)","36,233","(+/-4,659)","34,321","(+/-4,338)","35,014","(+/-4,120)","48,593","(+/-6,290)","38,713","(+/-5,410)","30,459","(+/-4,432)","33,441","(+/-3,782)","30,193","(+/-4,477)","40,863","(+/-5,569)","38,556","(+/-5,353)","34,388","(+/-5,156)","32,943","(+/-4,279)","43,059","(+/-3,891)","27,993","(+/-4,186)","49,946","(+/-5,875)","35,010","(+/-4,385)","31,459","(+/-4,470)","33,968","(+/-4,531)","35,741","(+/-4,624)","37,958","(+/-4,934)","45,285","(+/-4,201)","33,840","(+/-3,531)","40,135","(+/-4,379)"
Workers,"Commuting to Work","Public transportation (excluding taxicab)","1,077",(+/-385),"4,407","(+/-1,562)","4,071","(+/-1,170)","2,473","(+/-1,226)","1,664","(+/-1,077)","1,520","(+/-1,012)","1,638",(+/-802),"1,411",(+/-815),"2,159","(+/-1,180)","8,581","(+/-2,501)","2,440","(+/-1,254)","1,042",(+/-806),"5,909","(+/-1,067)","6,073","(+/-1,873)","3,565","(+/-1,759)","3,391",(+/-942),"1,174",(+/-467),"1,714","(+/-1,372)","2,471","(+/-1,148)","16,891","(+/-3,156)","1,646",(+/-859),"4,954","(+/-1,658)","3,857","(+/-1,129)","22,176","(+/-3,484)","5,120","(+/-1,758)","8,687","(+/-2,116)","17,908","(+/-3,451)","5,979","(+/-2,018)"
Workers,"Commuting to Work",Walked,"8,730","(+/-1,464)","6,289","(+/-1,547)","7,144","(+/-2,126)","3,591","(+/-1,254)","5,434","(+/-2,216)","3,097","(+/-1,277)","4,366","(+/-1,323)","3,537","(+/-1,192)","5,569","(+/-2,072)","8,128","(+/-2,117)","5,162","(+/-1,337)","2,772","(+/-1,060)","4,204","(+/-1,271)","8,353","(+/-1,918)","6,007","(+/-1,745)","5,143","(+/-1,924)","3,378","(+/-1,163)","4,908","(+/-1,259)","4,796","(+/-1,788)","4,903","(+/-1,781)","3,750","(+/-1,398)","5,138","(+/-1,572)","5,587","(+/-1,540)","9,736","(+/-2,140)","4,775","(+/-1,524)","7,082","(+/-1,728)","13,954","(+/-2,306)","5,068","(+/-1,480)"
Workers,"Commuting to Work","Other means","7,921","(+/-2,301)","6,484","(+/-1,704)","7,814","(+/-2,076)","8,228","(+/-2,084)","10,929","(+/-2,604)","9,142","(+/-2,416)","6,558","(+/-1,898)","7,289","(+/-2,037)","9,537","(+/-2,363)","7,648","(+/-1,932)","8,293","(+/-1,894)","11,477","(+/-2,396)","8,348","(+/-1,727)","8,637","(+/-1,742)","9,725","(+/-2,394)","9,661","(+/-1,963)","8,782","(+/-1,910)","13,156","(+/-2,359)","8,641","(+/-1,660)","11,125","(+/-2,768)","6,828","(+/-1,793)","10,911","(+/-3,016)","10,490","(+/-2,523)","17,882","(+/-2,660)","9,993","(+/-2,010)","10,717","(+/-2,480)","10,629","(+/-1,887)","8,409","(+/-1,662)"
Workers,"Commuting to Work","Worked from home","44,573","(+/-4,002)","37,605","(+/-3,320)","38,685","(+/-3,923)","57,137","(+/-5,330)","99,360","(+/-7,167)","45,255","(+/-4,195)","76,262","(+/-5,274)","48,386","(+/-4,075)","61,980","(+/-6,232)","68,714","(+/-5,307)","68,928","(+/-6,219)","58,464","(+/-4,915)","69,832","(+/-5,103)","84,558","(+/-6,548)","74,842","(+/-6,188)","73,279","(+/-7,161)","57,220","(+/-4,980)","44,016","(+/-4,797)","58,234","(+/-4,030)","35,394","(+/-3,484)","56,565","(+/-4,997)","51,522","(+/-4,955)","74,066","(+/-5,826)","47,214","(+/-4,126)","69,969","(+/-5,731)","60,203","(+/-5,228)","67,089","(+/-5,053)","45,640","(+/-4,381)"
Workers,"Commuting to Work","Mean travel time to work (minutes)",27.2,(+/-0.8),24.8,(+/-0.8),25.0,(+/-0.7),27.7,(+/-0.8),24.9,(+/-0.7),28.0,(+/-1.0),27.1,(+/-0.7),23.9,(+/-0.6),32.7,(+/-1.2),27.8,(+/-0.8),30.4,(+/-0.9),31.2,(+/-1.1),26.5,(+/-1.0),28.4,(+/-1.1),28.5,(+/-0.8),31.3,(+/-0.9),28.8,(+/-0.9),31.4,(+/-1.0),26.8,(+/-0.9),28.4,(+/-0.9),28.6,(+/-0.9),27.6,(+/-0.9),26.7,(+/-0.8),30.2,(+/-1.0),30.5,(+/-0.9),29.1,(+/-0.8),28.3,(+/-0.6),34.1,(+/-0.9)
