Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE"
People,"Veteran Status","Civilian population 18 years and over","598,165","(+/-4,136)","565,241","(+/-6,782)","609,966","(+/-6,962)","585,053","(+/-7,512)","629,204","(+/-9,776)","606,748","(+/-8,482)","580,997","(+/-9,802)","587,797","(+/-6,132)","627,813","(+/-9,116)","643,220","(+/-7,779)","618,784","(+/-8,523)","590,715","(+/-3,716)","582,167","(+/-12,464)","610,112","(+/-5,627)"
People,"Veteran Status","Civilian veterans","64,940","(+/-4,270)","52,330","(+/-3,666)","54,814","(+/-4,617)","36,096","(+/-3,905)","27,097","(+/-3,420)","30,336","(+/-2,992)","22,897","(+/-2,225)","51,802","(+/-4,198)","40,510","(+/-2,747)","42,065","(+/-3,283)","41,911","(+/-3,142)","54,388","(+/-4,132)","44,413","(+/-5,005)","44,599","(+/-3,591)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population","769,502","(+/-4,532)","723,670","(+/-8,854)","784,030","(+/-9,157)","758,732","(+/-10,575)","763,335","(+/-11,819)","795,184","(+/-9,650)","776,163","(+/-13,062)","747,914","(+/-8,226)","799,322","(+/-13,040)","824,200","(+/-9,496)","785,669","(+/-10,922)","747,520","(+/-4,809)","770,021","(+/-14,234)","787,567","(+/-7,944)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","125,739","(+/-7,177)","133,927","(+/-7,366)","119,396","(+/-7,139)","91,418","(+/-6,704)","93,241","(+/-6,094)","71,248","(+/-5,640)","67,814","(+/-4,095)","115,476","(+/-5,726)","112,425","(+/-6,668)","111,692","(+/-6,801)","81,474","(+/-5,700)","135,753","(+/-6,986)","83,169","(+/-6,057)","116,803","(+/-6,657)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years","183,279","(+/-2,225)","176,336","(+/-4,733)","180,771","(+/-4,326)","177,681","(+/-5,851)","144,740","(+/-7,758)","190,272","(+/-5,995)","196,185","(+/-6,177)","184,459","(+/-4,010)","181,329","(+/-6,776)","189,872","(+/-4,261)","171,977","(+/-5,127)","178,231","(+/-1,790)","191,127","(+/-8,810)","185,604","(+/-3,822)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","9,767","(+/-1,983)","8,822","(+/-1,720)","10,070","(+/-2,312)","10,644","(+/-3,055)","6,230","(+/-1,959)","6,711","(+/-1,449)","7,406","(+/-1,819)","10,217","(+/-2,164)","9,456","(+/-1,669)","10,883","(+/-2,784)","6,596","(+/-1,403)","16,853","(+/-3,516)","7,026","(+/-2,137)","9,302","(+/-2,084)"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years","455,187","(+/-4,629)","422,721","(+/-6,756)","468,331","(+/-6,957)","474,393","(+/-7,516)","518,362","(+/-9,157)","488,809","(+/-7,588)","486,482","(+/-9,316)","435,759","(+/-6,364)","473,388","(+/-9,175)","508,650","(+/-7,402)","498,576","(+/-8,525)","445,852","(+/-3,869)","481,216","(+/-11,814)","478,014","(+/-6,238)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","67,507","(+/-6,052)","77,839","(+/-6,391)","61,745","(+/-5,249)","45,073","(+/-4,660)","56,563","(+/-4,991)","32,601","(+/-3,932)","34,461","(+/-3,059)","55,059","(+/-4,294)","54,146","(+/-4,706)","59,278","(+/-5,203)","39,912","(+/-4,468)","69,655","(+/-4,684)","45,388","(+/-4,299)","61,565","(+/-5,099)"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over","131,036","(+/-2,133)","124,613","(+/-3,442)","134,928","(+/-3,285)","106,658","(+/-3,214)","100,233","(+/-5,615)","116,103","(+/-4,279)","93,496","(+/-2,872)","127,696","(+/-3,513)","144,605","(+/-3,242)","125,678","(+/-3,467)","115,116","(+/-3,450)","123,437","(+/-2,008)","97,678","(+/-4,804)","123,949","(+/-2,394)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","48,465","(+/-2,920)","47,266","(+/-3,332)","47,581","(+/-3,077)","35,701","(+/-2,747)","30,448","(+/-3,565)","31,936","(+/-3,082)","25,947","(+/-2,119)","50,200","(+/-2,806)","48,823","(+/-3,361)","41,531","(+/-2,760)","34,966","(+/-2,906)","49,245","(+/-2,643)","30,755","(+/-3,319)","45,936","(+/-2,752)"
People,"Residence 1 Year Ago","Population 1 year and over","790,911","(+/-4,049)","749,629","(+/-8,451)","783,706","(+/-7,966)","755,269","(+/-10,668)","767,411","(+/-11,896)","790,129","(+/-9,737)","768,013","(+/-12,980)","769,255","(+/-8,018)","802,226","(+/-13,375)","823,018","(+/-9,276)","783,599","(+/-10,943)","771,215","(+/-4,405)","766,481","(+/-14,650)","788,789","(+/-7,743)"
People,"Residence 1 Year Ago","Same house","667,879","(+/-9,732)","639,470","(+/-12,372)","704,249","(+/-10,947)","658,141","(+/-13,968)","615,903","(+/-14,060)","711,452","(+/-11,639)","679,457","(+/-15,807)","689,987","(+/-11,159)","716,684","(+/-14,917)","725,885","(+/-13,496)","674,415","(+/-12,473)","659,988","(+/-10,822)","688,854","(+/-16,588)","707,518","(+/-12,265)"
People,"Residence 1 Year Ago","Different house (in the U.S. or abroad)","123,032","(+/-8,923)","110,159","(+/-10,134)","79,457","(+/-7,226)","97,128","(+/-9,047)","151,508","(+/-10,925)","78,677","(+/-7,872)","88,556","(+/-9,593)","79,268","(+/-7,522)","85,542","(+/-7,149)","97,133","(+/-8,187)","109,184","(+/-9,996)","111,227","(+/-9,583)","77,627","(+/-8,764)","81,271","(+/-9,049)"
People,"Residence 1 Year Ago","Different house in the U.S.","118,910","(+/-8,839)","106,282","(+/-9,922)","77,440","(+/-7,242)","91,218","(+/-8,938)","145,562","(+/-10,622)","72,732","(+/-7,886)","81,673","(+/-9,740)","76,507","(+/-7,469)","82,166","(+/-6,933)","93,856","(+/-7,965)","101,312","(+/-9,733)","106,605","(+/-8,861)","73,576","(+/-8,819)","78,607","(+/-8,727)"
People,"Residence 1 Year Ago","Same county","47,065","(+/-5,629)","44,270","(+/-6,814)","33,609","(+/-5,729)","37,175","(+/-5,530)","67,521","(+/-8,447)","30,741","(+/-5,964)","40,739","(+/-7,026)","32,676","(+/-4,989)","28,245","(+/-4,259)","30,348","(+/-4,501)","38,814","(+/-6,811)","50,610","(+/-6,419)","24,682","(+/-4,914)","30,989","(+/-5,152)"
People,"Residence 1 Year Ago","Different county","71,845","(+/-7,226)","62,012","(+/-8,058)","43,831","(+/-4,763)","54,043","(+/-7,168)","78,041","(+/-7,390)","41,991","(+/-5,204)","40,934","(+/-6,169)","43,831","(+/-5,334)","53,921","(+/-5,508)","63,508","(+/-6,779)","62,498","(+/-6,917)","55,995","(+/-6,734)","48,894","(+/-8,059)","47,618","(+/-7,244)"
People,"Residence 1 Year Ago","Same state","28,807","(+/-3,729)","35,717","(+/-6,479)","25,746","(+/-3,585)","33,255","(+/-5,186)","44,599","(+/-4,790)","24,993","(+/-3,926)","22,128","(+/-4,440)","29,893","(+/-4,419)","34,705","(+/-4,237)","42,657","(+/-5,174)","39,528","(+/-5,274)","35,290","(+/-5,473)","35,366","(+/-7,554)","25,826","(+/-5,515)"
People,"Residence 1 Year Ago","Different state","43,038","(+/-6,552)","26,295","(+/-3,849)","18,085","(+/-3,403)","20,788","(+/-5,034)","33,442","(+/-5,124)","16,998","(+/-3,453)","18,806","(+/-4,191)","13,938","(+/-3,430)","19,216","(+/-3,878)","20,851","(+/-4,805)","22,970","(+/-4,620)","20,705","(+/-3,653)","13,528","(+/-2,835)","21,792","(+/-4,689)"
People,"Residence 1 Year Ago",Abroad,"4,122","(+/-1,648)","3,877","(+/-1,634)","2,017","(+/-1,194)","5,910","(+/-1,993)","5,946","(+/-2,006)","5,945","(+/-1,623)","6,883","(+/-2,164)","2,761","(+/-1,197)","3,376","(+/-1,281)","3,277","(+/-1,102)","7,872","(+/-3,547)","4,622","(+/-1,901)","4,051","(+/-1,855)","2,664","(+/-1,281)"
Workers,"Employment Status","Population 16 years and over","638,396","(+/-3,291)","600,823","(+/-6,641)","637,404","(+/-7,670)","609,731","(+/-7,998)","646,972","(+/-9,971)","634,106","(+/-9,080)","606,674","(+/-10,060)","617,275","(+/-6,009)","651,560","(+/-9,800)","667,214","(+/-8,388)","641,395","(+/-8,573)","625,326","(+/-3,992)","607,178","(+/-13,126)","634,813","(+/-6,006)"
Workers,"Employment Status","In labor force","391,977","(+/-6,960)","343,169","(+/-7,043)","383,600","(+/-9,256)","415,173","(+/-9,627)","445,272","(+/-8,779)","440,031","(+/-7,790)","422,116","(+/-9,437)","350,563","(+/-8,319)","399,993","(+/-11,122)","425,517","(+/-9,201)","445,161","(+/-8,044)","369,264","(+/-7,332)","425,101","(+/-11,206)","395,905","(+/-7,176)"
Workers,"Employment Status","Civilian labor force","374,222","(+/-7,546)","327,997","(+/-7,358)","380,842","(+/-9,129)","413,529","(+/-9,605)","444,781","(+/-8,784)","439,569","(+/-7,806)","421,185","(+/-9,517)","344,770","(+/-8,497)","399,096","(+/-11,108)","424,671","(+/-9,224)","444,391","(+/-8,157)","358,573","(+/-7,504)","424,739","(+/-11,191)","395,580","(+/-7,160)"
Workers,"Employment Status",Employed,"355,291","(+/-7,639)","305,569","(+/-7,423)","367,768","(+/-9,003)","391,036","(+/-9,445)","420,863","(+/-8,658)","427,643","(+/-8,021)","404,171","(+/-9,336)","329,433","(+/-8,533)","385,117","(+/-11,235)","406,481","(+/-9,598)","429,046","(+/-8,079)","338,583","(+/-7,243)","405,226","(+/-11,638)","380,327","(+/-6,820)"
Workers,"Employment Status",Unemployed,"18,931","(+/-2,990)","22,428","(+/-2,874)","13,074","(+/-2,403)","22,493","(+/-3,601)","23,918","(+/-3,249)","11,926","(+/-2,218)","17,014","(+/-2,584)","15,337","(+/-2,405)","13,979","(+/-2,144)","18,190","(+/-2,983)","15,345","(+/-2,784)","19,990","(+/-3,125)","19,513","(+/-3,449)","15,253","(+/-3,282)"
Workers,"Employment Status","Armed Forces","17,755","(+/-2,179)","15,172","(+/-1,679)","2,758","(+/-1,157)","1,644","(+/-1,141)",491,(+/-292),462,(+/-323),931,(+/-847),"5,793","(+/-1,564)",897,(+/-540),846,(+/-548),770,(+/-575),"10,691","(+/-1,848)",362,(+/-281),325,(+/-295)
Workers,"Employment Status","Not in labor force","246,419","(+/-6,257)","257,654","(+/-7,287)","253,804","(+/-9,024)","194,558","(+/-7,218)","201,700","(+/-7,632)","194,075","(+/-6,688)","184,558","(+/-6,003)","266,712","(+/-7,720)","251,567","(+/-7,626)","241,697","(+/-7,646)","196,234","(+/-6,378)","256,062","(+/-7,231)","182,077","(+/-8,516)","238,908","(+/-6,462)"
Workers,"Employment Status","Civilian labor force","374,222","(+/-7,546)","327,997","(+/-7,358)","380,842","(+/-9,129)","413,529","(+/-9,605)","444,781","(+/-8,784)","439,569","(+/-7,806)","421,185","(+/-9,517)","344,770","(+/-8,497)","399,096","(+/-11,108)","424,671","(+/-9,224)","444,391","(+/-8,157)","358,573","(+/-7,504)","424,739","(+/-11,191)","395,580","(+/-7,160)"
Workers,"Employment Status","Unemployment Rate",5.1,(+/-0.8),6.8,(+/-0.9),3.4,(+/-0.6),5.4,(+/-0.9),5.4,(+/-0.7),2.7,(+/-0.5),4.0,(+/-0.6),4.4,(+/-0.7),3.5,(+/-0.5),4.3,(+/-0.7),3.5,(+/-0.6),5.6,(+/-0.8),4.6,(+/-0.8),3.9,(+/-0.8)
Workers,"Commuting to Work","Workers 16 years and over","365,666","(+/-7,345)","315,391","(+/-7,356)","365,143","(+/-9,388)","379,695","(+/-9,925)","415,113","(+/-8,807)","421,264","(+/-7,790)","380,169","(+/-8,993)","330,892","(+/-8,244)","379,225","(+/-11,063)","399,282","(+/-9,910)","423,061","(+/-7,980)","343,465","(+/-7,240)","396,741","(+/-11,468)","373,750","(+/-6,780)"
Workers,"Commuting to Work","Car, truck, or van -- drove alone","277,648","(+/-7,897)","231,778","(+/-7,051)","275,521","(+/-9,565)","245,619","(+/-10,759)","245,475","(+/-8,287)","264,468","(+/-7,007)","249,650","(+/-9,019)","260,161","(+/-8,141)","275,005","(+/-9,144)","303,729","(+/-8,450)","287,038","(+/-7,687)","264,344","(+/-7,950)","276,437","(+/-11,829)","287,438","(+/-7,642)"
Workers,"Commuting to Work","Car, truck, or van -- carpooled","36,853","(+/-4,640)","38,487","(+/-3,971)","34,470","(+/-4,602)","42,182","(+/-5,726)","23,627","(+/-3,754)","26,716","(+/-3,345)","49,614","(+/-5,347)","32,389","(+/-4,306)","37,722","(+/-4,068)","36,577","(+/-3,633)","34,958","(+/-3,816)","33,516","(+/-3,966)","37,290","(+/-4,922)","36,033","(+/-3,714)"
Workers,"Commuting to Work","Public transportation (excluding taxicab)","1,293",(+/-636),"3,071","(+/-1,204)","1,499",(+/-798),"11,472","(+/-2,296)","21,857","(+/-3,891)","1,998",(+/-917),"1,249",(+/-589),"1,867",(+/-810),"1,278",(+/-589),"2,791",(+/-959),"2,340","(+/-1,321)","2,690",(+/-989),"6,641","(+/-1,928)",301,(+/-178)
Workers,"Commuting to Work",Walked,"6,517","(+/-1,519)","6,623","(+/-1,331)","3,891","(+/-1,241)","4,623","(+/-1,346)","16,535","(+/-2,924)","3,553","(+/-1,255)","2,873","(+/-1,241)","3,968","(+/-1,124)","4,034","(+/-1,080)","3,903","(+/-1,129)","4,579","(+/-1,654)","5,656","(+/-1,307)","4,054","(+/-1,723)","2,548",(+/-939)
Workers,"Commuting to Work","Other means","7,319","(+/-1,790)","6,539","(+/-1,797)","4,998","(+/-1,497)","9,554","(+/-1,960)","10,540","(+/-2,005)","7,795","(+/-1,874)","9,740","(+/-1,961)","5,671","(+/-1,606)","6,033","(+/-1,480)","5,510","(+/-2,177)","9,045","(+/-1,958)","9,128","(+/-2,349)","9,431","(+/-2,209)","4,737","(+/-1,530)"
Workers,"Commuting to Work","Worked from home","36,036","(+/-3,775)","28,893","(+/-3,030)","44,764","(+/-3,650)","66,245","(+/-4,466)","97,079","(+/-5,702)","116,734","(+/-6,104)","67,043","(+/-4,923)","26,836","(+/-3,115)","55,153","(+/-5,443)","46,772","(+/-4,134)","85,101","(+/-5,489)","28,131","(+/-3,209)","62,888","(+/-5,879)","42,693","(+/-4,030)"
Workers,"Commuting to Work","Mean travel time to work (minutes)",25.4,(+/-0.6),22.7,(+/-0.8),30.5,(+/-1.0),31.0,(+/-0.9),27.6,(+/-0.8),30.2,(+/-0.8),33.6,(+/-0.8),22.6,(+/-0.6),29.2,(+/-0.7),30.6,(+/-0.8),30.3,(+/-0.7),24.1,(+/-0.6),32.7,(+/-0.9),30.6,(+/-0.9)
Workers,Occupation,"Civilian employed population 16 years and over","355,291","(+/-7,639)","305,569","(+/-7,423)","367,768","(+/-9,003)","391,036","(+/-9,445)","420,863","(+/-8,658)","427,643","(+/-8,021)","404,171","(+/-9,336)","329,433","(+/-8,533)","385,117","(+/-11,235)","406,481","(+/-9,598)","429,046","(+/-8,079)","338,583","(+/-7,243)","405,226","(+/-11,638)","380,327","(+/-6,820)"
Workers,Occupation,"Management, business, science, and arts occupations","133,472","(+/-6,227)","104,779","(+/-5,583)","147,428","(+/-7,541)","176,384","(+/-7,175)","238,143","(+/-8,628)","246,636","(+/-7,358)","167,470","(+/-6,776)","124,626","(+/-6,104)","147,949","(+/-6,222)","161,119","(+/-7,772)","204,900","(+/-7,119)","123,938","(+/-6,261)","152,919","(+/-8,392)","130,541","(+/-6,248)"
Workers,Occupation,"Service occupations","62,506","(+/-5,460)","51,461","(+/-4,046)","51,357","(+/-3,853)","59,488","(+/-4,612)","56,151","(+/-6,046)","48,308","(+/-4,462)","64,484","(+/-4,618)","49,688","(+/-3,459)","65,219","(+/-4,400)","62,936","(+/-4,896)","58,664","(+/-4,793)","62,842","(+/-5,623)","60,655","(+/-5,783)","52,650","(+/-4,021)"
Workers,Occupation,"Sales and office occupations","72,031","(+/-5,517)","69,292","(+/-4,786)","72,611","(+/-5,354)","78,416","(+/-5,746)","75,328","(+/-6,284)","85,135","(+/-4,975)","79,830","(+/-5,422)","64,517","(+/-4,345)","79,065","(+/-5,847)","79,549","(+/-5,933)","94,617","(+/-5,914)","63,817","(+/-4,937)","91,573","(+/-6,121)","82,929","(+/-4,944)"
Workers,Occupation,"Natural resources, construction, and maintenance occupations","30,678","(+/-3,315)","27,965","(+/-3,229)","36,300","(+/-3,048)","26,812","(+/-3,289)","13,838","(+/-2,684)","21,467","(+/-2,830)","39,326","(+/-4,051)","32,212","(+/-2,825)","37,834","(+/-3,368)","36,036","(+/-3,930)","33,395","(+/-3,620)","32,828","(+/-3,934)","26,647","(+/-3,429)","43,047","(+/-4,333)"
Workers,Occupation,"Production, transportation, and material moving occupations","56,604","(+/-4,039)","52,072","(+/-4,709)","60,072","(+/-4,244)","49,936","(+/-4,064)","37,403","(+/-5,094)","26,097","(+/-2,942)","53,061","(+/-4,551)","58,390","(+/-4,956)","55,050","(+/-4,254)","66,841","(+/-4,858)","37,470","(+/-3,800)","55,158","(+/-4,407)","73,432","(+/-5,764)","71,160","(+/-4,097)"
Workers,Industry,"Civilian employed population 16 years and over","355,291","(+/-7,639)","305,569","(+/-7,423)","367,768","(+/-9,003)","391,036","(+/-9,445)","420,863","(+/-8,658)","427,643","(+/-8,021)","404,171","(+/-9,336)","329,433","(+/-8,533)","385,117","(+/-11,235)","406,481","(+/-9,598)","429,046","(+/-8,079)","338,583","(+/-7,243)","405,226","(+/-11,638)","380,327","(+/-6,820)"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining","5,708","(+/-1,547)","8,315","(+/-1,834)","2,252",(+/-927),"1,495","(+/-1,057)","1,247",(+/-748),933,(+/-490),"1,002",(+/-553),"11,905","(+/-2,011)","4,179","(+/-1,073)","5,663","(+/-1,645)","1,729",(+/-768),"6,048","(+/-1,415)",577,(+/-338),"4,630","(+/-1,390)"
Workers,Industry,Construction,"22,832","(+/-2,831)","19,813","(+/-2,432)","31,240","(+/-3,303)","23,999","(+/-3,353)","13,713","(+/-2,593)","23,750","(+/-2,977)","44,413","(+/-3,906)","22,256","(+/-2,619)","31,529","(+/-3,001)","27,671","(+/-3,381)","37,013","(+/-4,101)","22,751","(+/-2,467)","25,214","(+/-3,552)","35,301","(+/-3,582)"
Workers,Industry,Manufacturing,"36,094","(+/-3,444)","31,145","(+/-3,258)","43,047","(+/-3,520)","25,120","(+/-3,295)","22,585","(+/-3,322)","32,445","(+/-2,885)","31,127","(+/-3,545)","38,722","(+/-3,414)","47,325","(+/-3,800)","41,083","(+/-4,244)","37,215","(+/-3,363)","34,800","(+/-3,301)","30,164","(+/-3,428)","59,893","(+/-3,967)"
Workers,Industry,"Wholesale trade","6,566","(+/-1,564)","6,464","(+/-1,541)","9,005","(+/-1,830)","7,082","(+/-1,855)","6,627","(+/-1,474)","12,455","(+/-2,062)","9,147","(+/-1,555)","7,929","(+/-1,567)","10,618","(+/-1,827)","10,773","(+/-1,699)","11,278","(+/-1,869)","4,145","(+/-1,072)","8,497","(+/-1,737)","9,819","(+/-2,238)"
Workers,Industry,"Retail trade","42,300","(+/-4,011)","32,841","(+/-3,303)","38,065","(+/-3,796)","43,788","(+/-5,388)","34,892","(+/-4,248)","43,164","(+/-4,451)","47,301","(+/-4,920)","37,370","(+/-3,769)","45,116","(+/-3,760)","47,745","(+/-4,482)","49,337","(+/-4,593)","39,021","(+/-3,691)","47,386","(+/-4,447)","44,571","(+/-4,390)"
Workers,Industry,"Transportation and warehousing, and utilities","30,693","(+/-3,020)","20,771","(+/-2,866)","36,786","(+/-4,137)","31,917","(+/-3,687)","28,768","(+/-3,722)","18,735","(+/-2,759)","22,675","(+/-3,220)","19,714","(+/-3,180)","19,510","(+/-2,388)","33,173","(+/-3,783)","21,076","(+/-2,449)","26,661","(+/-2,914)","52,266","(+/-5,686)","26,399","(+/-2,860)"
Workers,Industry,Information,"5,764","(+/-1,502)","3,676","(+/-1,041)","7,989","(+/-1,875)","8,932","(+/-1,741)","14,300","(+/-2,691)","14,464","(+/-1,947)","10,617","(+/-1,760)","1,733",(+/-645),"6,897","(+/-1,512)","6,216","(+/-1,555)","11,232","(+/-1,735)","4,123","(+/-1,361)","11,003","(+/-3,125)","8,381","(+/-2,043)"
Workers,Industry,"Finance and insurance, and real estate and rental and leasing","16,591","(+/-2,276)","19,243","(+/-2,702)","18,458","(+/-2,366)","30,235","(+/-3,837)","38,331","(+/-3,786)","43,646","(+/-3,352)","25,481","(+/-2,830)","19,288","(+/-2,770)","21,385","(+/-2,822)","20,527","(+/-2,703)","33,449","(+/-3,355)","15,552","(+/-2,381)","23,492","(+/-3,586)","21,395","(+/-2,750)"
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services","41,740","(+/-3,861)","25,580","(+/-2,331)","37,833","(+/-4,076)","59,725","(+/-4,499)","90,165","(+/-6,179)","101,522","(+/-4,825)","61,014","(+/-4,927)","27,742","(+/-3,022)","51,129","(+/-4,179)","45,460","(+/-3,756)","72,801","(+/-4,533)","31,658","(+/-3,194)","51,213","(+/-4,958)","38,539","(+/-3,832)"
Workers,Industry,"Educational services, and health care and social assistance","71,762","(+/-5,280)","74,882","(+/-5,081)","79,401","(+/-5,402)","84,132","(+/-5,492)","94,100","(+/-6,704)","70,714","(+/-4,142)","78,490","(+/-5,269)","78,284","(+/-4,265)","75,948","(+/-5,061)","94,666","(+/-5,668)","80,796","(+/-4,801)","82,855","(+/-5,896)","79,602","(+/-5,463)","75,502","(+/-5,003)"
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services","37,667","(+/-4,384)","25,523","(+/-3,651)","26,044","(+/-3,194)","36,911","(+/-3,943)","40,670","(+/-5,145)","36,779","(+/-3,640)","34,245","(+/-4,027)","24,390","(+/-3,129)","37,008","(+/-4,045)","33,655","(+/-3,967)","36,616","(+/-4,234)","30,546","(+/-3,738)","34,708","(+/-4,481)","25,620","(+/-3,537)"
Workers,Industry,"Other services, except public administration","16,368","(+/-2,911)","13,680","(+/-2,442)","17,700","(+/-2,702)","19,495","(+/-2,847)","18,884","(+/-3,143)","18,778","(+/-2,781)","25,378","(+/-2,895)","14,368","(+/-2,064)","19,685","(+/-2,721)","19,196","(+/-2,861)","23,681","(+/-3,168)","19,915","(+/-2,853)","18,912","(+/-2,912)","16,428","(+/-2,619)"
Workers,Industry,"Public administration","21,206","(+/-2,796)","23,636","(+/-3,003)","19,948","(+/-2,838)","18,205","(+/-3,051)","16,581","(+/-2,767)","10,258","(+/-2,182)","13,281","(+/-2,560)","25,732","(+/-2,970)","14,788","(+/-2,340)","20,653","(+/-3,386)","12,823","(+/-2,226)","20,508","(+/-3,059)","22,192","(+/-3,356)","13,849","(+/-1,960)"
Workers,"Class of Worker","Civilian employed population 16 years and over","355,291","(+/-7,639)","305,569","(+/-7,423)","367,768","(+/-9,003)","391,036","(+/-9,445)","420,863","(+/-8,658)","427,643","(+/-8,021)","404,171","(+/-9,336)","329,433","(+/-8,533)","385,117","(+/-11,235)","406,481","(+/-9,598)","429,046","(+/-8,079)","338,583","(+/-7,243)","405,226","(+/-11,638)","380,327","(+/-6,820)"
Workers,"Class of Worker","Private wage and salary workers","277,922","(+/-8,456)","230,231","(+/-7,198)","294,533","(+/-9,686)","315,231","(+/-10,076)","349,158","(+/-9,024)","366,646","(+/-8,252)","331,773","(+/-9,599)","247,806","(+/-8,132)","307,901","(+/-10,353)","309,954","(+/-8,832)","356,659","(+/-8,765)","252,459","(+/-6,838)","327,539","(+/-10,588)","310,064","(+/-6,504)"
Workers,"Class of Worker","Government workers","58,045","(+/-4,430)","57,000","(+/-4,638)","53,311","(+/-4,603)","54,923","(+/-5,143)","49,933","(+/-4,761)","34,355","(+/-2,721)","42,567","(+/-4,550)","64,520","(+/-4,419)","46,960","(+/-3,721)","73,147","(+/-5,831)","44,755","(+/-4,042)","67,618","(+/-5,841)","56,548","(+/-5,395)","47,054","(+/-3,687)"
Workers,"Class of Worker","Self-employed in own not incorporated business workers","19,008","(+/-2,150)","17,249","(+/-2,353)","19,689","(+/-2,886)","19,452","(+/-2,732)","21,080","(+/-3,534)","26,007","(+/-3,105)","29,114","(+/-3,295)","16,561","(+/-2,604)","29,128","(+/-3,000)","22,470","(+/-2,971)","27,113","(+/-3,712)","17,524","(+/-2,741)","19,235","(+/-3,203)","23,020","(+/-2,962)"
Workers,"Class of Worker","Unpaid family workers",316,(+/-338),"1,089",(+/-791),235,(+/-190),"1,430",(+/-746),692,(+/-516),635,(+/-454),717,(+/-402),546,(+/-393),"1,128",(+/-582),910,(+/-473),519,(+/-431),982,(+/-593),"1,904","(+/-1,340)",189,(+/-195)
Housing,"Housing Occupancy","Total housing units","351,834","(+/-1,431)","349,798","(+/-3,333)","320,838","(+/-3,840)","320,293","(+/-3,760)","398,768","(+/-6,698)","305,541","(+/-4,777)","277,608","(+/-4,353)","336,379","(+/-3,015)","338,230","(+/-4,045)","328,820","(+/-3,923)","330,611","(+/-3,727)","335,911","(+/-1,632)","304,319","(+/-5,719)","311,556","(+/-2,399)"
Housing,"Housing Occupancy","Occupied housing units","310,498","(+/-4,036)","300,765","(+/-5,170)","296,637","(+/-4,460)","287,932","(+/-4,948)","343,861","(+/-7,034)","287,830","(+/-4,935)","264,810","(+/-4,594)","298,098","(+/-4,771)","294,336","(+/-4,946)","304,147","(+/-4,725)","306,504","(+/-4,130)","285,651","(+/-4,931)","282,731","(+/-5,890)","286,338","(+/-3,975)"
Housing,"Housing Occupancy","Vacant housing units","41,336","(+/-3,826)","49,033","(+/-4,422)","24,201","(+/-3,562)","32,361","(+/-3,910)","54,907","(+/-4,404)","17,711","(+/-2,964)","12,798","(+/-1,847)","38,281","(+/-4,326)","43,894","(+/-3,666)","24,673","(+/-3,571)","24,107","(+/-3,423)","50,260","(+/-4,612)","21,588","(+/-2,971)","25,218","(+/-3,403)"
Housing,"Housing Occupancy","Homeowner vacancy rate",0.8,(+/-0.4),1.6,(+/-0.6),0.9,(+/-0.5),0.7,(+/-0.4),0.6,(+/-0.3),0.6,(+/-0.4),0.6,(+/-0.3),0.7,(+/-0.4),0.9,(+/-0.4),1.0,(+/-0.5),0.4,(+/-0.3),0.9,(+/-0.5),0.7,(+/-0.3),0.9,(+/-0.4)
Housing,"Housing Occupancy","Rental vacancy rate",5.2,(+/-1.4),6.1,(+/-1.3),5.0,(+/-1.4),11.1,(+/-2.1),12.9,(+/-1.6),8.2,(+/-2.4),6.3,(+/-1.4),6.2,(+/-1.4),3.1,(+/-1.2),3.9,(+/-1.4),7.9,(+/-1.7),8.4,(+/-1.7),8.0,(+/-1.7),4.6,(+/-1.4)
Housing,"Housing Tenure","Occupied housing units","310,498","(+/-4,036)","300,765","(+/-5,170)","296,637","(+/-4,460)","287,932","(+/-4,948)","343,861","(+/-7,034)","287,830","(+/-4,935)","264,810","(+/-4,594)","298,098","(+/-4,771)","294,336","(+/-4,946)","304,147","(+/-4,725)","306,504","(+/-4,130)","285,651","(+/-4,931)","282,731","(+/-5,890)","286,338","(+/-3,975)"
