Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE","District 15 Estimate","District 15 MOE","District 16 Estimate","District 16 MOE","District 17 Estimate","District 17 MOE","District 18 Estimate","District 18 MOE","District 19 Estimate","District 19 MOE","District 20 Estimate","District 20 MOE","District 21 Estimate","District 21 MOE","District 22 Estimate","District 22 MOE","District 23 Estimate","District 23 MOE","District 24 Estimate","District 24 MOE","District 25 Estimate","District 25 MOE","District 26 Estimate","District 26 MOE","District 27 Estimate","District 27 MOE","District 28 Estimate","District 28 MOE","District 29 Estimate","District 29 MOE","District 30 Estimate","District 30 MOE","District 31 Estimate","District 31 MOE","District 32 Estimate","District 32 MOE","District 33 Estimate","District 33 MOE","District 34 Estimate","District 34 MOE","District 35 Estimate","District 35 MOE","District 36 Estimate","District 36 MOE","District 37 Estimate","District 37 MOE","District 38 Estimate","District 38 MOE","District 39 Estimate","District 39 MOE","District 40 Estimate","District 40 MOE","District 41 Estimate","District 41 MOE","District 42 Estimate","District 42 MOE","District 43 Estimate","District 43 MOE","District 44 Estimate","District 44 MOE","District 45 Estimate","District 45 MOE","District 46 Estimate","District 46 MOE","District 47 Estimate","District 47 MOE","District 48 Estimate","District 48 MOE","District 49 Estimate","District 49 MOE","District 50 Estimate","District 50 MOE","District 51 Estimate","District 51 MOE","District 52 Estimate","District 52 MOE"
Workers,Industry,"Finance and insurance, and real estate and rental and leasing","16,801","(+/-2,453)","19,551","(+/-2,562)","25,943","(+/-2,268)","15,246","(+/-2,171)","18,740","(+/-2,376)","21,985","(+/-2,888)","18,717","(+/-2,419)","16,205","(+/-2,338)","14,582","(+/-2,124)","32,650","(+/-3,700)","36,216","(+/-3,176)","18,766","(+/-2,199)","10,233","(+/-2,171)","19,204","(+/-2,348)","23,469","(+/-2,703)","18,072","(+/-2,039)","17,302","(+/-2,689)","10,601","(+/-1,702)","16,302","(+/-1,791)","15,090","(+/-2,446)","9,918","(+/-1,632)","6,610","(+/-1,368)","12,351","(+/-2,475)","14,060","(+/-2,015)","9,917","(+/-1,655)","22,938","(+/-2,973)","17,261","(+/-2,569)","27,526","(+/-2,843)","16,850","(+/-2,317)","24,934","(+/-3,133)","18,094","(+/-2,587)","31,507","(+/-2,931)","13,715","(+/-2,217)","15,719","(+/-2,098)","16,455","(+/-2,359)","31,263","(+/-4,046)","16,470","(+/-2,349)","17,552","(+/-1,998)","14,235","(+/-2,610)","32,306","(+/-3,074)","20,687","(+/-2,908)","15,547","(+/-2,053)","12,050","(+/-2,037)","13,119","(+/-2,288)","21,933","(+/-2,532)","18,953","(+/-3,003)","39,962","(+/-3,872)","19,194","(+/-2,813)","31,293","(+/-3,539)","26,852","(+/-3,704)","23,538","(+/-2,767)","14,693","(+/-2,302)"
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services","27,638","(+/-3,373)","59,156","(+/-5,080)","51,084","(+/-3,873)","45,379","(+/-3,947)","35,358","(+/-3,851)","45,900","(+/-4,273)","44,797","(+/-3,694)","53,819","(+/-5,028)","40,330","(+/-4,136)","80,444","(+/-4,753)","116,246","(+/-5,873)","82,483","(+/-5,056)","25,402","(+/-3,461)","77,756","(+/-5,210)","83,231","(+/-4,136)","91,265","(+/-5,417)","105,682","(+/-6,834)","48,409","(+/-3,376)","60,145","(+/-4,015)","29,689","(+/-3,311)","26,339","(+/-3,431)","20,269","(+/-2,476)","29,556","(+/-3,654)","46,305","(+/-3,449)","37,644","(+/-3,665)","48,843","(+/-4,412)","39,394","(+/-3,489)","53,821","(+/-4,566)","44,949","(+/-4,159)","68,457","(+/-5,331)","37,621","(+/-3,213)","70,529","(+/-5,886)","29,364","(+/-3,111)","49,166","(+/-4,454)","41,618","(+/-4,301)","83,521","(+/-5,450)","60,596","(+/-4,753)","36,580","(+/-3,447)","38,016","(+/-4,368)","67,856","(+/-5,727)","48,015","(+/-4,648)","37,685","(+/-3,235)","45,684","(+/-3,768)","41,512","(+/-3,912)","44,636","(+/-4,034)","50,200","(+/-4,168)","73,021","(+/-5,541)","46,096","(+/-3,599)","63,486","(+/-5,818)","89,387","(+/-5,576)","65,606","(+/-5,302)","40,350","(+/-3,689)"
Workers,Industry,"Educational services, and health care and social assistance","81,781","(+/-4,335)","84,441","(+/-5,060)","86,843","(+/-4,346)","96,366","(+/-5,419)","90,240","(+/-5,970)","78,950","(+/-4,685)","91,818","(+/-4,649)","82,468","(+/-5,443)","71,468","(+/-4,832)","82,880","(+/-5,401)","79,212","(+/-4,167)","97,051","(+/-5,331)","64,907","(+/-4,834)","70,485","(+/-4,439)","82,225","(+/-5,332)","87,161","(+/-4,798)","72,352","(+/-4,722)","69,505","(+/-4,624)","83,875","(+/-4,685)","98,515","(+/-6,014)","79,332","(+/-5,194)","58,140","(+/-4,020)","79,462","(+/-5,118)","84,987","(+/-5,134)","68,350","(+/-4,784)","77,378","(+/-4,321)","75,181","(+/-5,030)","98,590","(+/-6,389)","81,201","(+/-5,749)","87,394","(+/-4,884)","78,524","(+/-4,896)","90,923","(+/-5,953)","80,883","(+/-5,678)","71,052","(+/-4,670)","76,928","(+/-5,534)","87,580","(+/-5,687)","74,040","(+/-5,492)","85,760","(+/-5,458)","77,053","(+/-5,560)","86,208","(+/-5,195)","83,561","(+/-6,270)","80,727","(+/-5,095)","72,481","(+/-5,219)","76,139","(+/-5,257)","85,613","(+/-5,323)","73,760","(+/-4,771)","86,019","(+/-5,303)","80,285","(+/-5,326)","70,904","(+/-4,523)","103,472","(+/-5,936)","88,260","(+/-5,243)","85,650","(+/-5,681)"
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services","29,613","(+/-3,562)","30,731","(+/-2,756)","34,558","(+/-3,154)","39,002","(+/-3,968)","34,234","(+/-4,139)","30,793","(+/-3,742)","33,460","(+/-3,269)","34,688","(+/-4,002)","26,979","(+/-3,063)","28,330","(+/-3,698)","32,114","(+/-3,486)","35,106","(+/-3,547)","25,206","(+/-3,115)","23,482","(+/-3,420)","35,894","(+/-3,677)","24,930","(+/-3,350)","25,624","(+/-3,490)","34,585","(+/-4,043)","38,688","(+/-3,473)","26,066","(+/-3,542)","24,843","(+/-3,369)","29,437","(+/-3,565)","30,599","(+/-3,830)","46,824","(+/-4,733)","42,713","(+/-4,317)","33,014","(+/-3,547)","31,952","(+/-3,528)","37,250","(+/-3,442)","38,002","(+/-4,464)","59,923","(+/-4,421)","33,588","(+/-3,582)","40,691","(+/-4,344)","27,745","(+/-4,752)","53,499","(+/-4,147)","37,263","(+/-3,997)","36,990","(+/-3,528)","45,735","(+/-4,638)","31,703","(+/-3,622)","31,672","(+/-3,483)","30,854","(+/-3,189)","38,674","(+/-4,636)","38,091","(+/-4,117)","39,918","(+/-4,010)","38,777","(+/-4,774)","39,443","(+/-4,331)","48,881","(+/-4,378)","40,641","(+/-4,185)","31,223","(+/-3,209)","34,354","(+/-3,595)","45,820","(+/-5,133)","37,533","(+/-4,440)","37,167","(+/-4,444)"
Workers,Industry,"Other services, except public administration","17,482","(+/-2,374)","16,651","(+/-2,256)","14,586","(+/-1,907)","16,550","(+/-2,127)","17,434","(+/-2,526)","15,310","(+/-2,411)","20,522","(+/-2,467)","20,609","(+/-2,529)","16,495","(+/-2,658)","13,956","(+/-2,493)","14,549","(+/-1,803)","20,259","(+/-2,967)","14,628","(+/-2,252)","13,296","(+/-2,594)","20,228","(+/-2,871)","13,261","(+/-1,885)","13,852","(+/-2,477)","15,181","(+/-2,518)","20,016","(+/-2,681)","14,540","(+/-2,434)","14,576","(+/-2,623)","13,487","(+/-2,486)","16,565","(+/-2,786)","15,784","(+/-2,486)","16,811","(+/-2,303)","14,858","(+/-2,246)","17,789","(+/-2,975)","22,644","(+/-3,172)","23,380","(+/-2,984)","24,657","(+/-3,131)","19,722","(+/-2,602)","19,858","(+/-2,949)","20,622","(+/-2,886)","23,054","(+/-2,916)","15,901","(+/-2,209)","15,699","(+/-2,505)","20,749","(+/-2,732)","18,319","(+/-2,412)","19,299","(+/-2,872)","16,578","(+/-2,942)","18,426","(+/-2,854)","18,902","(+/-3,195)","18,286","(+/-3,249)","18,965","(+/-2,637)","20,000","(+/-2,440)","19,439","(+/-2,791)","12,861","(+/-2,104)","18,105","(+/-3,211)","16,720","(+/-2,693)","17,426","(+/-2,611)","19,959","(+/-3,204)","15,920","(+/-2,347)"
Workers,Industry,"Public administration","20,924","(+/-2,689)","19,836","(+/-2,248)","29,777","(+/-3,043)","23,079","(+/-2,649)","20,816","(+/-3,033)","36,042","(+/-3,801)","46,539","(+/-3,762)","18,709","(+/-2,515)","19,604","(+/-2,688)","13,189","(+/-1,625)","15,211","(+/-1,988)","15,645","(+/-2,296)","14,835","(+/-1,967)","13,407","(+/-2,625)","14,451","(+/-2,509)","9,923","(+/-1,617)","9,681","(+/-1,941)","14,384","(+/-1,981)","16,571","(+/-2,426)","29,531","(+/-3,767)","14,995","(+/-2,689)","12,565","(+/-1,656)","19,279","(+/-3,038)","18,599","(+/-2,816)","17,523","(+/-2,933)","17,663","(+/-2,657)","18,615","(+/-2,924)","17,476","(+/-1,949)","8,900","(+/-1,514)","12,508","(+/-1,825)","13,511","(+/-2,381)","9,024","(+/-1,810)","16,635","(+/-2,294)","9,759","(+/-1,657)","15,330","(+/-2,276)","11,050","(+/-2,162)","11,234","(+/-2,049)","17,361","(+/-2,555)","16,999","(+/-2,770)","13,288","(+/-2,205)","18,903","(+/-2,780)","13,220","(+/-2,065)","14,114","(+/-2,293)","13,654","(+/-2,099)","13,072","(+/-2,090)","11,471","(+/-2,203)","12,179","(+/-2,129)","19,033","(+/-2,841)","11,436","(+/-2,245)","16,290","(+/-2,637)","20,724","(+/-3,013)","24,392","(+/-2,848)"
Workers,"Class of Worker","Civilian employed population 16 years and over","321,651","(+/-6,457)","353,208","(+/-7,206)","366,981","(+/-7,878)","376,253","(+/-9,035)","357,918","(+/-9,729)","353,834","(+/-9,532)","372,888","(+/-8,686)","372,208","(+/-9,333)","356,303","(+/-6,034)","372,093","(+/-10,778)","413,824","(+/-7,761)","395,432","(+/-8,217)","322,142","(+/-8,302)","366,956","(+/-8,201)","385,157","(+/-8,214)","381,245","(+/-9,713)","426,996","(+/-10,099)","355,280","(+/-10,416)","366,194","(+/-9,727)","346,759","(+/-10,226)","312,992","(+/-9,688)","303,421","(+/-9,230)","317,666","(+/-10,917)","358,869","(+/-7,410)","323,693","(+/-8,144)","362,374","(+/-7,050)","334,385","(+/-9,824)","378,334","(+/-10,472)","368,630","(+/-12,953)","421,155","(+/-10,279)","351,885","(+/-10,952)","397,602","(+/-12,175)","352,273","(+/-11,190)","365,842","(+/-11,118)","373,306","(+/-9,884)","398,511","(+/-9,757)","366,610","(+/-10,538)","358,333","(+/-10,579)","368,594","(+/-9,536)","388,396","(+/-9,525)","373,985","(+/-11,102)","362,142","(+/-9,735)","345,638","(+/-10,771)","359,166","(+/-10,320)","366,161","(+/-8,186)","391,773","(+/-9,607)","398,688","(+/-8,351)","344,367","(+/-10,748)","368,478","(+/-9,284)","425,437","(+/-14,000)","378,491","(+/-11,961)","346,047","(+/-11,541)"
Workers,"Class of Worker","Private wage and salary workers","231,858","(+/-6,698)","251,783","(+/-7,760)","266,251","(+/-7,642)","276,211","(+/-8,364)","259,049","(+/-8,644)","253,469","(+/-9,398)","252,535","(+/-8,230)","287,899","(+/-9,929)","280,562","(+/-6,967)","293,561","(+/-10,089)","337,231","(+/-8,161)","303,317","(+/-8,511)","249,530","(+/-7,269)","299,331","(+/-8,366)","311,545","(+/-8,989)","320,067","(+/-9,031)","374,660","(+/-10,211)","285,953","(+/-9,327)","280,719","(+/-8,392)","240,262","(+/-8,837)","233,284","(+/-8,991)","240,203","(+/-9,006)","237,606","(+/-9,513)","266,854","(+/-6,476)","247,124","(+/-8,338)","287,639","(+/-6,680)","246,271","(+/-9,701)","291,760","(+/-9,861)","288,928","(+/-11,969)","334,291","(+/-10,277)","276,401","(+/-9,978)","311,797","(+/-10,015)","281,455","(+/-10,425)","287,800","(+/-10,756)","299,679","(+/-9,743)","317,204","(+/-9,114)","282,730","(+/-9,771)","276,719","(+/-9,592)","291,210","(+/-8,645)","312,727","(+/-10,084)","285,004","(+/-9,315)","281,551","(+/-9,329)","268,559","(+/-8,948)","286,735","(+/-9,331)","290,074","(+/-7,397)","325,424","(+/-9,734)","322,975","(+/-9,193)","259,266","(+/-10,555)","297,912","(+/-8,179)","343,387","(+/-13,361)","293,296","(+/-10,178)","260,872","(+/-10,912)"
Workers,"Class of Worker","Government workers","62,676","(+/-4,517)","58,766","(+/-4,696)","71,129","(+/-4,953)","72,225","(+/-4,467)","68,038","(+/-6,238)","74,639","(+/-5,886)","94,470","(+/-6,338)","57,529","(+/-4,767)","57,677","(+/-4,711)","51,268","(+/-4,125)","49,230","(+/-3,244)","60,829","(+/-3,867)","50,562","(+/-3,481)","47,517","(+/-4,093)","47,379","(+/-4,304)","38,008","(+/-3,466)","35,718","(+/-3,666)","49,234","(+/-4,425)","55,910","(+/-4,203)","81,610","(+/-6,186)","58,648","(+/-4,816)","43,795","(+/-3,581)","56,826","(+/-4,833)","64,217","(+/-5,092)","52,162","(+/-4,287)","49,561","(+/-4,115)","60,192","(+/-4,872)","54,816","(+/-3,828)","37,236","(+/-3,289)","39,402","(+/-3,498)","50,056","(+/-3,732)","41,713","(+/-3,939)","51,494","(+/-4,294)","38,511","(+/-3,520)","50,038","(+/-4,018)","44,682","(+/-4,177)","42,512","(+/-4,146)","60,718","(+/-4,458)","55,320","(+/-5,962)","47,946","(+/-3,444)","60,570","(+/-5,462)","51,260","(+/-4,207)","51,708","(+/-4,488)","48,966","(+/-3,876)","49,949","(+/-3,864)","42,805","(+/-4,484)","47,121","(+/-3,708)","59,427","(+/-4,384)","39,644","(+/-3,862)","56,731","(+/-4,194)","59,816","(+/-4,911)","65,164","(+/-5,087)"
Workers,"Class of Worker","Self-employed in own not incorporated business workers","26,259","(+/-2,377)","41,716","(+/-3,831)","28,772","(+/-3,147)","27,580","(+/-2,778)","30,044","(+/-3,876)","25,267","(+/-3,324)","25,174","(+/-3,141)","25,902","(+/-3,331)","17,558","(+/-2,606)","26,617","(+/-3,417)","26,723","(+/-3,167)","30,661","(+/-3,068)","21,220","(+/-2,795)","19,505","(+/-3,013)","25,257","(+/-2,743)","22,049","(+/-2,849)","16,033","(+/-2,424)","19,906","(+/-2,946)","28,326","(+/-2,785)","24,181","(+/-3,081)","20,034","(+/-2,713)","18,284","(+/-2,634)","22,516","(+/-2,970)","27,070","(+/-2,472)","24,263","(+/-2,949)","24,100","(+/-2,722)","27,371","(+/-3,414)","31,134","(+/-2,859)","41,511","(+/-3,687)","47,137","(+/-4,234)","25,233","(+/-2,833)","42,770","(+/-4,043)","18,777","(+/-2,629)","38,808","(+/-4,074)","22,884","(+/-2,978)","35,936","(+/-3,805)","40,403","(+/-4,006)","19,879","(+/-2,602)","21,276","(+/-3,527)","27,564","(+/-4,596)","27,666","(+/-2,966)","27,643","(+/-3,495)","24,931","(+/-3,342)","22,416","(+/-2,975)","25,496","(+/-3,078)","22,268","(+/-2,902)","28,207","(+/-3,236)","24,750","(+/-2,639)","30,130","(+/-3,286)","24,278","(+/-2,420)","24,841","(+/-2,808)","19,683","(+/-2,771)"
Workers,"Class of Worker","Unpaid family workers",858,(+/-475),943,(+/-487),829,(+/-591),237,(+/-209),787,(+/-551),459,(+/-304),709,(+/-614),878,(+/-465),506,(+/-359),647,(+/-676),640,(+/-570),625,(+/-409),830,(+/-576),603,(+/-413),976,(+/-453),"1,121",(+/-825),585,(+/-459),187,(+/-166),"1,239",(+/-599),706,(+/-538),"1,026",(+/-497),"1,139",(+/-565),718,(+/-701),728,(+/-367),144,(+/-139),"1,074",(+/-544),551,(+/-414),624,(+/-378),955,(+/-596),325,(+/-295),195,(+/-135),"1,322",(+/-706),547,(+/-310),723,(+/-428),705,(+/-369),689,(+/-422),965,(+/-588),"1,017",(+/-631),788,(+/-520),159,(+/-158),745,(+/-421),"1,688",(+/-613),440,(+/-252),"1,049",(+/-471),642,(+/-567),"1,276",(+/-728),385,(+/-308),924,(+/-447),792,(+/-454),"1,041",(+/-651),538,(+/-352),328,(+/-349)
Housing,"Housing Occupancy","Total housing units","321,592","(+/-1,702)","334,938","(+/-3,512)","382,678","(+/-3,836)","311,659","(+/-3,787)","331,508","(+/-5,191)","292,074","(+/-5,060)","281,677","(+/-5,267)","275,515","(+/-4,868)","257,633","(+/-1,816)","282,903","(+/-5,166)","382,098","(+/-2,933)","326,858","(+/-4,513)","237,172","(+/-4,652)","259,571","(+/-4,727)","278,186","(+/-3,926)","291,991","(+/-5,633)","290,795","(+/-4,814)","231,155","(+/-5,429)","296,356","(+/-4,706)","297,885","(+/-5,887)","242,021","(+/-4,387)","229,038","(+/-4,925)","310,349","(+/-5,096)","301,644","(+/-3,225)","283,744","(+/-4,903)","260,487","(+/-3,206)","247,697","(+/-5,822)","290,752","(+/-5,645)","247,570","(+/-6,047)","374,813","(+/-8,073)","225,280","(+/-5,201)","321,212","(+/-7,327)","227,607","(+/-4,993)","292,920","(+/-7,104)","229,472","(+/-4,765)","362,673","(+/-6,826)","281,026","(+/-6,623)","235,602","(+/-5,556)","224,141","(+/-4,601)","280,310","(+/-5,853)","329,908","(+/-5,350)","258,257","(+/-5,904)","248,960","(+/-7,152)","243,628","(+/-6,213)","246,598","(+/-5,173)","232,543","(+/-5,324)","317,199","(+/-5,511)","265,342","(+/-5,386)","298,746","(+/-5,605)","345,826","(+/-6,943)","300,053","(+/-7,282)","242,865","(+/-5,638)"
Housing,"Housing Occupancy","Occupied housing units","290,952","(+/-3,852)","298,256","(+/-4,268)","311,995","(+/-4,964)","285,194","(+/-4,674)","294,732","(+/-5,687)","275,764","(+/-5,438)","267,481","(+/-4,919)","262,450","(+/-4,675)","242,737","(+/-3,037)","273,768","(+/-5,228)","337,775","(+/-5,004)","302,836","(+/-4,741)","226,522","(+/-4,788)","248,627","(+/-4,767)","257,570","(+/-4,692)","271,845","(+/-5,048)","276,769","(+/-4,578)","216,372","(+/-5,026)","271,331","(+/-4,457)","276,897","(+/-5,847)","230,335","(+/-4,293)","216,780","(+/-4,633)","259,438","(+/-5,144)","277,419","(+/-4,628)","250,397","(+/-4,071)","247,844","(+/-3,354)","237,438","(+/-5,245)","271,305","(+/-5,319)","234,850","(+/-5,851)","345,310","(+/-7,261)","216,767","(+/-4,905)","302,443","(+/-7,172)","220,734","(+/-5,176)","272,767","(+/-7,250)","221,847","(+/-4,595)","323,832","(+/-5,834)","261,217","(+/-6,663)","226,907","(+/-5,158)","216,143","(+/-5,194)","268,785","(+/-5,316)","277,163","(+/-5,426)","245,115","(+/-5,566)","235,329","(+/-6,826)","233,890","(+/-6,197)","237,263","(+/-5,291)","223,860","(+/-5,307)","293,327","(+/-5,863)","252,575","(+/-4,825)","278,593","(+/-5,043)","315,685","(+/-7,026)","285,034","(+/-6,230)","229,551","(+/-5,640)"
Housing,"Housing Occupancy","Vacant housing units","30,640","(+/-3,574)","36,682","(+/-3,552)","70,683","(+/-4,272)","26,465","(+/-2,809)","36,776","(+/-3,765)","16,310","(+/-2,594)","14,196","(+/-2,484)","13,065","(+/-2,512)","14,896","(+/-2,756)","9,135","(+/-1,993)","44,323","(+/-4,728)","24,022","(+/-3,473)","10,650","(+/-2,010)","10,944","(+/-1,908)","20,616","(+/-3,169)","20,146","(+/-2,954)","14,026","(+/-2,512)","14,783","(+/-2,831)","25,025","(+/-2,626)","20,988","(+/-2,896)","11,686","(+/-2,211)","12,258","(+/-1,867)","50,911","(+/-3,108)","24,225","(+/-3,642)","33,347","(+/-3,023)","12,643","(+/-2,134)","10,259","(+/-2,015)","19,447","(+/-2,705)","12,720","(+/-2,236)","29,503","(+/-3,810)","8,513","(+/-1,884)","18,769","(+/-3,108)","6,873","(+/-1,596)","20,153","(+/-2,643)","7,625","(+/-1,817)","38,841","(+/-4,804)","19,809","(+/-2,561)","8,695","(+/-1,844)","7,998","(+/-1,974)","11,525","(+/-2,695)","52,745","(+/-3,548)","13,142","(+/-2,477)","13,631","(+/-2,329)","9,738","(+/-1,922)","9,335","(+/-1,683)","8,683","(+/-2,010)","23,872","(+/-3,587)","12,767","(+/-2,621)","20,153","(+/-2,807)","30,141","(+/-4,319)","15,019","(+/-3,084)","13,314","(+/-2,412)"
Housing,"Housing Occupancy","Homeowner vacancy rate",1.3,(+/-0.5),0.7,(+/-0.3),1.7,(+/-0.6),1.5,(+/-0.6),0.9,(+/-0.5),0.1,(+/-0.2),0.4,(+/-0.2),0.6,(+/-0.4),0.9,(+/-0.5),0.6,(+/-0.4),0.8,(+/-0.5),0.6,(+/-0.4),0.6,(+/-0.5),0.5,(+/-0.4),0.8,(+/-0.5),0.5,(+/-0.4),0.6,(+/-0.5),0.5,(+/-0.4),0.5,(+/-0.4),0.8,(+/-0.4),0.3,(+/-0.2),0.5,(+/-0.4),0.8,(+/-0.4),0.7,(+/-0.4),0.2,(+/-0.1),0.2,(+/-0.2),1.1,(+/-0.6),1.2,(+/-0.6),0.7,(+/-0.6),0.6,(+/-0.4),0.4,(+/-0.4),0.9,(+/-0.4),0.5,(+/-0.5),1.4,(+/-0.9),0.6,(+/-0.4),0.4,(+/-0.3),1.1,(+/-0.8),0.5,(+/-0.3),0.1,(+/-0.1),0.7,(+/-0.4),0.9,(+/-0.4),0.8,(+/-0.5),0.3,(+/-0.2),0.9,(+/-0.6),0.1,(+/-0.2),0.4,(+/-0.3),0.8,(+/-0.5),0.6,(+/-0.4),0.7,(+/-0.4),0.1,(+/-0.2),0.4,(+/-0.4),0.8,(+/-0.5)
Housing,"Housing Occupancy","Rental vacancy rate",2.5,(+/-0.9),3.7,(+/-1.2),3.9,(+/-1.5),4.0,(+/-1.1),2.6,(+/-1.2),8.2,(+/-1.5),3.8,(+/-1.1),3.5,(+/-1.3),3.3,(+/-1.2),3.2,(+/-1.4),5.8,(+/-1.2),5.9,(+/-1.2),1.9,(+/-0.7),5.7,(+/-1.5),8.6,(+/-1.7),6.4,(+/-1.6),5.3,(+/-1.4),3.1,(+/-1.2),3.1,(+/-1.0),4.3,(+/-1.5),3.4,(+/-1.1),3.5,(+/-0.9),4.7,(+/-1.3),3.5,(+/-1.0),2.8,(+/-1.2),3.8,(+/-1.4),4.8,(+/-1.4),3.6,(+/-1.1),2.8,(+/-0.9),4.1,(+/-0.8),3.2,(+/-1.3),3.5,(+/-1.2),2.6,(+/-1.1),3.5,(+/-0.7),3.1,(+/-1.2),7.3,(+/-1.8),4.0,(+/-0.8),3.5,(+/-1.4),3.5,(+/-1.5),5.4,(+/-2.0),7.7,(+/-2.3),3.3,(+/-1.0),3.0,(+/-0.9),2.3,(+/-0.8),3.3,(+/-1.2),4.4,(+/-1.3),5.4,(+/-1.6),3.7,(+/-1.4),4.3,(+/-1.4),4.5,(+/-1.1),4.8,(+/-1.4),3.5,(+/-1.1)
Housing,"Housing Tenure","Occupied housing units","290,952","(+/-3,852)","298,256","(+/-4,268)","311,995","(+/-4,964)","285,194","(+/-4,674)","294,732","(+/-5,687)","275,764","(+/-5,438)","267,481","(+/-4,919)","262,450","(+/-4,675)","242,737","(+/-3,037)","273,768","(+/-5,228)","337,775","(+/-5,004)","302,836","(+/-4,741)","226,522","(+/-4,788)","248,627","(+/-4,767)","257,570","(+/-4,692)","271,845","(+/-5,048)","276,769","(+/-4,578)","216,372","(+/-5,026)","271,331","(+/-4,457)","276,897","(+/-5,847)","230,335","(+/-4,293)","216,780","(+/-4,633)","259,438","(+/-5,144)","277,419","(+/-4,628)","250,397","(+/-4,071)","247,844","(+/-3,354)","237,438","(+/-5,245)","271,305","(+/-5,319)","234,850","(+/-5,851)","345,310","(+/-7,261)","216,767","(+/-4,905)","302,443","(+/-7,172)","220,734","(+/-5,176)","272,767","(+/-7,250)","221,847","(+/-4,595)","323,832","(+/-5,834)","261,217","(+/-6,663)","226,907","(+/-5,158)","216,143","(+/-5,194)","268,785","(+/-5,316)","277,163","(+/-5,426)","245,115","(+/-5,566)","235,329","(+/-6,826)","233,890","(+/-6,197)","237,263","(+/-5,291)","223,860","(+/-5,307)","293,327","(+/-5,863)","252,575","(+/-4,825)","278,593","(+/-5,043)","315,685","(+/-7,026)","285,034","(+/-6,230)","229,551","(+/-5,640)"
Housing,"Housing Tenure",Owner-occupied,"185,621","(+/-4,668)","192,473","(+/-4,751)","227,530","(+/-5,628)","177,669","(+/-5,305)","208,587","(+/-6,067)","160,406","(+/-5,565)","161,045","(+/-5,075)","161,685","(+/-5,201)","151,601","(+/-4,359)","197,882","(+/-4,679)","115,814","(+/-4,600)","135,309","(+/-4,382)","126,450","(+/-4,812)","153,454","(+/-4,689)","149,451","(+/-4,873)","159,895","(+/-4,368)","139,634","(+/-4,391)","111,875","(+/-4,539)","176,453","(+/-4,525)","183,984","(+/-5,928)","128,126","(+/-4,669)","113,241","(+/-3,930)","168,668","(+/-5,492)","150,558","(+/-3,994)","164,462","(+/-4,652)","163,048","(+/-4,514)","168,996","(+/-5,269)","151,202","(+/-3,977)","92,358","(+/-3,905)","104,063","(+/-4,362)","127,835","(+/-4,771)","156,738","(+/-5,126)","137,431","(+/-5,887)","59,918","(+/-3,390)","125,258","(+/-4,061)","144,375","(+/-5,640)","80,699","(+/-4,275)","150,244","(+/-5,027)","132,948","(+/-4,903)","193,514","(+/-6,233)","206,521","(+/-5,132)","96,070","(+/-4,072)","98,351","(+/-5,689)","115,807","(+/-5,592)","138,336","(+/-5,173)","94,154","(+/-4,296)","149,707","(+/-5,227)","179,874","(+/-4,010)","172,660","(+/-4,588)","150,711","(+/-4,849)","146,688","(+/-5,486)","119,079","(+/-4,893)"
Housing,"Housing Tenure",Renter-occupied,"105,331","(+/-3,778)","105,783","(+/-4,325)","84,465","(+/-5,326)","107,525","(+/-5,487)","86,145","(+/-5,703)","115,358","(+/-5,022)","106,436","(+/-4,754)","100,765","(+/-5,317)","91,136","(+/-4,323)","75,886","(+/-3,949)","221,961","(+/-5,514)","167,527","(+/-4,952)","100,072","(+/-4,675)","95,173","(+/-4,792)","108,119","(+/-4,496)","111,950","(+/-4,922)","137,135","(+/-5,147)","104,497","(+/-4,343)","94,878","(+/-5,023)","92,913","(+/-4,897)","102,209","(+/-4,263)","103,539","(+/-4,584)","90,770","(+/-5,393)","126,861","(+/-4,783)","85,935","(+/-3,833)","84,796","(+/-4,169)","68,442","(+/-4,216)","120,103","(+/-5,180)","142,492","(+/-5,069)","241,247","(+/-7,015)","88,932","(+/-4,210)","145,705","(+/-6,615)","83,303","(+/-4,532)","212,849","(+/-6,597)","96,589","(+/-4,076)","179,457","(+/-7,257)","180,518","(+/-6,810)","76,663","(+/-4,377)","83,195","(+/-4,001)","75,271","(+/-4,835)","70,642","(+/-4,374)","149,045","(+/-5,716)","136,978","(+/-5,079)","118,083","(+/-4,874)","98,927","(+/-5,034)","129,706","(+/-5,761)","143,620","(+/-6,073)","72,701","(+/-4,214)","105,933","(+/-4,902)","164,974","(+/-5,668)","138,346","(+/-5,764)","110,472","(+/-5,256)"
