Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $500",683,(+/-468),582,(+/-311),477,(+/-271),232,(+/-285),337,(+/-239)
Housing,"Selected Monthly Owner Costs(SMOC)","$500 to $999","2,308",(+/-727),"2,663",(+/-905),"2,781","(+/-1,150)",676,(+/-375),"3,538","(+/-1,000)"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 to $1,499","14,907","(+/-2,273)","17,430","(+/-2,138)","14,396","(+/-2,558)","4,128","(+/-1,094)","13,418","(+/-2,011)"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,500 to $1,999","33,371","(+/-3,137)","34,264","(+/-3,137)","25,400","(+/-2,656)","9,112","(+/-1,777)","25,678","(+/-2,428)"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,000 to $2,499","28,631","(+/-3,195)","35,950","(+/-3,313)","30,320","(+/-3,068)","12,805","(+/-1,829)","25,905","(+/-2,920)"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,500 to $2,999","19,981","(+/-2,257)","16,879","(+/-1,923)","19,998","(+/-2,826)","13,054","(+/-1,762)","20,068","(+/-2,497)"
Housing,"Selected Monthly Owner Costs(SMOC)","$3,000 or more","21,378","(+/-2,521)","24,498","(+/-2,358)","24,000","(+/-2,871)","71,423","(+/-3,557)","30,714","(+/-2,756)"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)","2,163",(+/-54),"2,156",(+/-38),"2,258",(+/-50),"3,547",(+/-96),"2,325",(+/-50)
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units without a mortgage","68,194","(+/-4,176)","80,082","(+/-4,080)","67,885","(+/-3,864)","61,797","(+/-3,279)","68,178","(+/-3,291)"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $250",488,(+/-282),741,(+/-352),"1,507",(+/-748),832,(+/-528),229,(+/-302)
Housing,"Selected Monthly Owner Costs(SMOC)","$250 to $399",815,(+/-425),"2,204",(+/-709),836,(+/-500),"1,625",(+/-945),"1,170",(+/-643)
Housing,"Selected Monthly Owner Costs(SMOC)","$400 to $599","5,138","(+/-1,177)","7,202","(+/-1,170)","4,079","(+/-1,061)","2,440",(+/-821),"3,528",(+/-951)
Housing,"Selected Monthly Owner Costs(SMOC)","$600 to $799","11,785","(+/-1,786)","16,783","(+/-2,005)","10,283","(+/-2,055)","3,611","(+/-1,007)","12,417","(+/-2,055)"
Housing,"Selected Monthly Owner Costs(SMOC)","$800 to $999","18,061","(+/-2,421)","18,477","(+/-2,164)","15,222","(+/-1,945)","6,587","(+/-1,421)","15,195","(+/-2,236)"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 or more","31,907","(+/-2,653)","34,675","(+/-2,998)","35,958","(+/-2,645)","46,702","(+/-2,842)","35,639","(+/-2,481)"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",972,(+/-28),943,(+/-22),"1,036",(+/-29),"1,410",(+/-73),"1,023",(+/-33)
Housing,"Gross Rent","Occupied units paying rent","105,459","(+/-4,622)","77,164","(+/-4,184)","108,455","(+/-4,968)","93,218","(+/-3,855)","92,930","(+/-4,979)"
Housing,"Gross Rent","Less than $500","8,988","(+/-1,759)","5,834","(+/-1,578)","6,651","(+/-1,850)","7,584","(+/-1,866)","8,468","(+/-2,298)"
Housing,"Gross Rent","$500 to $999","14,999","(+/-2,186)","11,858","(+/-2,129)","12,286","(+/-2,163)","8,130","(+/-1,816)","16,177","(+/-2,594)"
Housing,"Gross Rent","$1,000 to $1,499","41,774","(+/-3,680)","26,450","(+/-3,213)","35,598","(+/-3,870)","15,415","(+/-2,265)","30,758","(+/-3,401)"
Housing,"Gross Rent","$1,500 to $1,999","26,656","(+/-3,065)","20,805","(+/-2,715)","31,880","(+/-4,011)","20,036","(+/-2,811)","19,506","(+/-2,936)"
Housing,"Gross Rent","$2,000 to $2,499","9,592","(+/-1,533)","7,596","(+/-1,667)","11,405","(+/-1,910)","16,816","(+/-2,327)","9,893","(+/-1,831)"
Housing,"Gross Rent","$2,500 to $2,999","1,366",(+/-836),"2,131","(+/-1,037)","5,262","(+/-1,445)","10,647","(+/-2,117)","3,827","(+/-1,415)"
Housing,"Gross Rent","$3,000 or more","2,084",(+/-744),"2,490",(+/-989),"5,373","(+/-1,305)","14,590","(+/-1,915)","4,301","(+/-1,477)"
Housing,"Gross Rent","Median (dollars)","1,362",(+/-29),"1,401",(+/-45),"1,496",(+/-47),"1,886",(+/-70),"1,359",(+/-41)
Housing,"Gross Rent","No rent paid","4,045","(+/-1,247)","3,947","(+/-1,124)","2,792",(+/-928),"2,955",(+/-959),"3,883",(+/-933)
Socioeconomic,"Income and Benefits (In 2023 inflation-adjusted dollars)","Total households","298,957","(+/-5,603)","293,459","(+/-4,169)","296,504","(+/-3,941)","269,400","(+/-3,815)","284,649","(+/-6,389)"
Socioeconomic,"Income and Benefits (In 2023 inflation-adjusted dollars)","Less than $10,000","15,350","(+/-2,254)","11,253","(+/-2,145)","15,784","(+/-2,481)","12,522","(+/-2,476)","15,680","(+/-3,160)"
Socioeconomic,"Income and Benefits (In 2023 inflation-adjusted dollars)","$10,000 to $14,999","11,033","(+/-2,746)","9,082","(+/-1,736)","8,165","(+/-1,676)","7,778","(+/-1,548)","9,688","(+/-1,909)"
Socioeconomic,"Income and Benefits (In 2023 inflation-adjusted dollars)","$15,000 to $24,999","17,836","(+/-2,432)","13,998","(+/-2,308)","17,521","(+/-2,809)","12,824","(+/-1,848)","18,635","(+/-2,820)"
Socioeconomic,"Income and Benefits (In 2023 inflation-adjusted dollars)","$25,000 to $34,999","18,947","(+/-2,442)","16,402","(+/-2,684)","20,243","(+/-2,956)","11,223","(+/-2,047)","14,522","(+/-2,327)"
Socioeconomic,"Income and Benefits (In 2023 inflation-adjusted dollars)","$35,000 to $49,999","28,975","(+/-3,448)","22,621","(+/-2,641)","28,090","(+/-3,062)","16,318","(+/-2,344)","26,034","(+/-2,754)"
Socioeconomic,"Income and Benefits (In 2023 inflation-adjusted dollars)","$50,000 to $74,999","43,594","(+/-3,136)","42,023","(+/-3,217)","47,013","(+/-3,766)","30,678","(+/-2,870)","37,054","(+/-3,010)"
Socioeconomic,"Income and Benefits (In 2023 inflation-adjusted dollars)","$75,000 to $99,999","37,380","(+/-3,571)","39,504","(+/-2,834)","34,694","(+/-3,776)","26,513","(+/-3,066)","37,042","(+/-3,551)"
Socioeconomic,"Income and Benefits (In 2023 inflation-adjusted dollars)","$100,000 to $149,999","55,762","(+/-3,970)","55,931","(+/-3,772)","53,214","(+/-3,922)","39,976","(+/-3,229)","51,342","(+/-4,086)"
Socioeconomic,"Income and Benefits (In 2023 inflation-adjusted dollars)","$150,000 to $199,999","31,992","(+/-3,508)","36,313","(+/-3,314)","30,198","(+/-2,815)","29,078","(+/-2,673)","30,682","(+/-2,937)"
Socioeconomic,"Income and Benefits (In 2023 inflation-adjusted dollars)","$200,000 or more","38,088","(+/-2,905)","46,332","(+/-3,244)","41,582","(+/-2,825)","82,490","(+/-3,569)","43,970","(+/-2,979)"
Socioeconomic,"Income and Benefits (In 2023 inflation-adjusted dollars)","Median household income (dollars)","83,329","(+/-3,049)","94,194","(+/-4,118)","81,637","(+/-2,105)","117,299","(+/-5,577)","89,288","(+/-3,138)"
Socioeconomic,"Income and Benefits (In 2023 inflation-adjusted dollars)","Mean household income (dollars)","108,645","(+/-2,814)","123,456","(+/-3,171)","110,719","(+/-2,568)","197,837","(+/-6,637)","120,160","(+/-3,712)"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population","708,327","(+/-10,403)","712,970","(+/-9,648)","720,592","(+/-6,962)","718,014","(+/-6,446)","713,918","(+/-10,617)"
Socioeconomic,"Health Insurance Coverage","With health insurance coverage","678,038","(+/-10,694)","686,476","(+/-10,616)","685,467","(+/-9,638)","661,344","(+/-9,651)","657,327","(+/-12,905)"
Socioeconomic,"Health Insurance Coverage","With private health insurance","484,905","(+/-11,506)","505,840","(+/-12,285)","486,793","(+/-11,320)","499,339","(+/-12,455)","447,586","(+/-15,296)"
Socioeconomic,"Health Insurance Coverage","With public coverage","275,263","(+/-8,424)","277,393","(+/-9,257)","293,614","(+/-11,067)","233,194","(+/-9,026)","289,531","(+/-10,254)"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage","30,289","(+/-4,035)","26,494","(+/-4,505)","35,125","(+/-6,164)","56,670","(+/-7,728)","56,591","(+/-7,974)"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population under 19 years","149,788","(+/-6,686)","143,557","(+/-5,099)","147,328","(+/-5,204)","171,343","(+/-4,426)","162,292","(+/-7,852)"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage","2,974","(+/-1,053)","4,084","(+/-1,919)","4,973","(+/-2,182)","5,922","(+/-2,137)","8,666","(+/-2,435)"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","All families",7.9,(+/-1.1),5.9,(+/-1.1),7.7,(+/-1.4),6.2,(+/-1.1),9.2,(+/-1.4)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",12.0,(+/-2.1),10.6,(+/-2.4),13.0,(+/-2.8),7.7,(+/-1.7),15.5,(+/-2.7)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",13.2,(+/-5.4),11.8,(+/-8.1),3.3,(+/-1.9),3.5,(+/-2.4),21.2,(+/-8.5)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Married couple families",3.8,(+/-0.9),2.4,(+/-0.6),4.0,(+/-1.2),3.0,(+/-0.9),3.8,(+/-1.1)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",4.5,(+/-1.7),2.6,(+/-1.5),6.1,(+/-2.7),3.4,(+/-1.4),4.6,(+/-2.4)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",3.2,(+/-2.7),3.3,(+/-3.1),1.1,(+/-1.4),2.4,(+/-2.4),0.7,(+/-1.2)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Families with female householder, no spouse present",20.4,(+/-3.9),19.1,(+/-4.9),17.2,(+/-3.9),19.5,(+/-4.7),26.0,(+/-4.9)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",26.7,(+/-6.2),29.2,(+/-7.5),25.6,(+/-6.6),24.3,(+/-6.4),37.7,(+/-6.8)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",34.8,(+/-14.7),40.2,(+/-31.5),11.3,(+/-8.3),15.9,(+/-16.9),55.6,(+/-19.2)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","All people",10.9,(+/-1.1),8.7,(+/-0.9),11.1,(+/-1.3),8.7,(+/-1.0),11.9,(+/-1.4)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Under 18 years",14.4,(+/-2.8),10.8,(+/-2.3),16.1,(+/-3.4),9.3,(+/-2.1),16.2,(+/-3.0)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder under 18 years",14.2,(+/-2.8),10.5,(+/-2.4),15.7,(+/-3.4),9.0,(+/-2.1),15.7,(+/-3.0)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder under 5 years",14.2,(+/-4.1),9.8,(+/-3.5),13.9,(+/-5.7),8.8,(+/-3.5),19.3,(+/-3.8)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder 5 to 17 years",14.3,(+/-3.0),10.7,(+/-2.5),16.3,(+/-3.8),9.1,(+/-2.1),14.5,(+/-3.4)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","18 years and over",10.1,(+/-1.0),8.3,(+/-0.8),9.9,(+/-1.0),8.6,(+/-0.9),10.8,(+/-1.1)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","65 years and over",10.3,(+/-1.8),7.4,(+/-1.1),9.8,(+/-1.5),10.0,(+/-1.7),9.6,(+/-1.8)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","People in families",8.3,(+/-1.3),5.8,(+/-1.0),8.3,(+/-1.5),6.1,(+/-1.1),9.4,(+/-1.5)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Unrelated individuals 15 years and over",20.1,(+/-2.1),20.2,(+/-1.8),20.4,(+/-2.1),20.8,(+/-2.3),22.1,(+/-2.4)
Education,"School Enrollment","Population 3 years and over enrolled in school","164,866","(+/-6,633)","162,812","(+/-5,012)","176,852","(+/-5,929)","184,465","(+/-5,312)","172,963","(+/-9,500)"
Education,"School Enrollment","Nursery school, preschool","8,805","(+/-1,545)","8,780","(+/-1,641)","10,202","(+/-2,167)","15,555","(+/-1,863)","11,181","(+/-2,396)"
Education,"School Enrollment",Kindergarten,"6,983","(+/-1,444)","6,623","(+/-1,571)","6,233","(+/-1,894)","9,349","(+/-1,671)","8,994","(+/-1,856)"
Education,"School Enrollment","Elementary school (grades 1-8)","63,718","(+/-5,055)","58,902","(+/-4,047)","59,070","(+/-4,015)","70,739","(+/-2,823)","66,107","(+/-5,168)"
Education,"School Enrollment","High school (grades 9-12)","40,457","(+/-3,135)","36,325","(+/-2,759)","35,780","(+/-2,937)","44,879","(+/-3,287)","41,924","(+/-4,417)"
Education,"School Enrollment","College or graduate school","44,903","(+/-3,036)","52,182","(+/-3,681)","65,567","(+/-3,809)","43,943","(+/-3,569)","44,757","(+/-5,239)"
Education,"Educational Attainment","Population 25 years and over","510,616","(+/-7,802)","522,109","(+/-6,107)","518,137","(+/-6,122)","500,723","(+/-5,270)","508,337","(+/-9,327)"
Education,"Educational Attainment","Less than 9th grade","17,920","(+/-2,595)","8,711","(+/-1,647)","15,949","(+/-2,666)","26,486","(+/-3,205)","25,291","(+/-3,437)"
Education,"Educational Attainment","9th to 12th grade, no diploma","28,294","(+/-3,372)","16,547","(+/-1,987)","23,278","(+/-3,400)","22,067","(+/-3,036)","26,471","(+/-3,681)"
Education,"Educational Attainment","High school graduate (includes equivalency)","131,904","(+/-6,596)","148,269","(+/-6,597)","150,581","(+/-7,078)","89,708","(+/-5,725)","133,147","(+/-8,117)"
Education,"Educational Attainment","Some college, no degree","85,338","(+/-5,126)","90,654","(+/-4,921)","77,009","(+/-5,039)","57,156","(+/-4,302)","87,629","(+/-6,045)"
Education,"Educational Attainment","Associate's degree","44,269","(+/-3,895)","47,064","(+/-3,558)","40,079","(+/-3,614)","29,086","(+/-3,039)","38,700","(+/-4,200)"
Education,"Educational Attainment","Bachelor's degree","107,072","(+/-5,018)","115,290","(+/-5,247)","109,461","(+/-5,132)","148,997","(+/-5,828)","110,426","(+/-5,945)"
Education,"Educational Attainment","Graduate or professional degree","95,819","(+/-6,202)","95,574","(+/-5,121)","101,780","(+/-4,905)","127,223","(+/-5,063)","86,673","(+/-5,057)"
Education,"Educational Attainment","Percent high school graduate or higher",90.9,(+/-0.9),95.2,(+/-0.5),92.4,(+/-0.8),90.3,(+/-0.8),89.8,(+/-1.0)
Education,"Educational Attainment","Percent bachelor's degree or higher",39.7,(+/-1.4),40.4,(+/-1.3),40.8,(+/-1.2),55.2,(+/-1.2),38.8,(+/-1.4)

"Source: 2023 American Community Survey 1-Year Estimates"
"Estimates in the People, Workers, Housing, Socioeconomic, and Education tabs are from the American Community Survey (ACS). The ACS is an annual household survey developed by the U.S. Census Bureau to replace the long form of the decennial census program. Each year, the ACS samples about 3.5 million household addresses to produce nearly 11 billion estimates covering demographic, social, economic, and housing characteristics."
"Except where noted, 'race' refers to people reporting only one race.  'Hispanic' refers to an ethnic category;  Hispanics may be of any race."
"An '-' The estimate could not be computed because there were an insufficient number of sample observations. For a ratio of medians estimate, one or both of the median estimates falls in the lowest interval or highest interval of an open-ended distribution. For a 5-year median estimate, the margin of error associated with a median was larger than the median itself."
"median- The median falls in the lowest interval of an open-ended distribution (for example '2,500-')"
"median+ The median falls in the highest interval of an open-ended distribution (for example '250,000+')"
"An '**' The margin of error could not be computed because there were an insufficient number of sample observations."
"An '***' The margin of error could not be computed because the median falls in the lowest interval or highest interval of an open-ended distribution. "
"An '*****' A margin of error is not appropriate because the corresponding estimate is controlled to an independent population or housing estimate. Effectively, the corresponding estimate has no sampling error and the margin of error may be treated as zero. "
"An 'N' The estimate or margin of error cannot be displayed because there were an insufficient number of sample cases in the selected geographic area."
"An '(X)' The estimate or margin of error is not applicable or not available.  "
"If calculating a percentage, use the total population line within the section as the denominator. Do not use total population lines from other sections since these may have different universes."

Topic,Subject,Title,"District 01 Estimate","District 01 Flag","District 02 Estimate","District 02 Flag","District 03 Estimate","District 03 Flag","District 04 Estimate","District 04 Flag","District 05 Estimate","District 05 Flag"
Business,"Paid employees for pay period including March 12","Total for all sectors","350,623",G,"216,020",G,"342,793",G,"300,819",G,"267,921",G
Business,"Paid employees for pay period including March 12","Agriculture, forestry, fishing and hunting",9,G,72,H,24,J,138,J,82,H
Business,"Paid employees for pay period including March 12","Mining, quarrying, and oil and gas extraction",74,J,235,G,51,H,17,J,148,G
Business,"Paid employees for pay period including March 12",Utilities,"2,314",J,"1,644",J,"1,887",J,896,H,802,J
Business,"Paid employees for pay period including March 12",Construction,"12,753",G,"9,388",G,"14,064",G,"8,962",G,"14,806",G
Business,"Paid employees for pay period including March 12",Manufacturing,"40,506",G,"31,102",H,"37,547",G,"10,391",G,"32,305",G
Business,"Paid employees for pay period including March 12","Wholesale trade","14,989",G,"8,892",G,"16,198",G,"14,907",G,"9,461",G
Business,"Paid employees for pay period including March 12","Retail trade","36,309",G,"34,521",G,"36,450",G,"33,467",G,"38,061",G
Business,"Paid employees for pay period including March 12","Transportation and warehousing","21,609",G,"9,021",G,"13,636",G,"5,178",G,"6,408",G
Business,"Paid employees for pay period including March 12",Information,"10,024",H,"2,571",G,"3,992",H,"13,603",H,"4,707",G
Business,"Paid employees for pay period including March 12","Finance and insurance","41,473",H,"6,184",G,"11,536",G,"25,891",G,"17,794",H
Business,"Paid employees for pay period including March 12","Real estate and rental and leasing","4,141",G,"1,753",G,"4,544",G,"5,317",G,"4,365",G
Business,"Paid employees for pay period including March 12","Professional, scientific, and technical services","23,319",G,"14,158",G,"23,539",G,"31,680",G,"14,427",G
Business,"Paid employees for pay period including March 12","Management of companies and enterprises","4,848",G,678,G,"7,958",G,"13,054",G,"5,485",G
Business,"Paid employees for pay period including March 12","Administrative and support and waste management and remediation services","20,772",G,"6,546",G,"16,753",G,"18,972",G,"15,080",G
Business,"Paid employees for pay period including March 12","Educational services","9,289",G,"4,206",G,"42,066",H,"15,332",G,"7,900",G
Business,"Paid employees for pay period including March 12","Health care and social assistance","63,638",G,"38,746",G,"71,689",G,"54,628",G,"59,669",G
Business,"Paid employees for pay period including March 12","Arts, entertainment, and recreation","4,986",G,"3,873",G,"3,748",G,"9,060",G,"4,097",G
Business,"Paid employees for pay period including March 12","Accommodation and food services","26,015",G,"34,073",G,"25,358",G,"26,915",G,"21,547",G
Business,"Paid employees for pay period including March 12","Other services (except public administration)","13,549",G,"8,350",G,"11,735",G,"12,381",G,"10,763",G
Business,"Paid employees for pay period including March 12","Industries not classified",6,J,7,J,18,J,30,G,14,G
Business,"Annual payroll ($1,000)","Total for all sectors","25,501,649",G,"12,702,569",G,"23,237,091",G,"31,424,154",G,"16,437,468",G
Business,"Annual payroll ($1,000)","Agriculture, forestry, fishing and hunting",341,H,"1,885",H,750,H,"9,048",H,"2,016",G
Business,"Annual payroll ($1,000)","Mining, quarrying, and oil and gas extraction","11,348",J,"15,297",G,"7,292",J,"1,762",H,"12,403",G
Business,"Annual payroll ($1,000)",Utilities,"320,395",J,"229,342",J,"241,752",J,"120,758",H,"113,983",J
Business,"Annual payroll ($1,000)",Construction,"1,011,263",G,"731,651",G,"1,138,962",G,"740,669",G,"1,191,726",G
Business,"Annual payroll ($1,000)",Manufacturing,"3,915,551",H,"2,615,345",H,"3,141,767",G,"814,505",G,"2,534,151",G
Business,"Annual payroll ($1,000)","Wholesale trade","1,219,937",G,"752,375",G,"1,729,092",G,"1,961,253",G,"725,622",G
Business,"Annual payroll ($1,000)","Retail trade","1,307,886",G,"1,244,125",G,"1,312,370",G,"1,579,369",G,"1,387,915",G
Business,"Annual payroll ($1,000)","Transportation and warehousing","914,472",G,"382,167",G,"666,285",G,"359,163",G,"297,427",G
Business,"Annual payroll ($1,000)",Information,"1,260,835",H,"166,927",G,"343,116",H,"1,881,828",H,"486,927",H
Business,"Annual payroll ($1,000)","Finance and insurance","5,774,922",H,"592,563",G,"1,173,269",G,"9,000,318",G,"1,768,082",G
Business,"Annual payroll ($1,000)","Real estate and rental and leasing","249,980",G,"95,401",G,"262,189",G,"513,425",G,"321,343",G
Business,"Annual payroll ($1,000)","Professional, scientific, and technical services","2,140,072",G,"1,695,771",H,"2,930,812",H,"4,364,515",G,"1,249,630",G
Business,"Annual payroll ($1,000)","Management of companies and enterprises","548,431",G,"52,615",G,"1,081,855",G,"2,281,359",G,"651,697",H
Business,"Annual payroll ($1,000)","Administrative and support and waste management and remediation services","1,068,975",G,"301,345",G,"701,048",G,"1,609,784",H,"761,760",G
Business,"Annual payroll ($1,000)","Educational services","399,820",G,"206,601",H,"2,943,008",H,"723,179",G,"367,089",G
Business,"Annual payroll ($1,000)","Health care and social assistance","3,979,710",G,"2,089,729",G,"4,361,953",H,"3,489,831",G,"3,460,577",G
Business,"Annual payroll ($1,000)","Arts, entertainment, and recreation","132,745",G,"138,494",G,"99,193",G,"591,079",H,"125,923",G
Business,"Annual payroll ($1,000)","Accommodation and food services","653,793",G,"1,089,034",G,"630,319",G,"839,899",G,"550,073",G
Business,"Annual payroll ($1,000)","Other services (except public administration)","590,796",G,"301,673",G,"470,998",G,"538,839",G,"428,661",G
Business,"Annual payroll ($1,000)","Industries not classified",377,H,229,G,"1,061",G,"3,571",G,463,G
Business,"Total Establishments","Total for all sectors","16,982",X,"15,435",X,"17,547",X,"20,669",X,"17,898",X
Business,"Total Establishments","Agriculture, forestry, fishing and hunting",5,X,23,X,9,X,14,X,23,X
Business,"Total Establishments","Mining, quarrying, and oil and gas extraction",5,X,28,X,7,X,6,X,17,X
Business,"Total Establishments",Utilities,33,X,33,X,37,X,31,X,32,X
Business,"Total Establishments",Construction,"1,391",X,"1,584",X,"1,639",X,"1,557",X,"1,924",X
Business,"Total Establishments",Manufacturing,890,X,613,X,864,X,469,X,936,X
Business,"Total Establishments","Wholesale trade",783,X,516,X,831,X,812,X,690,X
Business,"Total Establishments","Retail trade","2,142",X,"2,367",X,"2,204",X,"2,343",X,"2,582",X
Business,"Total Establishments","Transportation and warehousing",497,X,328,X,421,X,350,X,345,X
Business,"Total Establishments",Information,346,X,237,X,300,X,476,X,298,X
Business,"Total Establishments","Finance and insurance","1,080",X,831,X,894,X,"1,801",X,988,X
Business,"Total Establishments","Real estate and rental and leasing",613,X,488,X,627,X,935,X,601,X
Business,"Total Establishments","Professional, scientific, and technical services","1,550",X,"1,350",X,"1,733",X,"2,758",X,"1,578",X
Business,"Total Establishments","Management of companies and enterprises",183,X,46,X,126,X,204,X,134,X
Business,"Total Establishments","Administrative and support and waste management and remediation services",978,X,896,X,944,X,"1,421",X,"1,160",X
Business,"Total Establishments","Educational services",223,X,207,X,306,X,453,X,289,X
Business,"Total Establishments","Health care and social assistance","2,314",X,"2,160",X,"2,409",X,"2,530",X,"2,441",X
Business,"Total Establishments","Arts, entertainment, and recreation",274,X,369,X,326,X,544,X,343,X
Business,"Total Establishments","Accommodation and food services","1,731",X,"1,706",X,"1,912",X,"1,908",X,"1,706",X
Business,"Total Establishments","Other services (except public administration)","1,935",X,"1,644",X,"1,949",X,"2,034",X,"1,798",X
Business,"Total Establishments","Industries not classified",9,X,9,X,9,X,23,X,13,X

"Source: 2022 County Business Patterns for Congressional Districts"
"1. CBP data includes the number of establishments, employment during the week of March 12, and annual payroll. CBP basic data are extracted from the Business Register (BR), a database of all known single and multi-establishment employer companies maintained and updated by the U.S. Census Bureau. Primary causes of differences between CBP employment estimates and ACS estimates: CBP does not cover the self-employed, public employment, and most agricultural employment; CBP estimates are not based on a sample survey; they represent business location as opposed to workers' residence in the district; use the week of March 12 as a reference period; and use a business source to determine industry."
"2. Industries not classified - Industry could not be determined."
"3. Statewide - County Business Patterns data includes employers without a fixed location within a state (or of unknown county location), these are included under a 'statewide' classification. Statewide cases are not included in any particular congressional district (though they would be included in at-large districts). This incomplete detail causes only a slight understatement of a district's total estimates."
"4. Disclosure and Quality Indicator Flag Definitions:"
"G Cell value changed by less than 2 percent by the application of noise"
"H Cell value changed by at least 2 percent but less than 5 percent by the application of noise"
"J Cell value changed by 5 percent or more by the application of noise"
"N Not available or not comparable"
"S Cell value withheld because it did not meet publication standards"
"X Not applicable"
