Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE","District 15 Estimate","District 15 MOE"
People,Ancestry,Swedish,"3,671",(+/-872),"2,513",(+/-849),"3,732","(+/-1,193)","3,927","(+/-1,390)","3,343",(+/-946),"2,987",(+/-919),"4,272","(+/-1,102)","2,166",(+/-867),"3,921","(+/-1,519)","4,597","(+/-1,399)","2,773",(+/-977),"4,542","(+/-2,066)","4,920","(+/-1,261)","5,881","(+/-1,409)","2,939","(+/-1,057)"
People,Ancestry,Swiss,"1,938",(+/-839),"1,863",(+/-869),"3,225","(+/-1,256)","6,938","(+/-2,136)","2,827",(+/-891),"7,774","(+/-1,802)","8,227","(+/-2,089)","1,644",(+/-748),"5,952","(+/-3,342)","2,188",(+/-997),"1,791",(+/-642),"10,537","(+/-2,865)","4,609","(+/-1,348)","4,144","(+/-1,803)","1,747",(+/-723)
People,Ancestry,Ukrainian,"2,676","(+/-1,255)",706,(+/-958),"2,665","(+/-1,296)","1,272",(+/-622),"3,341","(+/-1,240)","2,218",(+/-851),"15,811","(+/-4,139)",966,(+/-503),"1,379",(+/-747),"1,131",(+/-675),"4,172","(+/-1,260)","1,972",(+/-987),"3,615","(+/-1,286)","3,485",(+/-957),"3,417","(+/-1,584)"
People,Ancestry,Welsh,"5,904","(+/-1,585)","8,121","(+/-1,605)","7,102","(+/-1,668)","7,032","(+/-1,476)","6,074","(+/-1,875)","8,087","(+/-1,663)","4,567","(+/-1,205)","4,482","(+/-1,750)","3,880","(+/-1,005)","5,950","(+/-1,464)","4,464","(+/-1,251)","8,409","(+/-2,073)","6,914","(+/-1,629)","6,452","(+/-1,489)","7,444","(+/-2,142)"
People,Ancestry,"West Indian (excluding Hispanic origin groups)","1,352",(+/-636),50,(+/-67),"6,839","(+/-2,508)",986,(+/-602),"1,482","(+/-1,202)","1,019",(+/-772),"1,116",(+/-839),"1,384","(+/-1,123)","3,234","(+/-1,707)","2,442","(+/-1,202)","4,610","(+/-1,957)",610,(+/-458),416,(+/-419),389,(+/-274),"1,048",(+/-511)
People,"Veteran Status","Civilian population 18 years and over","615,544","(+/-6,302)","615,563","(+/-1,886)","611,087","(+/-10,818)","619,484","(+/-3,070)","618,294","(+/-3,099)","619,375","(+/-4,430)","607,232","(+/-7,511)","599,574","(+/-6,839)","607,050","(+/-2,763)","605,510","(+/-2,976)","613,852","(+/-7,308)","620,618","(+/-3,809)","617,577","(+/-3,814)","627,723","(+/-1,462)","601,628","(+/-11,810)"
People,"Veteran Status","Civilian veterans","32,428","(+/-2,747)","46,495","(+/-2,902)","27,721","(+/-2,773)","40,828","(+/-2,846)","43,825","(+/-2,886)","44,769","(+/-3,212)","37,288","(+/-2,734)","41,127","(+/-3,232)","36,353","(+/-2,500)","54,418","(+/-3,362)","27,645","(+/-2,287)","40,714","(+/-2,911)","36,957","(+/-2,993)","45,688","(+/-3,068)","38,279","(+/-3,141)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population","783,715","(+/-7,490)","771,819","(+/-1,903)","780,202","(+/-16,775)","783,785","(+/-3,969)","780,935","(+/-3,409)","755,779","(+/-5,330)","761,935","(+/-9,684)","777,796","(+/-8,357)","766,284","(+/-3,341)","769,603","(+/-3,553)","763,325","(+/-8,945)","795,712","(+/-5,604)","774,092","(+/-3,796)","772,880","(+/-1,202)","778,279","(+/-18,040)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","96,807","(+/-5,588)","136,797","(+/-6,037)","92,224","(+/-4,940)","114,152","(+/-5,815)","111,945","(+/-5,223)","130,051","(+/-6,110)","103,048","(+/-4,875)","102,414","(+/-5,555)","119,511","(+/-5,540)","120,502","(+/-5,764)","134,848","(+/-6,745)","114,000","(+/-5,429)","111,294","(+/-6,220)","115,470","(+/-6,330)","103,901","(+/-6,081)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years","180,229","(+/-6,126)","171,896","(+/-1,397)","172,820","(+/-8,449)","183,081","(+/-2,183)","171,667","(+/-2,332)","153,508","(+/-3,743)","162,215","(+/-5,229)","184,735","(+/-6,406)","168,169","(+/-1,680)","172,186","(+/-1,571)","157,749","(+/-4,622)","183,062","(+/-3,133)","164,199","(+/-2,914)","155,500",(+/-779),"187,250","(+/-8,986)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","10,946","(+/-2,078)","10,372","(+/-1,650)","9,868","(+/-2,277)","9,751","(+/-1,833)","10,267","(+/-1,690)","9,819","(+/-2,127)","7,935","(+/-1,756)","10,626","(+/-2,281)","11,079","(+/-1,876)","11,721","(+/-2,530)","10,585","(+/-1,884)","6,907","(+/-1,314)","10,263","(+/-2,014)","9,021","(+/-1,826)","8,151","(+/-1,965)"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years","483,356","(+/-5,928)","453,730","(+/-1,842)","503,954","(+/-10,984)","458,461","(+/-3,520)","456,792","(+/-3,296)","436,059","(+/-4,725)","443,172","(+/-7,062)","453,086","(+/-6,421)","447,387","(+/-3,080)","451,863","(+/-3,050)","464,094","(+/-7,004)","471,082","(+/-3,866)","455,570","(+/-3,578)","454,702","(+/-1,977)","473,513","(+/-11,673)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","49,953","(+/-4,014)","69,946","(+/-4,790)","52,244","(+/-3,793)","60,679","(+/-4,386)","55,642","(+/-3,958)","64,579","(+/-3,811)","47,133","(+/-3,747)","48,229","(+/-3,654)","59,225","(+/-4,106)","56,786","(+/-3,798)","74,005","(+/-5,500)","59,612","(+/-4,597)","55,705","(+/-4,821)","54,637","(+/-4,372)","57,402","(+/-4,639)"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over","120,130","(+/-3,504)","146,193","(+/-1,541)","103,428","(+/-3,582)","142,243","(+/-2,087)","152,476","(+/-1,745)","166,212","(+/-3,749)","156,548","(+/-3,737)","139,975","(+/-3,742)","150,728","(+/-1,959)","145,554","(+/-1,640)","141,482","(+/-3,508)","141,568","(+/-2,154)","154,323","(+/-3,020)","162,678","(+/-1,305)","117,516","(+/-3,883)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","35,908","(+/-2,916)","56,479","(+/-3,288)","30,112","(+/-2,663)","43,722","(+/-2,709)","46,036","(+/-3,150)","55,653","(+/-3,750)","47,980","(+/-2,569)","43,559","(+/-3,218)","49,207","(+/-2,644)","51,995","(+/-2,917)","50,258","(+/-3,130)","47,481","(+/-2,622)","45,326","(+/-2,630)","51,812","(+/-2,829)","38,348","(+/-2,711)"
People,"Residence 1 Year Ago","Population 1 year and over","788,111","(+/-7,437)","779,914","(+/-2,116)","775,405","(+/-16,180)","793,764","(+/-3,985)","782,792","(+/-3,730)","765,489","(+/-5,242)","761,569","(+/-9,750)","776,674","(+/-7,791)","767,926","(+/-3,735)","777,825","(+/-3,393)","764,023","(+/-8,996)","794,692","(+/-5,615)","773,829","(+/-3,912)","778,159","(+/-1,683)","780,060","(+/-17,818)"
People,"Residence 1 Year Ago","Same house","681,190","(+/-10,097)","714,620","(+/-6,996)","625,009","(+/-17,647)","711,521","(+/-7,662)","709,720","(+/-6,666)","693,295","(+/-7,758)","697,386","(+/-10,430)","695,379","(+/-12,000)","688,602","(+/-7,761)","667,716","(+/-7,226)","655,079","(+/-12,632)","712,077","(+/-8,619)","702,402","(+/-7,626)","701,218","(+/-7,539)","675,783","(+/-17,805)"
People,"Residence 1 Year Ago","Different house (in the U.S. or abroad)","106,921","(+/-8,452)","65,294","(+/-6,484)","150,396","(+/-10,853)","82,243","(+/-6,397)","73,072","(+/-5,328)","72,194","(+/-5,910)","64,183","(+/-7,391)","81,295","(+/-9,358)","79,324","(+/-6,846)","110,109","(+/-7,402)","108,944","(+/-10,094)","82,615","(+/-6,856)","71,427","(+/-6,680)","76,941","(+/-7,664)","104,277","(+/-9,681)"
People,"Residence 1 Year Ago","Different house in the U.S.","101,800","(+/-8,370)","64,381","(+/-6,413)","141,754","(+/-10,337)","79,194","(+/-6,330)","71,094","(+/-5,344)","70,947","(+/-5,726)","59,630","(+/-6,699)","77,336","(+/-9,078)","76,882","(+/-6,881)","105,210","(+/-7,226)","102,449","(+/-9,494)","79,585","(+/-6,676)","70,190","(+/-6,814)","74,387","(+/-7,631)","97,418","(+/-9,259)"
People,"Residence 1 Year Ago","Same county","57,641","(+/-6,478)","28,474","(+/-3,897)","97,047","(+/-8,540)","35,830","(+/-4,196)","34,025","(+/-4,185)","38,170","(+/-4,541)","37,552","(+/-5,898)","40,711","(+/-7,075)","44,411","(+/-6,301)","61,151","(+/-5,597)","76,603","(+/-8,864)","38,212","(+/-5,542)","41,176","(+/-4,882)","37,734","(+/-5,520)","64,654","(+/-7,763)"
People,"Residence 1 Year Ago","Different county","44,159","(+/-5,033)","35,907","(+/-5,223)","44,707","(+/-6,305)","43,364","(+/-5,168)","37,069","(+/-4,139)","32,777","(+/-4,168)","22,078","(+/-3,113)","36,625","(+/-4,808)","32,471","(+/-3,771)","44,059","(+/-4,734)","25,846","(+/-3,528)","41,373","(+/-4,708)","29,014","(+/-4,686)","36,653","(+/-5,276)","32,764","(+/-3,923)"
People,"Residence 1 Year Ago","Same state","26,058","(+/-3,138)","26,510","(+/-4,579)","22,725","(+/-3,239)","31,448","(+/-4,056)","28,311","(+/-3,556)","19,452","(+/-2,859)","14,375","(+/-2,658)","21,980","(+/-4,082)","18,370","(+/-2,796)","26,936","(+/-3,494)","14,905","(+/-2,593)","34,006","(+/-4,584)","21,162","(+/-3,995)","27,174","(+/-4,179)","20,113","(+/-3,306)"
People,"Residence 1 Year Ago","Different state","18,101","(+/-3,638)","9,397","(+/-2,378)","21,982","(+/-4,592)","11,916","(+/-2,877)","8,758","(+/-1,740)","13,325","(+/-3,022)","7,703","(+/-1,788)","14,645","(+/-2,751)","14,101","(+/-2,828)","17,123","(+/-3,857)","10,941","(+/-2,095)","7,367","(+/-1,747)","7,852","(+/-2,050)","9,479","(+/-2,508)","12,651","(+/-2,711)"
People,"Residence 1 Year Ago",Abroad,"5,121","(+/-1,460)",913,(+/-539),"8,642","(+/-2,868)","3,049","(+/-1,604)","1,978",(+/-812),"1,247",(+/-505),"4,553","(+/-2,580)","3,959","(+/-1,826)","2,442",(+/-986),"4,899","(+/-1,540)","6,495","(+/-2,232)","3,030","(+/-1,277)","1,237",(+/-639),"2,554","(+/-1,036)","6,859","(+/-2,491)"
Workers,"Employment Status","Population 16 years and over","640,002","(+/-6,510)","634,481","(+/-2,253)","630,858","(+/-11,597)","642,079","(+/-3,355)","639,499","(+/-3,458)","638,606","(+/-4,471)","626,345","(+/-8,205)","621,484","(+/-6,638)","627,435","(+/-3,272)","631,392","(+/-2,945)","634,496","(+/-7,375)","643,932","(+/-4,404)","639,417","(+/-4,306)","646,380","(+/-1,910)","623,892","(+/-12,659)"
Workers,"Employment Status","In labor force","432,779","(+/-7,368)","369,154","(+/-6,104)","437,790","(+/-10,091)","406,252","(+/-5,395)","404,379","(+/-6,340)","366,185","(+/-6,523)","407,316","(+/-8,529)","400,625","(+/-7,629)","393,985","(+/-6,721)","399,166","(+/-6,074)","402,839","(+/-7,885)","392,922","(+/-5,429)","408,743","(+/-6,951)","399,914","(+/-4,751)","420,654","(+/-10,924)"
Workers,"Employment Status","Civilian labor force","431,978","(+/-7,485)","368,790","(+/-6,139)","437,112","(+/-9,949)","405,774","(+/-5,369)","403,916","(+/-6,334)","365,939","(+/-6,547)","407,175","(+/-8,525)","398,737","(+/-7,767)","393,209","(+/-6,688)","392,545","(+/-6,364)","402,413","(+/-7,881)","392,645","(+/-5,431)","408,712","(+/-6,948)","398,983","(+/-4,799)","419,572","(+/-10,960)"
Workers,"Employment Status",Employed,"413,826","(+/-7,432)","355,579","(+/-6,072)","419,992","(+/-9,503)","390,996","(+/-5,833)","391,342","(+/-6,721)","351,372","(+/-6,421)","394,379","(+/-8,316)","385,645","(+/-8,102)","375,611","(+/-6,244)","373,706","(+/-6,646)","373,680","(+/-8,206)","378,830","(+/-5,505)","391,558","(+/-7,040)","385,296","(+/-5,107)","402,289","(+/-11,011)"
Workers,"Employment Status",Unemployed,"18,152","(+/-2,647)","13,211","(+/-1,860)","17,120","(+/-3,015)","14,778","(+/-2,505)","12,574","(+/-2,138)","14,567","(+/-2,097)","12,796","(+/-2,309)","13,092","(+/-2,379)","17,598","(+/-2,389)","18,839","(+/-2,913)","28,733","(+/-3,522)","13,815","(+/-2,269)","17,154","(+/-2,373)","13,687","(+/-2,267)","17,283","(+/-2,734)"
Workers,"Employment Status","Armed Forces",801,(+/-672),364,(+/-325),678,(+/-516),478,(+/-477),463,(+/-327),246,(+/-208),141,(+/-146),"1,888","(+/-1,525)",776,(+/-459),"6,621","(+/-1,823)",426,(+/-381),277,(+/-197),31,(+/-52),931,(+/-484),"1,082",(+/-695)
Workers,"Employment Status","Not in labor force","207,223","(+/-7,099)","265,327","(+/-6,478)","193,068","(+/-6,474)","235,827","(+/-5,063)","235,120","(+/-5,772)","272,421","(+/-5,961)","219,029","(+/-5,641)","220,859","(+/-6,434)","233,450","(+/-6,115)","232,226","(+/-5,991)","231,657","(+/-6,330)","251,010","(+/-5,790)","230,674","(+/-5,995)","246,466","(+/-4,406)","203,238","(+/-7,825)"
Workers,"Employment Status","Civilian labor force","431,978","(+/-7,485)","368,790","(+/-6,139)","437,112","(+/-9,949)","405,774","(+/-5,369)","403,916","(+/-6,334)","365,939","(+/-6,547)","407,175","(+/-8,525)","398,737","(+/-7,767)","393,209","(+/-6,688)","392,545","(+/-6,364)","402,413","(+/-7,881)","392,645","(+/-5,431)","408,712","(+/-6,948)","398,983","(+/-4,799)","419,572","(+/-10,960)"
Workers,"Employment Status","Unemployment Rate",4.2,(+/-0.6),3.6,(+/-0.5),3.9,(+/-0.7),3.6,(+/-0.6),3.1,(+/-0.5),4.0,(+/-0.6),3.1,(+/-0.6),3.3,(+/-0.6),4.5,(+/-0.6),4.8,(+/-0.7),7.1,(+/-0.9),3.5,(+/-0.6),4.2,(+/-0.6),3.4,(+/-0.6),4.1,(+/-0.6)
Workers,"Commuting to Work","Workers 16 years and over","407,637","(+/-7,171)","350,488","(+/-6,224)","411,025","(+/-9,480)","384,362","(+/-5,942)","385,704","(+/-6,791)","345,979","(+/-6,568)","385,691","(+/-8,442)","381,718","(+/-8,225)","368,317","(+/-6,027)","372,390","(+/-6,138)","365,990","(+/-8,455)","371,793","(+/-5,746)","385,293","(+/-7,475)","378,319","(+/-5,344)","397,571","(+/-10,925)"
Workers,"Commuting to Work","Car, truck, or van -- drove alone","285,927","(+/-8,262)","286,423","(+/-7,411)","276,615","(+/-7,871)","301,826","(+/-6,723)","309,426","(+/-7,066)","277,142","(+/-6,567)","291,655","(+/-7,911)","291,862","(+/-8,063)","294,045","(+/-6,368)","283,628","(+/-7,551)","247,775","(+/-7,920)","279,858","(+/-7,044)","293,525","(+/-7,489)","285,226","(+/-6,700)","289,176","(+/-11,321)"
Workers,"Commuting to Work","Car, truck, or van -- carpooled","30,378","(+/-3,776)","26,046","(+/-3,175)","31,682","(+/-4,931)","30,761","(+/-3,416)","34,069","(+/-4,573)","25,366","(+/-2,385)","26,297","(+/-3,282)","33,209","(+/-4,448)","29,282","(+/-3,176)","31,081","(+/-4,704)","33,899","(+/-3,846)","29,177","(+/-3,103)","27,304","(+/-3,558)","35,488","(+/-3,754)","36,297","(+/-4,431)"
Workers,"Commuting to Work","Public transportation (excluding taxicab)","9,414","(+/-2,543)",555,(+/-334),"9,504","(+/-2,305)","1,712",(+/-772),707,(+/-425),"1,952",(+/-841),"2,076",(+/-759),"2,214","(+/-1,437)","3,093","(+/-1,129)","3,080",(+/-872),"18,274","(+/-2,444)",716,(+/-379),"3,701","(+/-1,320)","2,746","(+/-1,372)","4,197","(+/-1,296)"
Workers,"Commuting to Work",Walked,"10,140","(+/-1,911)","4,188",(+/-918),"11,639","(+/-1,516)","4,367",(+/-891),"8,573","(+/-1,824)","7,965","(+/-1,656)","6,300","(+/-1,137)","7,886","(+/-2,029)","6,432","(+/-1,382)","8,612","(+/-1,844)","12,715","(+/-2,041)","10,900","(+/-1,533)","4,237","(+/-1,203)","5,823","(+/-1,494)","4,891","(+/-1,381)"
Workers,"Commuting to Work","Other means","9,217","(+/-2,319)","2,736",(+/-962),"6,097","(+/-1,396)","4,144","(+/-1,233)","4,264","(+/-1,156)","3,034",(+/-861),"6,811","(+/-1,523)","5,655","(+/-1,714)","4,827","(+/-1,529)","4,113","(+/-1,032)","6,396","(+/-1,340)","9,218","(+/-1,996)","5,002","(+/-1,428)","6,112","(+/-1,251)","5,251","(+/-1,399)"
Workers,"Commuting to Work","Worked from home","62,561","(+/-3,815)","30,540","(+/-3,020)","75,488","(+/-5,035)","41,552","(+/-3,884)","28,665","(+/-2,631)","30,520","(+/-3,061)","52,552","(+/-3,837)","40,892","(+/-3,991)","30,638","(+/-3,275)","41,876","(+/-3,284)","46,931","(+/-3,543)","41,924","(+/-3,041)","51,524","(+/-3,954)","42,924","(+/-3,276)","57,759","(+/-4,091)"
Workers,"Commuting to Work","Mean travel time to work (minutes)",22.5,(+/-0.5),27.6,(+/-0.7),20.8,(+/-0.5),24.1,(+/-0.7),22.2,(+/-0.5),24.4,(+/-0.8),24.2,(+/-0.6),24.3,(+/-0.6),21.3,(+/-0.6),21.6,(+/-0.6),22.5,(+/-0.7),26.6,(+/-0.7),22.9,(+/-0.6),24.4,(+/-0.6),23.1,(+/-0.6)
Workers,Occupation,"Civilian employed population 16 years and over","413,826","(+/-7,432)","355,579","(+/-6,072)","419,992","(+/-9,503)","390,996","(+/-5,833)","391,342","(+/-6,721)","351,372","(+/-6,421)","394,379","(+/-8,316)","385,645","(+/-8,102)","375,611","(+/-6,244)","373,706","(+/-6,646)","373,680","(+/-8,206)","378,830","(+/-5,505)","391,558","(+/-7,040)","385,296","(+/-5,107)","402,289","(+/-11,011)"
Workers,Occupation,"Management, business, science, and arts occupations","209,641","(+/-7,345)","129,898","(+/-5,651)","206,278","(+/-7,701)","162,298","(+/-5,687)","147,437","(+/-6,212)","116,524","(+/-4,864)","174,099","(+/-6,659)","158,185","(+/-6,829)","141,119","(+/-5,668)","156,024","(+/-6,748)","163,991","(+/-6,610)","146,865","(+/-5,213)","162,057","(+/-7,010)","140,009","(+/-5,525)","174,808","(+/-8,276)"
Workers,Occupation,"Service occupations","65,888","(+/-5,593)","58,723","(+/-4,000)","66,451","(+/-4,735)","59,052","(+/-4,289)","60,428","(+/-4,613)","58,543","(+/-4,087)","50,144","(+/-3,727)","57,364","(+/-4,207)","64,150","(+/-4,768)","61,971","(+/-4,824)","66,854","(+/-4,464)","60,033","(+/-3,715)","64,000","(+/-4,758)","66,527","(+/-4,573)","55,619","(+/-4,377)"
Workers,Occupation,"Sales and office occupations","76,569","(+/-4,831)","66,170","(+/-4,294)","73,850","(+/-5,027)","69,966","(+/-4,841)","65,854","(+/-3,828)","70,698","(+/-4,473)","81,226","(+/-4,399)","73,464","(+/-5,076)","68,943","(+/-3,757)","69,377","(+/-5,860)","67,491","(+/-5,048)","74,275","(+/-4,520)","80,670","(+/-5,044)","76,159","(+/-4,409)","74,229","(+/-5,265)"
Workers,Occupation,"Natural resources, construction, and maintenance occupations","17,605","(+/-2,629)","37,646","(+/-3,093)","22,490","(+/-3,438)","26,399","(+/-2,464)","38,746","(+/-3,184)","36,770","(+/-3,297)","32,211","(+/-3,195)","31,023","(+/-3,787)","29,840","(+/-2,442)","25,024","(+/-3,027)","18,354","(+/-2,253)","40,241","(+/-3,316)","26,805","(+/-2,941)","35,985","(+/-3,519)","26,251","(+/-3,342)"
Workers,Occupation,"Production, transportation, and material moving occupations","44,123","(+/-3,849)","63,142","(+/-4,148)","50,923","(+/-4,395)","73,281","(+/-4,493)","78,877","(+/-4,412)","68,837","(+/-4,508)","56,699","(+/-4,603)","65,609","(+/-4,537)","71,559","(+/-4,798)","61,310","(+/-4,212)","56,990","(+/-5,180)","57,416","(+/-3,983)","58,026","(+/-4,058)","66,616","(+/-3,936)","71,382","(+/-5,667)"
Workers,Industry,"Civilian employed population 16 years and over","413,826","(+/-7,432)","355,579","(+/-6,072)","419,992","(+/-9,503)","390,996","(+/-5,833)","391,342","(+/-6,721)","351,372","(+/-6,421)","394,379","(+/-8,316)","385,645","(+/-8,102)","375,611","(+/-6,244)","373,706","(+/-6,646)","373,680","(+/-8,206)","378,830","(+/-5,505)","391,558","(+/-7,040)","385,296","(+/-5,107)","402,289","(+/-11,011)"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining",483,(+/-315),"4,671","(+/-1,284)","1,161",(+/-808),"6,454","(+/-1,160)","6,387","(+/-1,305)","8,593","(+/-2,065)","4,001","(+/-1,180)","3,635","(+/-1,524)","2,853",(+/-908),"1,275",(+/-782),"1,318",(+/-825),"7,246","(+/-1,407)","1,729",(+/-838),"2,974",(+/-959),"2,685",(+/-854)
Workers,Industry,Construction,"17,283","(+/-2,404)","26,557","(+/-3,026)","23,209","(+/-3,565)","21,393","(+/-2,704)","27,343","(+/-2,788)","24,957","(+/-2,489)","25,495","(+/-2,841)","25,444","(+/-3,286)","22,770","(+/-2,545)","19,460","(+/-2,531)","15,783","(+/-2,176)","31,249","(+/-2,726)","20,115","(+/-2,165)","27,455","(+/-3,351)","20,799","(+/-3,021)"
Workers,Industry,Manufacturing,"52,250","(+/-4,937)","53,581","(+/-4,449)","26,459","(+/-3,041)","75,324","(+/-4,430)","78,075","(+/-4,243)","52,176","(+/-3,528)","54,651","(+/-3,714)","65,344","(+/-3,983)","66,712","(+/-5,079)","49,017","(+/-3,464)","42,115","(+/-4,606)","46,679","(+/-3,387)","55,913","(+/-3,986)","67,016","(+/-4,375)","50,842","(+/-3,775)"
Workers,Industry,"Wholesale trade","6,760","(+/-1,614)","5,810","(+/-1,373)","8,074","(+/-2,009)","7,190","(+/-1,468)","6,947","(+/-1,369)","6,618","(+/-1,394)","9,584","(+/-1,259)","6,817","(+/-1,501)","7,067","(+/-1,481)","7,077","(+/-1,596)","6,926","(+/-1,651)","7,410","(+/-1,454)","10,996","(+/-1,918)","9,172","(+/-1,582)","9,193","(+/-1,728)"
Workers,Industry,"Retail trade","44,511","(+/-4,347)","40,685","(+/-3,298)","42,378","(+/-4,795)","42,263","(+/-3,641)","36,879","(+/-3,250)","42,137","(+/-3,541)","42,651","(+/-3,555)","42,901","(+/-3,419)","42,067","(+/-3,349)","37,908","(+/-3,420)","38,561","(+/-4,695)","47,994","(+/-3,672)","47,367","(+/-3,621)","47,334","(+/-3,557)","44,152","(+/-4,032)"
Workers,Industry,"Transportation and warehousing, and utilities","20,601","(+/-3,004)","24,444","(+/-2,448)","29,948","(+/-3,379)","18,882","(+/-2,141)","23,914","(+/-3,003)","25,626","(+/-2,891)","21,480","(+/-2,845)","21,355","(+/-2,925)","22,518","(+/-2,474)","24,223","(+/-3,146)","21,785","(+/-3,382)","22,305","(+/-2,618)","19,761","(+/-2,460)","15,539","(+/-1,980)","35,067","(+/-4,086)"
Workers,Industry,Information,"6,645","(+/-1,391)","2,065",(+/-579),"8,318","(+/-1,856)","4,615","(+/-1,168)","4,429","(+/-1,148)","4,945","(+/-1,190)","7,028","(+/-1,670)","3,721","(+/-1,031)","4,047","(+/-1,290)","4,547","(+/-1,193)","3,357",(+/-834),"5,623","(+/-1,561)","5,026","(+/-1,131)","4,750","(+/-1,230)","7,005","(+/-1,402)"
Workers,Industry,"Finance and insurance, and real estate and rental and leasing","28,301","(+/-3,089)","17,855","(+/-2,079)","39,468","(+/-4,575)","23,914","(+/-2,506)","17,929","(+/-2,535)","15,780","(+/-2,013)","30,404","(+/-2,870)","28,384","(+/-3,608)","15,225","(+/-1,947)","20,671","(+/-2,468)","23,642","(+/-3,138)","24,994","(+/-2,319)","26,641","(+/-2,909)","23,727","(+/-2,697)","33,823","(+/-3,356)"
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services","65,276","(+/-4,440)","29,904","(+/-2,868)","56,518","(+/-4,346)","39,050","(+/-3,197)","31,232","(+/-3,133)","29,375","(+/-3,022)","43,786","(+/-3,263)","38,845","(+/-3,549)","37,223","(+/-3,207)","41,116","(+/-3,687)","46,575","(+/-4,009)","30,503","(+/-2,871)","43,210","(+/-3,500)","34,375","(+/-3,073)","47,461","(+/-3,804)"
Workers,Industry,"Educational services, and health care and social assistance","102,299","(+/-6,004)","91,216","(+/-4,544)","113,036","(+/-6,410)","86,373","(+/-4,510)","93,214","(+/-4,414)","85,138","(+/-4,449)","93,091","(+/-4,838)","86,830","(+/-5,227)","91,553","(+/-4,478)","90,163","(+/-5,183)","111,628","(+/-5,139)","90,929","(+/-4,945)","95,640","(+/-5,842)","87,966","(+/-4,926)","87,628","(+/-5,080)"
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services","38,660","(+/-4,093)","25,732","(+/-2,822)","38,522","(+/-4,202)","28,941","(+/-2,955)","31,534","(+/-2,943)","27,050","(+/-2,370)","29,994","(+/-2,607)","28,739","(+/-2,920)","33,917","(+/-3,226)","35,160","(+/-3,397)","33,511","(+/-3,119)","32,189","(+/-3,154)","34,797","(+/-3,700)","34,669","(+/-3,389)","28,700","(+/-2,957)"
Workers,Industry,"Other services, except public administration","17,581","(+/-2,923)","15,864","(+/-2,204)","16,823","(+/-2,414)","19,531","(+/-2,475)","16,740","(+/-2,297)","17,064","(+/-2,248)","18,356","(+/-2,671)","20,409","(+/-2,824)","17,276","(+/-2,230)","17,343","(+/-2,664)","14,162","(+/-2,179)","15,281","(+/-1,800)","18,641","(+/-2,909)","17,091","(+/-2,582)","16,930","(+/-1,996)"
Workers,Industry,"Public administration","13,176","(+/-2,295)","17,195","(+/-2,196)","16,078","(+/-2,240)","17,066","(+/-2,002)","16,719","(+/-2,397)","11,913","(+/-1,926)","13,858","(+/-2,041)","13,221","(+/-1,959)","12,383","(+/-1,855)","25,746","(+/-3,047)","14,317","(+/-2,104)","16,428","(+/-2,220)","11,722","(+/-2,011)","13,228","(+/-2,005)","18,004","(+/-2,395)"
Workers,"Class of Worker","Civilian employed population 16 years and over","413,826","(+/-7,432)","355,579","(+/-6,072)","419,992","(+/-9,503)","390,996","(+/-5,833)","391,342","(+/-6,721)","351,372","(+/-6,421)","394,379","(+/-8,316)","385,645","(+/-8,102)","375,611","(+/-6,244)","373,706","(+/-6,646)","373,680","(+/-8,206)","378,830","(+/-5,505)","391,558","(+/-7,040)","385,296","(+/-5,107)","402,289","(+/-11,011)"
Workers,"Class of Worker","Private wage and salary workers","345,061","(+/-7,535)","283,019","(+/-6,329)","333,776","(+/-9,587)","316,950","(+/-5,805)","318,797","(+/-7,275)","288,279","(+/-6,273)","328,866","(+/-8,207)","321,323","(+/-7,776)","310,289","(+/-7,641)","301,993","(+/-7,187)","313,147","(+/-8,800)","300,403","(+/-5,663)","326,565","(+/-7,609)","317,442","(+/-6,770)","331,516","(+/-11,112)"
