Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE","District 15 Estimate","District 15 MOE","District 16 Estimate","District 16 MOE","District 17 Estimate","District 17 MOE"
People,Ancestry,Norwegian,"2,375",(+/-717),"1,372","(+/-1,013)","1,750",(+/-925),"3,165","(+/-1,115)","1,930",(+/-768),"3,520","(+/-1,276)","1,811",(+/-726),"2,420",(+/-795),"2,529",(+/-970),"3,581","(+/-1,242)","3,418","(+/-1,913)","1,866",(+/-789),"1,910","(+/-1,132)","1,453",(+/-657),"2,441",(+/-697),"2,456",(+/-858),"3,024",(+/-913)
People,Ancestry,Polish,"47,979","(+/-6,541)","26,527","(+/-4,364)","20,187","(+/-2,747)","44,294","(+/-5,717)","26,140","(+/-3,965)","35,844","(+/-3,968)","33,768","(+/-4,428)","83,349","(+/-6,687)","45,576","(+/-3,859)","22,828","(+/-3,523)","26,491","(+/-3,403)","52,194","(+/-5,074)","27,663","(+/-2,873)","60,533","(+/-4,523)","34,670","(+/-3,012)","55,407","(+/-5,181)","52,154","(+/-4,518)"
People,Ancestry,Portuguese,"1,371",(+/-621),"3,106","(+/-1,799)","1,032",(+/-627),"3,361","(+/-2,870)",496,(+/-309),"1,975",(+/-936),"3,513","(+/-1,367)","1,407",(+/-599),701,(+/-401),744,(+/-605),"2,055","(+/-1,405)",819,(+/-517),585,(+/-405),566,(+/-509),"1,205",(+/-475),"1,403",(+/-889),616,(+/-494)
People,Ancestry,Russian,"11,618","(+/-2,075)","9,656","(+/-2,949)","6,770","(+/-1,580)","10,898","(+/-2,568)","7,155","(+/-1,561)","5,505","(+/-1,197)","4,511","(+/-1,471)","14,822","(+/-2,804)","4,448","(+/-1,150)","3,786",(+/-989),"3,896","(+/-1,491)","8,333","(+/-2,346)","3,393",(+/-972),"5,935","(+/-1,496)","5,926","(+/-1,746)","7,028","(+/-2,246)","7,699","(+/-1,694)"
People,Ancestry,Scotch-Irish,"5,672","(+/-1,501)","1,049",(+/-564),"3,967","(+/-1,748)","4,340","(+/-1,190)","4,645","(+/-1,241)","8,300","(+/-1,818)","3,145","(+/-1,123)","2,008",(+/-761),"5,479","(+/-1,594)","7,140","(+/-1,671)","6,109","(+/-1,265)","7,699","(+/-2,230)","7,883","(+/-1,586)","12,586","(+/-1,791)","7,635","(+/-1,202)","13,722","(+/-1,914)","10,875","(+/-2,029)"
People,Ancestry,Scottish,"10,823","(+/-2,150)","2,980","(+/-1,301)","5,608","(+/-1,353)","13,222","(+/-2,498)","9,979","(+/-1,938)","12,497","(+/-2,011)","5,963","(+/-1,657)","6,247","(+/-1,037)","9,759","(+/-1,555)","13,539","(+/-2,757)","12,247","(+/-1,881)","12,607","(+/-1,987)","13,900","(+/-1,819)","13,421","(+/-2,493)","14,517","(+/-2,148)","14,147","(+/-2,020)","15,801","(+/-2,733)"
People,Ancestry,Slovak,"4,099","(+/-1,048)",687,(+/-361),"1,734",(+/-807),"4,144",(+/-967),"1,832",(+/-747),"2,999",(+/-754),"15,140","(+/-2,852)","15,212","(+/-2,573)","7,398","(+/-1,354)","3,870","(+/-1,311)","3,401","(+/-1,306)","24,517","(+/-3,886)","8,652","(+/-1,522)","22,217","(+/-2,024)","5,694","(+/-1,209)","12,002","(+/-1,997)","19,088","(+/-2,962)"
People,Ancestry,"Subsaharan African","4,462","(+/-2,407)","14,859","(+/-4,504)","15,553","(+/-7,327)","8,869","(+/-2,297)","26,089","(+/-5,405)","5,839","(+/-2,015)","3,025","(+/-1,159)","4,545","(+/-1,565)","1,060",(+/-456),"10,225","(+/-3,178)","6,131","(+/-2,660)","6,070","(+/-1,907)","1,662",(+/-653),"1,036",(+/-463),"2,751","(+/-1,010)","5,134","(+/-1,023)","5,980","(+/-2,251)"
People,Ancestry,Swedish,"3,617","(+/-1,025)","1,695",(+/-889),"3,386",(+/-927),"4,383","(+/-1,490)","4,771","(+/-1,985)","4,498","(+/-1,161)","3,497",(+/-978),"3,084","(+/-1,291)","3,689",(+/-978),"4,351","(+/-1,341)","4,594","(+/-1,463)","5,699","(+/-1,438)","3,966",(+/-975),"4,029","(+/-1,179)","13,233","(+/-1,786)","7,508","(+/-1,328)","5,159","(+/-1,484)"
People,Ancestry,Swiss,"2,260",(+/-780),496,(+/-466),"1,624",(+/-785),"2,076",(+/-776),"1,900",(+/-991),"6,259","(+/-3,297)","1,254",(+/-559),"1,209",(+/-589),"6,598","(+/-2,695)","3,278","(+/-1,036)","17,674","(+/-3,099)","1,136",(+/-503),"6,658","(+/-2,078)","1,570",(+/-543),"4,504","(+/-1,191)","2,043",(+/-617),"2,250","(+/-1,062)"
People,Ancestry,Ukrainian,"16,346","(+/-5,263)","12,674","(+/-3,892)","5,510","(+/-1,788)","10,150","(+/-2,311)","5,708","(+/-1,593)","6,420","(+/-1,982)","7,733","(+/-1,903)","7,673","(+/-1,846)","8,104","(+/-1,457)","4,147","(+/-1,421)","3,228","(+/-1,178)","5,424","(+/-1,399)","3,412","(+/-1,105)","3,527",(+/-973),"2,934",(+/-850),"4,914","(+/-1,399)","5,710","(+/-1,148)"
People,Ancestry,Welsh,"6,610","(+/-1,381)","2,772","(+/-1,112)","2,977",(+/-972),"10,739","(+/-2,304)","3,397",(+/-888),"7,517","(+/-1,529)","7,964","(+/-1,788)","16,318","(+/-2,619)","11,389","(+/-2,070)","7,521","(+/-1,820)","7,858","(+/-2,206)","6,852","(+/-1,593)","5,004","(+/-1,289)","6,295","(+/-1,464)","6,071","(+/-1,295)","5,144","(+/-1,033)","6,385","(+/-1,470)"
People,Ancestry,"West Indian (excluding Hispanic origin groups)","4,559","(+/-1,876)","16,579","(+/-6,764)","16,122","(+/-4,229)","6,257","(+/-1,913)","11,016","(+/-4,208)","2,767","(+/-1,111)","8,650","(+/-3,141)","10,564","(+/-3,163)","1,705",(+/-848),"5,955","(+/-2,462)","2,736","(+/-1,227)","6,993","(+/-4,069)","1,117",(+/-656),"2,001","(+/-1,208)","1,323",(+/-490),582,(+/-365),"1,672",(+/-726)
People,"Veteran Status","Civilian population 18 years and over","611,964","(+/-4,797)","546,836","(+/-14,372)","626,175","(+/-14,965)","614,987","(+/-6,625)","594,075","(+/-6,689)","603,959","(+/-4,570)","618,119","(+/-2,197)","615,805","(+/-3,662)","612,896","(+/-5,390)","611,197","(+/-5,874)","598,770","(+/-5,330)","620,964","(+/-9,879)","611,870","(+/-2,748)","615,116","(+/-3,973)","616,324","(+/-3,199)","610,087","(+/-1,539)","600,237","(+/-8,998)"
People,"Veteran Status","Civilian veterans","33,861","(+/-2,848)","19,494","(+/-3,209)","21,353","(+/-2,939)","30,494","(+/-2,504)","27,203","(+/-3,097)","28,371","(+/-2,290)","36,468","(+/-3,114)","39,125","(+/-2,836)","47,124","(+/-2,395)","41,229","(+/-3,218)","36,442","(+/-3,211)","35,027","(+/-2,801)","49,944","(+/-3,175)","41,650","(+/-2,627)","45,138","(+/-2,563)","43,344","(+/-2,889)","37,755","(+/-2,974)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population","756,486","(+/-6,148)","707,352","(+/-20,171)","763,663","(+/-21,220)","768,583","(+/-8,858)","750,836","(+/-9,253)","771,931","(+/-5,358)","769,860","(+/-3,245)","750,634","(+/-5,187)","748,392","(+/-7,305)","770,202","(+/-8,418)","764,531","(+/-7,587)","745,572","(+/-11,132)","754,136","(+/-3,664)","737,901","(+/-5,685)","727,083","(+/-3,974)","747,723","(+/-2,059)","744,502","(+/-9,860)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","90,711","(+/-6,121)","140,252","(+/-9,229)","125,853","(+/-7,855)","84,341","(+/-5,117)","99,256","(+/-5,778)","86,137","(+/-3,941)","106,681","(+/-6,280)","129,833","(+/-7,199)","118,648","(+/-4,933)","107,801","(+/-5,208)","107,175","(+/-5,806)","105,572","(+/-6,084)","121,535","(+/-5,717)","125,945","(+/-5,009)","118,541","(+/-4,688)","121,396","(+/-5,956)","94,880","(+/-5,310)"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years","151,486","(+/-2,752)","166,462","(+/-10,271)","141,587","(+/-10,698)","166,330","(+/-4,890)","163,677","(+/-4,914)","173,508","(+/-3,019)","160,174","(+/-1,585)","148,116","(+/-2,542)","152,324","(+/-3,260)","169,121","(+/-3,988)","173,475","(+/-3,593)","131,245","(+/-5,574)","153,529","(+/-1,798)","137,926","(+/-3,028)","133,453","(+/-1,842)","149,994","(+/-1,041)","148,974","(+/-4,918)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","7,896","(+/-1,917)","13,961","(+/-3,124)","10,845","(+/-3,714)","5,789","(+/-1,354)","8,214","(+/-2,029)","7,616","(+/-1,445)","15,211","(+/-3,039)","9,931","(+/-1,782)","9,415","(+/-1,386)","11,158","(+/-2,072)","12,029","(+/-2,551)","7,042","(+/-1,687)","9,079","(+/-1,727)","9,555","(+/-1,636)","8,739","(+/-1,184)","11,200","(+/-1,811)","6,710","(+/-1,161)"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years","448,268","(+/-4,629)","431,415","(+/-14,114)","511,114","(+/-14,395)","450,803","(+/-5,574)","457,825","(+/-6,482)","464,624","(+/-4,043)","462,200","(+/-2,251)","445,195","(+/-3,463)","437,079","(+/-4,938)","460,050","(+/-6,212)","439,509","(+/-5,386)","462,862","(+/-9,820)","435,397","(+/-2,816)","427,033","(+/-4,338)","436,547","(+/-3,074)","436,716","(+/-1,622)","435,408","(+/-8,353)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","41,045","(+/-4,314)","78,830","(+/-7,037)","73,948","(+/-6,155)","37,970","(+/-3,433)","49,830","(+/-3,916)","41,122","(+/-3,748)","51,830","(+/-4,311)","66,968","(+/-5,212)","59,370","(+/-3,953)","53,994","(+/-3,962)","53,696","(+/-4,306)","53,519","(+/-4,507)","58,086","(+/-4,078)","58,014","(+/-3,508)","59,543","(+/-3,065)","59,297","(+/-4,450)","45,132","(+/-3,685)"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over","156,732","(+/-2,638)","109,475","(+/-4,530)","110,962","(+/-4,465)","151,450","(+/-3,620)","129,334","(+/-2,842)","133,799","(+/-2,374)","147,486","(+/-1,535)","157,323","(+/-1,985)","158,989","(+/-2,982)","141,031","(+/-3,174)","151,547","(+/-2,691)","151,465","(+/-5,461)","165,210","(+/-1,349)","172,942","(+/-2,209)","157,083","(+/-1,559)","161,013","(+/-1,128)","160,120","(+/-4,935)"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability","41,770","(+/-2,799)","47,461","(+/-4,402)","41,060","(+/-3,844)","40,582","(+/-2,733)","41,212","(+/-3,151)","37,399","(+/-2,553)","39,640","(+/-2,757)","52,934","(+/-3,441)","49,863","(+/-2,792)","42,649","(+/-2,614)","41,450","(+/-2,652)","45,011","(+/-3,605)","54,370","(+/-2,602)","58,376","(+/-3,050)","50,259","(+/-2,469)","50,899","(+/-2,804)","43,038","(+/-3,412)"
People,"Residence 1 Year Ago","Population 1 year and over","757,411","(+/-6,141)","703,178","(+/-19,844)","760,277","(+/-21,403)","774,748","(+/-8,694)","749,218","(+/-9,097)","768,854","(+/-5,491)","771,676","(+/-3,512)","757,557","(+/-5,257)","756,607","(+/-7,281)","773,850","(+/-8,263)","764,826","(+/-7,624)","744,990","(+/-11,157)","758,844","(+/-3,517)","746,473","(+/-5,503)","743,945","(+/-3,918)","754,940","(+/-2,064)","741,930","(+/-9,842)"
People,"Residence 1 Year Ago","Same house","698,103","(+/-9,808)","620,238","(+/-21,729)","629,373","(+/-21,808)","713,846","(+/-10,309)","678,227","(+/-11,408)","696,521","(+/-8,890)","698,331","(+/-7,790)","670,052","(+/-8,869)","689,966","(+/-8,919)","686,204","(+/-9,516)","684,300","(+/-10,090)","640,468","(+/-11,218)","683,082","(+/-7,211)","680,725","(+/-7,702)","650,343","(+/-7,181)","678,624","(+/-6,549)","675,661","(+/-10,841)"
People,"Residence 1 Year Ago","Different house (in the U.S. or abroad)","59,308","(+/-6,986)","82,940","(+/-11,492)","130,904","(+/-10,835)","60,902","(+/-5,190)","70,991","(+/-7,523)","72,333","(+/-6,640)","73,345","(+/-7,021)","87,505","(+/-7,813)","66,641","(+/-4,874)","87,646","(+/-6,775)","80,526","(+/-7,765)","104,522","(+/-8,123)","75,762","(+/-6,023)","65,748","(+/-6,707)","93,602","(+/-5,955)","76,316","(+/-5,985)","66,269","(+/-7,700)"
People,"Residence 1 Year Ago","Different house in the U.S.","53,149","(+/-5,657)","71,830","(+/-10,012)","127,518","(+/-10,779)","58,479","(+/-5,039)","65,707","(+/-7,051)","66,295","(+/-6,882)","69,625","(+/-6,880)","82,414","(+/-7,356)","64,233","(+/-5,007)","81,884","(+/-6,823)","76,217","(+/-7,353)","97,713","(+/-7,743)","73,582","(+/-5,897)","64,798","(+/-6,714)","89,538","(+/-5,823)","73,670","(+/-5,988)","64,737","(+/-7,640)"
People,"Residence 1 Year Ago","Same county","26,394","(+/-4,201)","50,006","(+/-9,104)","73,897","(+/-9,163)","28,265","(+/-3,728)","36,020","(+/-6,196)","34,206","(+/-5,197)","34,886","(+/-5,186)","42,663","(+/-5,880)","31,980","(+/-3,788)","36,966","(+/-5,463)","42,930","(+/-5,736)","64,722","(+/-6,932)","41,805","(+/-4,503)","33,477","(+/-5,362)","39,465","(+/-3,637)","41,918","(+/-5,274)","41,995","(+/-7,259)"
People,"Residence 1 Year Ago","Different county","26,755","(+/-3,444)","21,824","(+/-3,418)","53,621","(+/-6,042)","30,214","(+/-3,669)","29,687","(+/-4,168)","32,089","(+/-4,279)","34,739","(+/-5,621)","39,751","(+/-4,855)","32,253","(+/-3,208)","44,918","(+/-5,155)","33,287","(+/-5,117)","32,991","(+/-3,916)","31,777","(+/-3,808)","31,321","(+/-3,532)","50,073","(+/-4,678)","31,752","(+/-3,176)","22,742","(+/-2,839)"
People,"Residence 1 Year Ago","Same state","18,240","(+/-2,922)","9,294","(+/-2,097)","19,346","(+/-3,752)","18,072","(+/-2,933)","17,894","(+/-3,619)","19,332","(+/-3,064)","19,639","(+/-3,739)","19,503","(+/-3,473)","25,043","(+/-2,627)","31,591","(+/-4,384)","18,456","(+/-3,616)","18,208","(+/-3,536)","18,676","(+/-2,816)","22,948","(+/-2,742)","34,599","(+/-3,989)","19,686","(+/-2,596)","11,741","(+/-2,288)"
People,"Residence 1 Year Ago","Different state","8,515","(+/-2,352)","12,530","(+/-2,668)","34,275","(+/-5,731)","12,142","(+/-2,394)","11,793","(+/-2,208)","12,757","(+/-3,420)","15,100","(+/-3,098)","20,248","(+/-3,137)","7,210","(+/-1,729)","13,327","(+/-3,188)","14,831","(+/-3,383)","14,783","(+/-2,029)","13,101","(+/-2,630)","8,373","(+/-1,779)","15,474","(+/-2,411)","12,066","(+/-2,108)","11,001","(+/-2,163)"
People,"Residence 1 Year Ago",Abroad,"6,159","(+/-3,616)","11,110","(+/-3,852)","3,386","(+/-1,166)","2,423","(+/-1,149)","5,284","(+/-1,995)","6,038","(+/-1,964)","3,720","(+/-1,645)","5,091","(+/-2,054)","2,408","(+/-1,207)","5,762","(+/-1,949)","4,309","(+/-2,273)","6,809","(+/-2,736)","2,180",(+/-787),950,(+/-340),"4,064",(+/-954),"2,646","(+/-1,087)","1,532",(+/-561)
Workers,"Employment Status","Population 16 years and over","631,741","(+/-5,133)","564,127","(+/-15,114)","644,626","(+/-15,711)","638,364","(+/-6,997)","612,916","(+/-7,060)","626,682","(+/-4,954)","637,932","(+/-2,712)","634,324","(+/-4,228)","633,834","(+/-5,840)","632,230","(+/-6,451)","619,048","(+/-5,370)","637,028","(+/-10,041)","631,224","(+/-2,940)","633,232","(+/-4,439)","632,413","(+/-3,452)","629,671","(+/-1,809)","619,243","(+/-9,150)"
Workers,"Employment Status","In labor force","415,126","(+/-6,596)","352,346","(+/-12,387)","426,751","(+/-14,337)","420,639","(+/-8,047)","396,905","(+/-7,975)","422,120","(+/-6,871)","400,302","(+/-5,984)","365,567","(+/-6,772)","381,365","(+/-5,800)","419,943","(+/-7,436)","407,161","(+/-6,299)","406,273","(+/-9,147)","375,899","(+/-6,328)","368,774","(+/-6,487)","354,096","(+/-5,971)","369,447","(+/-5,424)","408,231","(+/-8,697)"
Workers,"Employment Status","Civilian labor force","414,856","(+/-6,641)","351,944","(+/-12,344)","426,127","(+/-14,304)","420,255","(+/-8,067)","396,780","(+/-7,993)","421,917","(+/-6,932)","400,126","(+/-5,994)","365,029","(+/-6,844)","380,810","(+/-5,800)","418,436","(+/-7,492)","406,349","(+/-6,234)","406,093","(+/-9,160)","375,633","(+/-6,318)","368,368","(+/-6,484)","353,892","(+/-5,954)","369,026","(+/-5,450)","407,631","(+/-8,629)"
Workers,"Employment Status",Employed,"400,757","(+/-7,049)","327,495","(+/-12,174)","402,977","(+/-14,443)","405,945","(+/-8,268)","374,090","(+/-7,754)","404,810","(+/-7,222)","381,241","(+/-6,420)","346,893","(+/-6,843)","365,154","(+/-6,235)","403,018","(+/-7,652)","392,587","(+/-6,295)","388,963","(+/-9,159)","362,060","(+/-6,420)","353,617","(+/-6,358)","342,062","(+/-5,926)","354,175","(+/-5,640)","394,167","(+/-8,532)"
Workers,"Employment Status",Unemployed,"14,099","(+/-2,876)","24,449","(+/-3,113)","23,150","(+/-4,116)","14,310","(+/-2,369)","22,690","(+/-3,332)","17,107","(+/-1,921)","18,885","(+/-2,903)","18,136","(+/-2,462)","15,656","(+/-2,003)","15,418","(+/-2,113)","13,762","(+/-2,582)","17,130","(+/-2,613)","13,573","(+/-2,078)","14,751","(+/-1,642)","11,830","(+/-1,442)","14,851","(+/-2,102)","13,464","(+/-2,199)"
Workers,"Employment Status","Armed Forces",270,(+/-218),402,(+/-476),624,(+/-413),384,(+/-328),125,(+/-155),203,(+/-293),176,(+/-230),538,(+/-366),555,(+/-301),"1,507",(+/-684),812,(+/-603),180,(+/-184),266,(+/-217),406,(+/-242),204,(+/-144),421,(+/-309),600,(+/-432)
Workers,"Employment Status","Not in labor force","216,615","(+/-5,742)","211,781","(+/-9,474)","217,875","(+/-9,218)","217,725","(+/-6,762)","216,011","(+/-7,293)","204,562","(+/-6,568)","237,630","(+/-5,879)","268,757","(+/-6,994)","252,469","(+/-5,172)","212,287","(+/-5,085)","211,887","(+/-5,268)","230,755","(+/-7,651)","255,325","(+/-5,568)","264,458","(+/-5,360)","278,317","(+/-5,743)","260,224","(+/-5,539)","211,012","(+/-6,505)"
Workers,"Employment Status","Civilian labor force","414,856","(+/-6,641)","351,944","(+/-12,344)","426,127","(+/-14,304)","420,255","(+/-8,067)","396,780","(+/-7,993)","421,917","(+/-6,932)","400,126","(+/-5,994)","365,029","(+/-6,844)","380,810","(+/-5,800)","418,436","(+/-7,492)","406,349","(+/-6,234)","406,093","(+/-9,160)","375,633","(+/-6,318)","368,368","(+/-6,484)","353,892","(+/-5,954)","369,026","(+/-5,450)","407,631","(+/-8,629)"
Workers,"Employment Status","Unemployment Rate",3.4,(+/-0.7),6.9,(+/-0.9),5.4,(+/-1.0),3.4,(+/-0.6),5.7,(+/-0.8),4.1,(+/-0.5),4.7,(+/-0.7),5.0,(+/-0.7),4.1,(+/-0.5),3.7,(+/-0.5),3.4,(+/-0.6),4.2,(+/-0.6),3.6,(+/-0.5),4.0,(+/-0.4),3.3,(+/-0.4),4.0,(+/-0.6),3.3,(+/-0.5)
Workers,"Commuting to Work","Workers 16 years and over","394,027","(+/-7,287)","317,650","(+/-12,252)","397,266","(+/-14,366)","400,280","(+/-7,974)","366,883","(+/-7,818)","398,426","(+/-6,922)","375,336","(+/-6,821)","341,319","(+/-6,829)","359,378","(+/-6,592)","395,369","(+/-7,619)","386,752","(+/-6,472)","382,137","(+/-9,127)","355,037","(+/-6,343)","346,636","(+/-6,137)","335,241","(+/-5,790)","348,602","(+/-5,694)","388,911","(+/-8,525)"
Workers,"Commuting to Work","Car, truck, or van -- drove alone","276,753","(+/-7,452)","170,638","(+/-10,213)","152,903","(+/-9,446)","268,154","(+/-7,679)","231,982","(+/-7,316)","262,749","(+/-6,992)","283,590","(+/-7,238)","255,991","(+/-5,981)","276,359","(+/-7,421)","272,886","(+/-7,266)","283,277","(+/-7,582)","236,195","(+/-8,540)","278,782","(+/-5,286)","269,186","(+/-5,276)","253,501","(+/-4,985)","264,103","(+/-6,286)","270,487","(+/-8,889)"
Workers,"Commuting to Work","Car, truck, or van -- carpooled","27,440","(+/-4,055)","34,200","(+/-5,729)","24,603","(+/-4,566)","28,947","(+/-3,268)","27,849","(+/-3,598)","38,723","(+/-4,569)","26,582","(+/-2,926)","31,885","(+/-4,071)","33,426","(+/-3,283)","38,623","(+/-4,104)","38,161","(+/-3,689)","23,923","(+/-3,861)","27,120","(+/-2,396)","30,559","(+/-2,959)","26,861","(+/-2,349)","32,829","(+/-3,669)","26,355","(+/-3,224)"
Workers,"Commuting to Work","Public transportation (excluding taxicab)","8,608","(+/-1,739)","41,585","(+/-5,707)","78,414","(+/-6,934)","12,912","(+/-1,826)","25,606","(+/-3,279)","7,416","(+/-1,610)","3,823","(+/-1,040)","4,563","(+/-1,169)",801,(+/-429),"3,502","(+/-1,316)","2,593",(+/-993),"30,663","(+/-3,217)","1,614",(+/-591),"1,885",(+/-728),"3,235","(+/-1,198)","2,356",(+/-792),"10,463","(+/-1,562)"
Workers,"Commuting to Work",Walked,"4,859","(+/-1,272)","19,280","(+/-3,227)","48,863","(+/-4,938)","7,238","(+/-1,691)","13,649","(+/-2,462)","9,233","(+/-1,708)","7,283","(+/-1,492)","6,968","(+/-1,398)","11,552","(+/-2,059)","10,225","(+/-1,743)","11,483","(+/-1,648)","18,239","(+/-3,140)","11,217","(+/-1,478)","8,074","(+/-1,465)","17,175","(+/-1,927)","7,933","(+/-1,342)","5,754","(+/-1,100)"
Workers,"Commuting to Work","Other means","5,317","(+/-1,190)","9,943","(+/-2,186)","16,641","(+/-2,501)","4,735","(+/-1,280)","7,262","(+/-1,785)","6,642","(+/-2,017)","8,312","(+/-1,769)","5,192","(+/-1,266)","4,524",(+/-889),"7,496","(+/-1,849)","8,089","(+/-1,821)","8,146","(+/-1,388)","4,242","(+/-1,338)","4,518","(+/-1,129)","6,021","(+/-1,113)","4,436","(+/-1,114)","4,439","(+/-1,327)"
Workers,"Commuting to Work","Worked from home","71,050","(+/-5,220)","42,004","(+/-4,590)","75,842","(+/-6,412)","78,294","(+/-4,996)","60,535","(+/-4,267)","73,663","(+/-4,002)","45,746","(+/-3,640)","36,720","(+/-3,063)","32,716","(+/-2,873)","62,637","(+/-4,282)","43,149","(+/-3,341)","64,971","(+/-4,728)","32,062","(+/-2,366)","32,414","(+/-3,095)","28,448","(+/-2,144)","36,945","(+/-2,920)","71,413","(+/-5,032)"
Workers,"Commuting to Work","Mean travel time to work (minutes)",29.6,(+/-0.8),31.7,(+/-0.9),30.8,(+/-0.9),27.9,(+/-0.6),29.4,(+/-0.9),27.1,(+/-0.7),27.1,(+/-0.8),25.9,(+/-0.8),24.9,(+/-0.6),22.9,(+/-0.7),24.9,(+/-0.6),25.7,(+/-0.7),25.8,(+/-0.7),25.8,(+/-0.7),23.1,(+/-0.7),23.2,(+/-0.5),25.7,(+/-0.6)
Workers,Occupation,"Civilian employed population 16 years and over","400,757","(+/-7,049)","327,495","(+/-12,174)","402,977","(+/-14,443)","405,945","(+/-8,268)","374,090","(+/-7,754)","404,810","(+/-7,222)","381,241","(+/-6,420)","346,893","(+/-6,843)","365,154","(+/-6,235)","403,018","(+/-7,652)","392,587","(+/-6,295)","388,963","(+/-9,159)","362,060","(+/-6,420)","353,617","(+/-6,358)","342,062","(+/-5,926)","354,175","(+/-5,640)","394,167","(+/-8,532)"
Workers,Occupation,"Management, business, science, and arts occupations","199,340","(+/-6,361)","121,505","(+/-7,297)","214,204","(+/-9,920)","209,920","(+/-7,661)","173,062","(+/-6,966)","210,919","(+/-5,629)","149,732","(+/-5,818)","129,118","(+/-5,724)","125,045","(+/-4,392)","177,622","(+/-6,766)","153,473","(+/-6,568)","196,539","(+/-6,654)","124,773","(+/-4,467)","128,533","(+/-5,326)","125,474","(+/-4,586)","137,226","(+/-4,940)","198,418","(+/-7,921)"
Workers,Occupation,"Service occupations","48,135","(+/-4,308)","75,147","(+/-5,791)","77,036","(+/-7,124)","54,693","(+/-4,858)","67,581","(+/-5,335)","53,233","(+/-4,416)","58,296","(+/-4,215)","60,334","(+/-3,785)","58,978","(+/-3,263)","63,203","(+/-4,142)","60,589","(+/-4,763)","59,837","(+/-4,769)","59,754","(+/-3,635)","59,374","(+/-3,329)","60,577","(+/-3,475)","66,321","(+/-4,156)","57,322","(+/-4,593)"
Workers,Occupation,"Sales and office occupations","79,285","(+/-4,779)","55,545","(+/-5,666)","65,454","(+/-5,577)","71,317","(+/-4,477)","70,691","(+/-4,577)","70,078","(+/-4,619)","74,117","(+/-4,493)","66,676","(+/-4,320)","66,204","(+/-3,860)","73,735","(+/-4,256)","75,046","(+/-4,191)","73,157","(+/-4,251)","70,409","(+/-3,762)","68,465","(+/-4,298)","57,387","(+/-3,001)","66,502","(+/-3,492)","74,050","(+/-4,977)"
Workers,Occupation,"Natural resources, construction, and maintenance occupations","31,040","(+/-3,283)","24,781","(+/-3,232)","11,346","(+/-3,068)","28,165","(+/-3,291)","25,027","(+/-3,149)","25,792","(+/-3,188)","31,471","(+/-3,532)","28,218","(+/-3,108)","37,740","(+/-2,425)","26,748","(+/-3,322)","34,403","(+/-3,067)","21,780","(+/-2,395)","40,531","(+/-2,916)","37,527","(+/-2,817)","37,673","(+/-2,314)","28,662","(+/-2,899)","27,406","(+/-2,852)"
Workers,Occupation,"Production, transportation, and material moving occupations","42,957","(+/-3,626)","50,517","(+/-5,125)","34,937","(+/-6,001)","41,850","(+/-3,838)","37,729","(+/-4,098)","44,788","(+/-3,458)","67,625","(+/-4,620)","62,547","(+/-4,703)","77,187","(+/-4,243)","61,710","(+/-4,414)","69,076","(+/-4,829)","37,650","(+/-3,644)","66,593","(+/-3,977)","59,718","(+/-3,202)","60,951","(+/-2,865)","55,464","(+/-3,374)","36,971","(+/-2,693)"
Workers,Industry,"Civilian employed population 16 years and over","400,757","(+/-7,049)","327,495","(+/-12,174)","402,977","(+/-14,443)","405,945","(+/-8,268)","374,090","(+/-7,754)","404,810","(+/-7,222)","381,241","(+/-6,420)","346,893","(+/-6,843)","365,154","(+/-6,235)","403,018","(+/-7,652)","392,587","(+/-6,295)","388,963","(+/-9,159)","362,060","(+/-6,420)","353,617","(+/-6,358)","342,062","(+/-5,926)","354,175","(+/-5,640)","394,167","(+/-8,532)"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining","1,929",(+/-625),"1,358",(+/-822),886,(+/-521),"2,358",(+/-836),626,(+/-484),"7,168","(+/-2,243)","1,713",(+/-602),"3,318","(+/-1,022)","9,260","(+/-1,445)","6,035","(+/-1,387)","7,258","(+/-1,485)","2,215",(+/-874),"10,348","(+/-1,650)","7,708","(+/-1,358)","9,557","(+/-1,330)","4,781","(+/-1,066)","2,208",(+/-886)
