Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE"
Workers,"Class of Worker","Private wage and salary workers","263,814","(+/-6,698)","235,891","(+/-6,828)","243,535","(+/-6,192)","233,522","(+/-7,324)","289,944","(+/-7,024)","282,837","(+/-7,866)","231,801","(+/-9,302)"
Workers,"Class of Worker","Government workers","46,172","(+/-3,899)","60,114","(+/-3,384)","58,731","(+/-4,817)","51,189","(+/-3,733)","62,166","(+/-4,402)","47,160","(+/-4,006)","59,451","(+/-4,924)"
Workers,"Class of Worker","Self-employed in own not incorporated business workers","17,266","(+/-2,872)","15,787","(+/-2,004)","17,150","(+/-2,394)","25,194","(+/-3,176)","19,144","(+/-2,840)","18,695","(+/-2,853)","13,459","(+/-2,471)"
Workers,"Class of Worker","Unpaid family workers","1,121",(+/-566),"1,084",(+/-601),198,(+/-226),186,(+/-207),954,(+/-481),488,(+/-431),888,(+/-470)
Housing,"Housing Occupancy","Total housing units","357,312","(+/-1,491)","333,411","(+/-2,480)","345,653","(+/-1,240)","328,259","(+/-2,540)","330,809","(+/-1,638)","308,975","(+/-4,083)","355,701","(+/-5,407)"
Housing,"Housing Occupancy","Occupied housing units","296,683","(+/-4,097)","285,816","(+/-4,339)","297,061","(+/-4,128)","283,665","(+/-4,424)","307,930","(+/-3,659)","283,644","(+/-4,695)","296,746","(+/-5,827)"
Housing,"Housing Occupancy","Vacant housing units","60,629","(+/-3,961)","47,595","(+/-3,385)","48,592","(+/-3,946)","44,594","(+/-3,907)","22,879","(+/-3,049)","25,331","(+/-3,305)","58,955","(+/-4,247)"
Housing,"Housing Occupancy","Homeowner vacancy rate",0.9,(+/-0.4),0.9,(+/-0.4),1.6,(+/-0.5),0.9,(+/-0.3),1.0,(+/-0.4),0.6,(+/-0.4),1.3,(+/-0.5)
Housing,"Housing Occupancy","Rental vacancy rate",5.5,(+/-1.5),5.0,(+/-1.3),4.7,(+/-1.6),5.3,(+/-1.6),6.0,(+/-1.5),5.7,(+/-1.5),5.8,(+/-1.4)
Housing,"Housing Tenure","Occupied housing units","296,683","(+/-4,097)","285,816","(+/-4,339)","297,061","(+/-4,128)","283,665","(+/-4,424)","307,930","(+/-3,659)","283,644","(+/-4,695)","296,746","(+/-5,827)"
Housing,"Housing Tenure",Owner-occupied,"208,483","(+/-4,906)","192,970","(+/-4,251)","213,553","(+/-4,637)","215,812","(+/-4,564)","218,878","(+/-4,571)","210,717","(+/-5,000)","178,343","(+/-5,174)"
Housing,"Housing Tenure",Renter-occupied,"88,200","(+/-4,646)","92,846","(+/-4,424)","83,508","(+/-4,187)","67,853","(+/-3,942)","89,052","(+/-3,892)","72,927","(+/-4,685)","118,403","(+/-5,474)"
Housing,"Housing Tenure","Average household size of owner-occupied unit",2.54,(+/-0.05),2.47,(+/-0.04),2.47,(+/-0.04),2.56,(+/-0.04),2.54,(+/-0.04),2.61,(+/-0.04),2.39,(+/-0.05)
Housing,"Housing Tenure","Average household size of renter-occupied unit",2.18,(+/-0.08),2.44,(+/-0.09),2.14,(+/-0.09),2.32,(+/-0.08),2.08,(+/-0.08),2.13,(+/-0.10),2.09,(+/-0.06)
Housing,"Year Householder Moved into Unit","Occupied housing units","296,683","(+/-4,097)","285,816","(+/-4,339)","297,061","(+/-4,128)","283,665","(+/-4,424)","307,930","(+/-3,659)","283,644","(+/-4,695)","296,746","(+/-5,827)"
Housing,"Year Householder Moved into Unit","Moved in 2021 or later","72,468","(+/-4,658)","73,439","(+/-3,616)","72,269","(+/-4,185)","58,823","(+/-3,915)","84,233","(+/-4,880)","72,739","(+/-4,237)","75,502","(+/-5,108)"
Housing,"Year Householder Moved into Unit","Moved in 2018 to 2020","58,300","(+/-4,835)","53,340","(+/-4,017)","55,420","(+/-3,905)","50,643","(+/-3,272)","63,210","(+/-4,538)","60,304","(+/-3,893)","53,144","(+/-4,180)"
Housing,"Year Householder Moved into Unit","Moved in 2010 to 2017","63,742","(+/-4,306)","61,372","(+/-4,097)","58,578","(+/-3,235)","63,050","(+/-3,805)","58,105","(+/-3,834)","57,591","(+/-4,520)","56,093","(+/-5,119)"
Housing,"Year Householder Moved into Unit","Moved in 2000 to 2009","44,366","(+/-3,603)","44,940","(+/-3,311)","47,706","(+/-3,960)","45,047","(+/-2,764)","48,665","(+/-3,181)","44,856","(+/-3,783)","46,348","(+/-3,515)"
Housing,"Year Householder Moved into Unit","Moved in 1990 to 1999","27,317","(+/-2,262)","25,851","(+/-2,447)","31,581","(+/-2,569)","30,258","(+/-2,378)","27,686","(+/-2,379)","26,284","(+/-2,324)","29,134","(+/-2,853)"
Housing,"Year Householder Moved into Unit","Moved in 1989 and earlier","30,490","(+/-2,735)","26,874","(+/-1,885)","31,507","(+/-2,407)","35,844","(+/-2,389)","26,031","(+/-1,974)","21,870","(+/-1,976)","36,525","(+/-3,034)"
Housing,Value,"Owner-occupied units","208,483","(+/-4,906)","192,970","(+/-4,251)","213,553","(+/-4,637)","215,812","(+/-4,564)","218,878","(+/-4,571)","210,717","(+/-5,000)","178,343","(+/-5,174)"
Housing,Value,"Less than $50,000","19,603","(+/-2,533)","21,472","(+/-2,277)","25,548","(+/-2,633)","26,634","(+/-2,201)","12,499","(+/-1,762)","12,878","(+/-1,787)","26,518","(+/-2,748)"
Housing,Value,"$50,000 to $99,999","20,615","(+/-2,406)","24,987","(+/-2,229)","29,649","(+/-2,927)","32,254","(+/-2,749)","15,685","(+/-2,313)","12,346","(+/-1,631)","35,739","(+/-2,822)"
Housing,Value,"$100,000 to $149,999","19,551","(+/-2,190)","26,913","(+/-2,478)","27,631","(+/-3,047)","27,678","(+/-2,681)","17,347","(+/-2,564)","15,619","(+/-2,161)","22,121","(+/-2,652)"
Housing,Value,"$150,000 to $199,999","28,950","(+/-2,443)","29,671","(+/-2,714)","29,163","(+/-2,569)","32,563","(+/-2,841)","23,354","(+/-1,894)","22,558","(+/-2,261)","24,127","(+/-2,588)"
Housing,Value,"$200,000 to $299,999","50,440","(+/-3,466)","43,406","(+/-3,060)","43,970","(+/-3,347)","45,848","(+/-2,980)","52,930","(+/-3,285)","48,620","(+/-3,279)","33,327","(+/-3,125)"
Housing,Value,"$300,000 to $499,999","47,207","(+/-3,286)","34,882","(+/-2,615)","40,246","(+/-3,672)","32,638","(+/-2,765)","64,118","(+/-3,643)","61,304","(+/-3,943)","26,166","(+/-2,424)"
Housing,Value,"$500,000 to $999,999","18,121","(+/-2,318)","9,649","(+/-1,452)","14,333","(+/-1,784)","14,939","(+/-2,166)","29,623","(+/-2,677)","29,411","(+/-2,444)","8,322","(+/-1,481)"
Housing,Value,"$1,000,000 or more","3,996","(+/-1,155)","1,990",(+/-917),"3,013",(+/-834),"3,258",(+/-820),"3,322",(+/-899),"7,981","(+/-1,405)","2,023",(+/-985)
Housing,Value,"Median (dollars)","230,500","(+/-6,318)","187,400","(+/-5,883)","188,000","(+/-9,688)","179,600","(+/-6,177)","275,700","(+/-6,024)","286,200","(+/-7,008)","158,900","(+/-6,993)"
Housing,"Mortgage Status","Owner-occupied units","208,483","(+/-4,906)","192,970","(+/-4,251)","213,553","(+/-4,637)","215,812","(+/-4,564)","218,878","(+/-4,571)","210,717","(+/-5,000)","178,343","(+/-5,174)"
Housing,"Mortgage Status","Housing units with a mortgage","112,516","(+/-4,118)","105,297","(+/-4,166)","110,754","(+/-4,854)","102,326","(+/-4,117)","131,744","(+/-5,218)","129,942","(+/-4,813)","85,314","(+/-4,504)"
Housing,"Mortgage Status","Housing units without a mortgage","95,967","(+/-5,121)","87,673","(+/-3,981)","102,799","(+/-4,520)","113,486","(+/-3,562)","87,134","(+/-4,405)","80,775","(+/-4,015)","93,029","(+/-3,949)"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units with a mortgage","112,516","(+/-4,118)","105,297","(+/-4,166)","110,754","(+/-4,854)","102,326","(+/-4,117)","131,744","(+/-5,218)","129,942","(+/-4,813)","85,314","(+/-4,504)"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $500","1,293",(+/-590),"1,641",(+/-557),"1,659",(+/-601),"1,440",(+/-562),"1,958",(+/-873),252,(+/-162),"1,245",(+/-617)
Housing,"Selected Monthly Owner Costs(SMOC)","$500 to $999","21,567","(+/-2,332)","29,467","(+/-2,684)","28,533","(+/-2,936)","29,447","(+/-2,703)","26,647","(+/-2,837)","17,442","(+/-2,239)","23,355","(+/-2,530)"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 to $1,499","42,709","(+/-3,446)","34,939","(+/-2,940)","39,726","(+/-3,290)","35,525","(+/-2,909)","42,638","(+/-2,968)","40,990","(+/-2,966)","28,426","(+/-3,314)"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,500 to $1,999","23,475","(+/-2,891)","21,484","(+/-2,101)","21,651","(+/-2,310)","20,788","(+/-2,474)","29,092","(+/-3,027)","32,001","(+/-3,106)","19,785","(+/-2,478)"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,000 to $2,499","13,217","(+/-1,964)","11,333","(+/-1,723)","9,228","(+/-1,578)","7,855","(+/-1,430)","15,860","(+/-2,275)","15,877","(+/-2,383)","5,715","(+/-1,351)"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,500 to $2,999","5,201","(+/-1,254)","3,040",(+/-887),"5,252","(+/-1,123)","3,114",(+/-827),"7,667","(+/-1,969)","9,485","(+/-1,837)","2,447",(+/-782)
Housing,"Selected Monthly Owner Costs(SMOC)","$3,000 or more","5,054","(+/-1,095)","3,393","(+/-1,010)","4,705","(+/-1,190)","4,157","(+/-1,061)","7,882","(+/-1,357)","13,895","(+/-1,858)","4,341","(+/-1,224)"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)","1,386",(+/-33),"1,292",(+/-38),"1,299",(+/-39),"1,238",(+/-34),"1,435",(+/-37),"1,590",(+/-36),"1,288",(+/-54)
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units without a mortgage","95,967","(+/-5,121)","87,673","(+/-3,981)","102,799","(+/-4,520)","113,486","(+/-3,562)","87,134","(+/-4,405)","80,775","(+/-4,015)","93,029","(+/-3,949)"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $250","13,006","(+/-2,201)","13,628","(+/-1,815)","14,437","(+/-1,916)","16,149","(+/-1,994)","10,624","(+/-1,784)","7,105","(+/-1,197)","9,792","(+/-1,493)"
Housing,"Selected Monthly Owner Costs(SMOC)","$250 to $399","27,967","(+/-2,745)","29,179","(+/-2,496)","30,863","(+/-2,829)","37,189","(+/-2,748)","25,438","(+/-2,484)","17,731","(+/-1,874)","28,678","(+/-2,756)"
Housing,"Selected Monthly Owner Costs(SMOC)","$400 to $599","31,349","(+/-2,822)","27,126","(+/-2,352)","37,194","(+/-3,166)","36,466","(+/-2,904)","30,141","(+/-2,754)","26,398","(+/-2,505)","31,036","(+/-2,732)"
Housing,"Selected Monthly Owner Costs(SMOC)","$600 to $799","12,965","(+/-2,152)","12,636","(+/-1,723)","12,719","(+/-1,901)","14,527","(+/-1,692)","12,382","(+/-1,656)","14,673","(+/-2,115)","14,995","(+/-2,129)"
Housing,"Selected Monthly Owner Costs(SMOC)","$800 to $999","5,786","(+/-1,412)","2,472",(+/-604),"2,854",(+/-915),"4,792","(+/-1,093)","4,540","(+/-1,183)","6,648","(+/-1,335)","3,879","(+/-1,051)"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 or more","4,894","(+/-1,159)","2,632",(+/-665),"4,732","(+/-1,221)","4,363",(+/-971),"4,009","(+/-1,039)","8,220","(+/-1,296)","4,649","(+/-1,165)"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",438,(+/-13),406,(+/-12),427,(+/-12),416,(+/-12),446,(+/-13),512,(+/-16),444,(+/-14)
Housing,"Gross Rent","Occupied units paying rent","80,320","(+/-4,790)","84,051","(+/-3,916)","73,951","(+/-3,899)","57,009","(+/-3,656)","83,041","(+/-3,891)","67,770","(+/-4,483)","108,766","(+/-5,566)"
Housing,"Gross Rent","Less than $500","7,993","(+/-1,779)","8,605","(+/-1,694)","10,192","(+/-2,231)","11,792","(+/-1,875)","4,746","(+/-1,321)","3,191",(+/-946),"12,338","(+/-2,089)"
Housing,"Gross Rent","$500 to $999","27,518","(+/-3,653)","35,944","(+/-3,008)","37,908","(+/-3,208)","30,954","(+/-2,726)","31,909","(+/-3,249)","14,573","(+/-1,739)","49,082","(+/-4,308)"
Housing,"Gross Rent","$1,000 to $1,499","29,096","(+/-3,282)","28,832","(+/-2,923)","18,808","(+/-2,716)","11,866","(+/-2,016)","24,986","(+/-2,885)","31,060","(+/-3,170)","32,850","(+/-4,180)"
Housing,"Gross Rent","$1,500 to $1,999","9,875","(+/-2,310)","8,266","(+/-1,786)","4,796","(+/-1,315)","1,698",(+/-709),"14,094","(+/-2,687)","14,700","(+/-2,384)","9,170","(+/-1,918)"
Housing,"Gross Rent","$2,000 to $2,499","4,703","(+/-1,685)","1,464",(+/-609),"1,295",(+/-781),495,(+/-394),"4,908","(+/-1,486)","3,041","(+/-1,064)","3,398","(+/-1,271)"
Housing,"Gross Rent","$2,500 to $2,999",641,(+/-736),583,(+/-521),24,(+/-46),64,(+/-96),"1,052",(+/-682),372,(+/-312),582,(+/-612)
Housing,"Gross Rent","$3,000 or more",494,(+/-384),357,(+/-273),928,(+/-571),140,(+/-122),"1,346",(+/-524),833,(+/-415),"1,346",(+/-657)
Housing,"Gross Rent","Median (dollars)","1,068",(+/-42),974,(+/-26),859,(+/-27),743,(+/-33),"1,086",(+/-47),"1,250",(+/-39),943,(+/-26)
Housing,"Gross Rent","No rent paid","7,880","(+/-1,581)","8,795","(+/-1,476)","9,557","(+/-1,725)","10,844","(+/-1,687)","6,011","(+/-1,336)","5,157","(+/-1,435)","9,637","(+/-1,750)"
Socioeconomic,"Income and Benefits (In 2023 inflation-adjusted dollars)","Total households","296,683","(+/-4,097)","285,816","(+/-4,339)","297,061","(+/-4,128)","283,665","(+/-4,424)","307,930","(+/-3,659)","283,644","(+/-4,695)","296,746","(+/-5,827)"
Socioeconomic,"Income and Benefits (In 2023 inflation-adjusted dollars)","Less than $10,000","17,792","(+/-2,524)","20,592","(+/-2,650)","22,495","(+/-2,962)","19,448","(+/-2,275)","13,078","(+/-2,081)","11,994","(+/-2,193)","25,558","(+/-2,899)"
Socioeconomic,"Income and Benefits (In 2023 inflation-adjusted dollars)","$10,000 to $14,999","12,510","(+/-1,912)","13,975","(+/-2,108)","16,638","(+/-2,567)","13,808","(+/-2,005)","10,344","(+/-1,877)","8,677","(+/-1,952)","23,328","(+/-3,026)"
Socioeconomic,"Income and Benefits (In 2023 inflation-adjusted dollars)","$15,000 to $24,999","24,806","(+/-2,972)","26,316","(+/-2,436)","27,977","(+/-2,503)","30,393","(+/-2,782)","20,755","(+/-2,942)","18,206","(+/-2,310)","36,566","(+/-3,673)"
Socioeconomic,"Income and Benefits (In 2023 inflation-adjusted dollars)","$25,000 to $34,999","30,865","(+/-3,240)","25,146","(+/-2,501)","25,219","(+/-2,612)","27,255","(+/-2,609)","22,410","(+/-2,779)","21,433","(+/-2,750)","29,363","(+/-3,332)"
Socioeconomic,"Income and Benefits (In 2023 inflation-adjusted dollars)","$35,000 to $49,999","33,945","(+/-3,368)","34,387","(+/-3,332)","32,872","(+/-2,853)","35,987","(+/-2,695)","32,549","(+/-2,862)","28,005","(+/-2,982)","37,152","(+/-3,605)"
Socioeconomic,"Income and Benefits (In 2023 inflation-adjusted dollars)","$50,000 to $74,999","52,989","(+/-4,350)","50,912","(+/-3,500)","55,628","(+/-4,471)","47,096","(+/-3,588)","48,118","(+/-4,210)","51,391","(+/-3,620)","47,904","(+/-4,226)"
Socioeconomic,"Income and Benefits (In 2023 inflation-adjusted dollars)","$75,000 to $99,999","40,151","(+/-4,562)","39,454","(+/-3,324)","38,139","(+/-3,413)","37,035","(+/-2,623)","43,015","(+/-4,213)","37,978","(+/-3,164)","34,639","(+/-3,089)"
Socioeconomic,"Income and Benefits (In 2023 inflation-adjusted dollars)","$100,000 to $149,999","45,225","(+/-3,326)","45,188","(+/-2,929)","46,276","(+/-3,107)","43,784","(+/-3,090)","58,413","(+/-3,549)","45,843","(+/-3,470)","35,895","(+/-3,948)"
Socioeconomic,"Income and Benefits (In 2023 inflation-adjusted dollars)","$150,000 to $199,999","20,205","(+/-2,786)","16,119","(+/-1,635)","16,495","(+/-2,408)","15,624","(+/-1,917)","27,771","(+/-2,512)","26,185","(+/-3,176)","14,603","(+/-2,314)"
Socioeconomic,"Income and Benefits (In 2023 inflation-adjusted dollars)","$200,000 or more","18,195","(+/-2,236)","13,727","(+/-1,689)","15,322","(+/-2,037)","13,235","(+/-1,893)","31,477","(+/-2,419)","33,932","(+/-2,866)","11,738","(+/-2,011)"
Socioeconomic,"Income and Benefits (In 2023 inflation-adjusted dollars)","Median household income (dollars)","61,856","(+/-1,835)","60,423","(+/-2,050)","59,741","(+/-2,296)","56,948","(+/-2,220)","79,304","(+/-2,814)","76,300","(+/-2,803)","47,972","(+/-2,675)"
Socioeconomic,"Income and Benefits (In 2023 inflation-adjusted dollars)","Mean household income (dollars)","83,511","(+/-3,399)","78,711","(+/-2,576)","78,044","(+/-2,292)","77,368","(+/-2,910)","99,847","(+/-2,282)","112,898","(+/-4,771)","68,392","(+/-2,847)"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population","724,611","(+/-3,611)","701,871","(+/-7,887)","716,179","(+/-3,617)","714,483","(+/-5,999)","748,709","(+/-3,781)","714,802","(+/-9,444)","701,772","(+/-12,317)"
Socioeconomic,"Health Insurance Coverage","With health insurance coverage","666,254","(+/-6,837)","636,940","(+/-9,009)","659,148","(+/-6,151)","645,303","(+/-7,532)","694,260","(+/-7,224)","655,631","(+/-9,852)","638,472","(+/-11,774)"
Socioeconomic,"Health Insurance Coverage","With private health insurance","471,017","(+/-10,760)","448,606","(+/-10,089)","494,348","(+/-9,800)","460,533","(+/-10,188)","559,947","(+/-9,923)","507,491","(+/-11,866)","425,857","(+/-11,549)"
Socioeconomic,"Health Insurance Coverage","With public coverage","286,451","(+/-8,958)","292,568","(+/-8,504)","267,102","(+/-7,921)","299,174","(+/-6,535)","246,271","(+/-8,327)","236,958","(+/-8,953)","309,059","(+/-10,491)"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage","58,357","(+/-6,302)","64,931","(+/-5,033)","57,031","(+/-5,602)","69,180","(+/-5,324)","54,449","(+/-5,625)","59,171","(+/-6,128)","63,300","(+/-5,377)"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population under 19 years","171,246","(+/-2,409)","176,214","(+/-4,460)","164,878","(+/-2,704)","173,911","(+/-3,533)","172,654","(+/-2,428)","176,235","(+/-4,991)","163,984","(+/-7,571)"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage","4,439","(+/-1,766)","8,407","(+/-2,098)","5,070","(+/-1,612)","7,151","(+/-1,876)","4,649","(+/-1,854)","9,239","(+/-2,596)","7,229","(+/-2,140)"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","All families",10.2,(+/-1.4),13.5,(+/-1.5),10.6,(+/-1.3),12.8,(+/-1.2),7.3,(+/-1.1),8.4,(+/-1.2),17.1,(+/-1.7)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",18.0,(+/-2.7),22.1,(+/-2.6),16.1,(+/-2.3),20.0,(+/-2.5),10.4,(+/-2.4),12.1,(+/-2.1),30.0,(+/-3.0)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",16.7,(+/-7.9),21.6,(+/-5.4),16.7,(+/-6.4),20.1,(+/-5.3),5.1,(+/-3.3),9.9,(+/-5.0),26.6,(+/-9.1)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Married couple families",3.1,(+/-0.7),5.2,(+/-1.0),3.8,(+/-1.0),7.3,(+/-1.1),3.1,(+/-0.6),4.6,(+/-1.1),6.0,(+/-1.5)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",2.6,(+/-0.9),6.2,(+/-1.7),3.8,(+/-1.7),11.5,(+/-2.8),3.4,(+/-1.2),5.1,(+/-1.7),8.3,(+/-3.5)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",1.4,(+/-1.9),1.9,(+/-1.4),2.1,(+/-2.1),7.2,(+/-4.3),1.7,(+/-1.3),3.9,(+/-3.6),6.2,(+/-5.6)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Families with female householder, no spouse present",30.4,(+/-4.9),35.7,(+/-4.4),32.2,(+/-4.8),34.5,(+/-4.5),26.9,(+/-4.9),23.9,(+/-4.9),37.0,(+/-4.4)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",41.6,(+/-6.6),47.0,(+/-5.6),40.6,(+/-6.3),42.4,(+/-6.5),30.1,(+/-7.0),30.3,(+/-6.5),52.3,(+/-5.5)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",42.7,(+/-18.4),54.4,(+/-14.2),57.9,(+/-17.5),48.3,(+/-13.4),22.8,(+/-16.9),28.7,(+/-19.9),53.7,(+/-17.3)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","All people",14.0,(+/-1.2),16.7,(+/-1.4),16.0,(+/-1.1),17.8,(+/-1.2),10.4,(+/-1.3),11.3,(+/-1.0),23.5,(+/-1.7)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Under 18 years",21.6,(+/-3.3),23.4,(+/-2.8),17.8,(+/-2.4),23.6,(+/-2.6),13.1,(+/-3.0),13.6,(+/-2.3),36.0,(+/-3.7)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder under 18 years",21.5,(+/-3.3),23.1,(+/-2.8),17.5,(+/-2.4),23.4,(+/-2.6),13.0,(+/-3.1),13.1,(+/-2.2),35.7,(+/-3.7)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder under 5 years",23.7,(+/-5.5),24.4,(+/-4.3),23.7,(+/-5.4),29.2,(+/-4.3),11.2,(+/-4.0),12.0,(+/-4.8),40.5,(+/-7.5)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder 5 to 17 years",20.7,(+/-3.3),22.7,(+/-2.9),15.4,(+/-2.5),21.2,(+/-3.0),13.6,(+/-3.2),13.5,(+/-2.7),34.0,(+/-3.8)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","18 years and over",11.8,(+/-0.9),14.7,(+/-1.2),15.5,(+/-1.1),16.0,(+/-1.0),9.7,(+/-1.0),10.6,(+/-1.0),20.0,(+/-1.5)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","65 years and over",11.0,(+/-1.4),11.3,(+/-1.2),11.4,(+/-1.4),13.8,(+/-1.7),9.1,(+/-1.5),11.1,(+/-1.8),15.6,(+/-1.8)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","People in families",11.3,(+/-1.4),14.2,(+/-1.5),11.1,(+/-1.2),14.5,(+/-1.3),7.8,(+/-1.3),8.8,(+/-1.2),19.7,(+/-2.0)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Unrelated individuals 15 years and over",25.7,(+/-2.3),28.2,(+/-2.3),35.2,(+/-2.4),33.6,(+/-1.9),23.0,(+/-2.4),23.4,(+/-2.3),34.7,(+/-2.5)
Education,"School Enrollment","Population 3 years and over enrolled in school","164,169","(+/-4,572)","167,894","(+/-5,552)","181,011","(+/-4,136)","158,730","(+/-4,453)","179,225","(+/-4,919)","167,659","(+/-6,482)","196,183","(+/-6,308)"
Education,"School Enrollment","Nursery school, preschool","9,653","(+/-2,606)","11,081","(+/-1,830)","8,832","(+/-1,527)","11,048","(+/-1,688)","9,784","(+/-1,867)","12,691","(+/-2,299)","11,693","(+/-1,993)"
Education,"School Enrollment",Kindergarten,"9,705","(+/-2,186)","9,281","(+/-1,853)","8,462","(+/-1,682)","7,428","(+/-1,308)","6,446","(+/-1,598)","9,642","(+/-1,736)","10,989","(+/-2,438)"
Education,"School Enrollment","Elementary school (grades 1-8)","72,614","(+/-3,161)","77,489","(+/-3,454)","68,522","(+/-3,522)","72,594","(+/-3,333)","71,741","(+/-2,982)","74,012","(+/-4,037)","63,029","(+/-5,469)"
Education,"School Enrollment","High school (grades 9-12)","39,006","(+/-2,621)","38,838","(+/-2,187)","38,452","(+/-3,395)","38,646","(+/-2,502)","42,733","(+/-2,440)","41,130","(+/-2,745)","34,663","(+/-3,391)"
Education,"School Enrollment","College or graduate school","33,191","(+/-3,211)","31,205","(+/-2,940)","56,743","(+/-3,212)","29,014","(+/-2,455)","48,521","(+/-3,699)","30,184","(+/-2,785)","75,809","(+/-3,567)"
Education,"Educational Attainment","Population 25 years and over","516,671","(+/-2,890)","494,798","(+/-4,808)","497,715","(+/-3,278)","496,801","(+/-4,716)","525,175","(+/-3,040)","498,455","(+/-6,028)","469,352","(+/-7,861)"
Education,"Educational Attainment","Less than 9th grade","11,813","(+/-2,328)","17,033","(+/-2,145)","18,208","(+/-2,420)","27,388","(+/-3,112)","16,071","(+/-2,227)","11,714","(+/-1,978)","19,403","(+/-2,871)"
Education,"Educational Attainment","9th to 12th grade, no diploma","37,248","(+/-3,308)","41,544","(+/-3,009)","37,965","(+/-3,518)","46,459","(+/-3,462)","31,559","(+/-3,618)","24,676","(+/-3,427)","38,821","(+/-3,898)"
Education,"Educational Attainment","High school graduate (includes equivalency)","166,383","(+/-8,080)","155,333","(+/-5,981)","160,483","(+/-5,877)","165,269","(+/-6,277)","128,579","(+/-6,214)","126,018","(+/-5,556)","150,489","(+/-6,792)"
Education,"Educational Attainment","Some college, no degree","111,693","(+/-5,733)","107,581","(+/-4,780)","104,215","(+/-4,852)","105,548","(+/-5,981)","103,898","(+/-5,921)","99,088","(+/-5,618)","101,900","(+/-5,823)"
Education,"Educational Attainment","Associate's degree","46,299","(+/-4,833)","46,113","(+/-3,535)","48,496","(+/-3,729)","50,310","(+/-3,965)","44,469","(+/-4,041)","41,404","(+/-3,552)","44,657","(+/-3,915)"
Education,"Educational Attainment","Bachelor's degree","92,394","(+/-6,111)","76,859","(+/-4,229)","74,494","(+/-4,782)","62,443","(+/-4,072)","121,764","(+/-5,204)","118,193","(+/-5,620)","69,878","(+/-4,281)"
Education,"Educational Attainment","Graduate or professional degree","50,841","(+/-4,136)","50,335","(+/-3,772)","53,854","(+/-3,946)","39,384","(+/-3,179)","78,835","(+/-5,155)","77,362","(+/-4,921)","44,204","(+/-3,533)"
Education,"Educational Attainment","Percent high school graduate or higher",90.5,(+/-0.9),88.2,(+/-0.8),88.7,(+/-0.8),85.1,(+/-0.9),90.9,(+/-0.9),92.7,(+/-0.8),87.6,(+/-1.0)
Education,"Educational Attainment","Percent bachelor's degree or higher",27.7,(+/-1.4),25.7,(+/-1.1),25.8,(+/-1.4),20.5,(+/-0.9),38.2,(+/-1.2),39.2,(+/-1.4),24.3,(+/-1.1)

