Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE","District 15 Estimate","District 15 MOE","District 16 Estimate","District 16 MOE","District 17 Estimate","District 17 MOE","District 18 Estimate","District 18 MOE","District 19 Estimate","District 19 MOE","District 20 Estimate","District 20 MOE","District 21 Estimate","District 21 MOE","District 22 Estimate","District 22 MOE","District 23 Estimate","District 23 MOE","District 24 Estimate","District 24 MOE","District 25 Estimate","District 25 MOE","District 26 Estimate","District 26 MOE","District 27 Estimate","District 27 MOE","District 28 Estimate","District 28 MOE","District 29 Estimate","District 29 MOE","District 30 Estimate","District 30 MOE","District 31 Estimate","District 31 MOE","District 32 Estimate","District 32 MOE","District 33 Estimate","District 33 MOE","District 34 Estimate","District 34 MOE","District 35 Estimate","District 35 MOE","District 36 Estimate","District 36 MOE","District 37 Estimate","District 37 MOE","District 38 Estimate","District 38 MOE"
Housing,Value,"Less than $50,000","25,260","(+/-2,475)","7,661","(+/-1,829)","5,093","(+/-1,413)","9,865","(+/-1,807)","10,810","(+/-1,411)","12,868","(+/-1,975)","3,423","(+/-1,205)","11,554","(+/-2,172)","6,896","(+/-1,690)","10,869","(+/-2,033)","18,651","(+/-2,717)","6,176","(+/-1,342)","20,304","(+/-2,108)","13,898","(+/-1,837)","15,159","(+/-2,049)","7,908","(+/-1,347)","17,092","(+/-2,443)","6,154","(+/-1,555)","22,015","(+/-2,093)","6,907","(+/-1,462)","7,488","(+/-1,489)","7,868","(+/-1,855)","15,167","(+/-2,190)","3,930",(+/-924),"13,403","(+/-2,129)","5,932","(+/-1,363)","16,829","(+/-2,389)","15,331","(+/-2,947)","10,746","(+/-1,862)","8,259","(+/-1,998)","7,775","(+/-1,579)","3,264",(+/-921),"6,115","(+/-1,324)","24,778","(+/-2,629)","9,455","(+/-1,917)","15,441","(+/-2,363)","3,937","(+/-1,498)","4,807","(+/-1,526)"
Housing,Value,"$50,000 to $99,999","30,195","(+/-3,378)","4,632","(+/-1,360)","2,988",(+/-821),"9,352","(+/-1,725)","13,714","(+/-2,173)","13,073","(+/-1,810)","3,352","(+/-1,024)","9,506","(+/-1,864)","6,115","(+/-1,399)","10,958","(+/-2,129)","21,272","(+/-2,390)","3,523","(+/-1,069)","28,961","(+/-2,642)","17,969","(+/-2,491)","32,924","(+/-3,058)","12,772","(+/-2,020)","18,519","(+/-2,360)","6,407","(+/-1,626)","32,584","(+/-2,827)","10,598","(+/-1,946)","5,505","(+/-1,335)","6,975","(+/-1,691)","18,818","(+/-2,258)","1,691",(+/-850),"11,677","(+/-1,926)","3,747","(+/-1,013)","27,500","(+/-3,022)","20,856","(+/-2,088)","10,234","(+/-1,566)","6,321","(+/-1,541)","5,662","(+/-1,023)","1,766","(+/-1,017)","5,530","(+/-1,310)","37,119","(+/-2,652)","11,235","(+/-2,329)","15,423","(+/-2,354)","1,385",(+/-607),"2,891","(+/-1,422)"
Housing,Value,"$100,000 to $149,999","22,595","(+/-2,094)","5,286","(+/-1,528)","2,787",(+/-866),"9,700","(+/-1,464)","12,378","(+/-2,066)","11,211","(+/-1,853)","5,695","(+/-1,335)","9,676","(+/-1,854)","13,167","(+/-2,071)","13,577","(+/-2,041)","18,205","(+/-2,447)","6,559","(+/-1,541)","23,724","(+/-2,678)","17,486","(+/-1,848)","23,769","(+/-2,288)","34,357","(+/-3,144)","17,183","(+/-2,162)","10,972","(+/-2,002)","24,668","(+/-2,579)","19,200","(+/-2,718)","6,679","(+/-1,381)","6,117","(+/-1,407)","15,818","(+/-2,313)","2,990",(+/-888),"9,574","(+/-1,402)","4,186","(+/-1,352)","21,168","(+/-2,490)","21,132","(+/-2,460)","16,000","(+/-2,513)","11,430","(+/-2,138)","7,148","(+/-1,494)","4,549","(+/-1,295)","8,747","(+/-1,624)","26,875","(+/-3,019)","9,434","(+/-1,882)","18,494","(+/-2,463)","1,340",(+/-893),"3,386","(+/-1,219)"
Housing,Value,"$150,000 to $199,999","26,514","(+/-2,547)","15,510","(+/-2,656)","5,950","(+/-1,334)","11,309","(+/-1,851)","18,706","(+/-2,213)","15,338","(+/-2,052)","7,641","(+/-1,434)","15,079","(+/-2,262)","18,159","(+/-2,573)","10,681","(+/-1,747)","25,526","(+/-3,047)","15,416","(+/-2,422)","25,763","(+/-2,767)","26,102","(+/-2,506)","25,033","(+/-2,335)","32,588","(+/-3,266)","19,552","(+/-2,510)","17,593","(+/-2,568)","23,757","(+/-2,256)","23,059","(+/-3,039)","9,830","(+/-2,016)","11,943","(+/-1,800)","20,462","(+/-2,821)","3,714",(+/-913),"15,866","(+/-2,094)","4,315","(+/-1,013)","23,216","(+/-2,207)","27,859","(+/-3,378)","26,218","(+/-2,877)","12,322","(+/-2,061)","11,478","(+/-1,658)","7,903","(+/-1,523)","20,517","(+/-2,669)","28,361","(+/-2,988)","12,752","(+/-2,130)","26,510","(+/-3,143)",928,(+/-573),"9,879","(+/-2,031)"
Housing,Value,"$200,000 to $299,999","44,073","(+/-3,195)","58,664","(+/-5,161)","18,617","(+/-2,499)","27,110","(+/-2,833)","54,469","(+/-4,011)","39,773","(+/-3,411)","29,841","(+/-3,305)","56,187","(+/-4,206)","51,066","(+/-4,226)","31,696","(+/-3,046)","48,596","(+/-3,511)","44,293","(+/-3,488)","41,349","(+/-2,971)","49,389","(+/-3,600)","36,503","(+/-2,958)","49,641","(+/-3,536)","35,245","(+/-3,436)","45,246","(+/-3,678)","38,847","(+/-2,892)","50,520","(+/-4,092)","33,171","(+/-3,270)","37,905","(+/-3,378)","39,307","(+/-3,844)","24,225","(+/-3,023)","49,761","(+/-4,001)","23,107","(+/-2,552)","45,339","(+/-3,642)","47,311","(+/-4,427)","46,531","(+/-4,027)","47,103","(+/-3,882)","33,674","(+/-2,975)","30,549","(+/-3,242)","34,548","(+/-2,909)","32,118","(+/-2,808)","31,690","(+/-3,222)","59,534","(+/-3,830)","8,234","(+/-1,739)","43,247","(+/-3,868)"
Housing,Value,"$300,000 to $499,999","35,293","(+/-2,957)","73,345","(+/-5,022)","81,098","(+/-4,120)","60,370","(+/-4,002)","70,142","(+/-4,364)","56,940","(+/-4,141)","43,201","(+/-3,438)","78,782","(+/-5,090)","43,801","(+/-3,641)","57,174","(+/-4,044)","46,481","(+/-4,170)","80,949","(+/-4,779)","36,362","(+/-3,137)","53,739","(+/-4,384)","31,291","(+/-2,866)","23,957","(+/-3,229)","53,092","(+/-3,889)","35,828","(+/-3,762)","28,782","(+/-2,511)","37,522","(+/-3,700)","80,300","(+/-4,834)","94,737","(+/-6,064)","52,932","(+/-4,399)","64,485","(+/-3,868)","71,479","(+/-4,207)","90,308","(+/-4,470)","40,731","(+/-3,389)","37,090","(+/-2,964)","20,687","(+/-2,516)","52,799","(+/-3,978)","83,563","(+/-4,589)","38,672","(+/-3,354)","24,606","(+/-2,674)","14,737","(+/-2,054)","65,187","(+/-4,672)","54,853","(+/-4,133)","39,645","(+/-3,651)","78,270","(+/-5,207)"
Housing,Value,"$500,000 to $999,999","19,087","(+/-2,594)","37,419","(+/-4,086)","86,753","(+/-4,202)","68,082","(+/-3,233)","20,533","(+/-2,503)","26,021","(+/-2,631)","29,769","(+/-3,110)","32,160","(+/-3,389)","9,355","(+/-1,472)","51,365","(+/-3,350)","17,945","(+/-2,144)","34,173","(+/-2,821)","12,611","(+/-1,683)","20,432","(+/-2,299)","10,222","(+/-1,557)","6,224","(+/-1,450)","25,504","(+/-2,300)","15,364","(+/-2,456)","8,343","(+/-1,529)","5,488","(+/-1,670)","67,475","(+/-4,256)","54,880","(+/-4,392)","31,943","(+/-3,237)","60,031","(+/-3,455)","26,631","(+/-2,655)","81,536","(+/-4,427)","17,972","(+/-2,404)","7,370","(+/-1,428)","4,431","(+/-1,147)","14,084","(+/-2,405)","64,043","(+/-3,232)","28,885","(+/-2,789)","12,512","(+/-1,927)","5,109","(+/-1,317)","23,988","(+/-3,062)","10,580","(+/-1,787)","83,352","(+/-4,327)","40,062","(+/-2,903)"
Housing,Value,"$1,000,000 or more","3,474","(+/-1,064)","7,528","(+/-1,788)","13,329","(+/-1,880)","10,475","(+/-1,866)","2,956","(+/-1,026)","5,126","(+/-1,084)","15,263","(+/-1,777)","4,250","(+/-1,122)","2,052",(+/-963),"22,418","(+/-2,046)","4,085","(+/-1,013)","6,380","(+/-1,046)","2,608",(+/-750),"2,921","(+/-1,036)","1,148",(+/-484),"1,019",(+/-492),"3,310",(+/-851),"5,629","(+/-1,330)","1,231",(+/-506),662,(+/-409),"23,342","(+/-2,672)","5,676","(+/-1,884)","3,408",(+/-757),"29,499","(+/-2,048)","4,652","(+/-1,158)","11,684","(+/-1,592)","3,577",(+/-838),"1,737",(+/-854),717,(+/-534),"3,078",(+/-930),"8,011","(+/-1,398)","6,257","(+/-1,251)","2,095",(+/-933),836,(+/-449),"3,286","(+/-1,190)","1,452",(+/-600),"30,282","(+/-2,688)","16,025","(+/-1,842)"
Housing,Value,"Median (dollars)","197,100","(+/-7,372)","326,900","(+/-8,201)","480,700","(+/-7,809)","409,800","(+/-13,846)","286,800","(+/-5,793)","294,900","(+/-8,729)","373,700","(+/-10,090)","312,300","(+/-7,182)","256,900","(+/-7,718)","381,100","(+/-13,230)","236,900","(+/-8,472)","342,400","(+/-7,030)","193,200","(+/-7,788)","251,500","(+/-8,799)","182,800","(+/-6,197)","194,500","(+/-5,758)","265,100","(+/-9,934)","264,200","(+/-7,423)","170,900","(+/-5,753)","232,800","(+/-6,251)","430,200","(+/-10,699)","376,200","(+/-7,298)","273,200","(+/-9,972)","481,000","(+/-10,014)","302,600","(+/-7,821)","453,600","(+/-8,305)","219,400","(+/-7,065)","208,100","(+/-7,647)","208,600","(+/-6,589)","285,900","(+/-6,373)","401,400","(+/-7,951)","353,200","(+/-11,449)","247,700","(+/-8,125)","141,400","(+/-6,896)","320,500","(+/-8,016)","245,100","(+/-7,735)","629,500","(+/-13,603)","370,600","(+/-8,379)"
Housing,"Mortgage Status","Owner-occupied units","206,491","(+/-5,016)","210,045","(+/-7,517)","216,615","(+/-5,367)","206,263","(+/-5,455)","203,708","(+/-5,527)","180,350","(+/-5,245)","138,185","(+/-5,671)","217,194","(+/-6,754)","150,611","(+/-5,868)","208,738","(+/-5,469)","200,761","(+/-6,124)","197,469","(+/-6,499)","191,682","(+/-4,732)","201,936","(+/-5,090)","176,049","(+/-4,418)","168,466","(+/-5,660)","189,497","(+/-4,751)","143,193","(+/-6,495)","180,227","(+/-4,591)","153,956","(+/-6,084)","233,790","(+/-6,319)","226,101","(+/-7,099)","197,855","(+/-5,965)","190,565","(+/-5,789)","203,043","(+/-6,751)","224,815","(+/-5,242)","196,332","(+/-4,919)","178,686","(+/-5,619)","135,564","(+/-6,700)","155,396","(+/-5,946)","221,354","(+/-4,867)","121,845","(+/-5,681)","114,670","(+/-4,104)","169,933","(+/-4,434)","167,027","(+/-6,945)","202,287","(+/-4,638)","169,103","(+/-5,275)","198,567","(+/-6,910)"
Housing,"Mortgage Status","Housing units with a mortgage","93,030","(+/-4,796)","137,817","(+/-6,482)","147,538","(+/-5,533)","121,697","(+/-5,033)","113,571","(+/-5,256)","97,933","(+/-4,921)","78,652","(+/-4,568)","131,543","(+/-6,677)","83,040","(+/-4,838)","116,736","(+/-4,805)","103,840","(+/-4,461)","124,508","(+/-5,437)","91,937","(+/-4,832)","105,855","(+/-5,016)","80,585","(+/-4,206)","87,341","(+/-5,036)","96,007","(+/-4,868)","82,179","(+/-5,130)","79,713","(+/-3,679)","88,129","(+/-5,503)","138,988","(+/-6,358)","138,282","(+/-7,721)","103,343","(+/-6,101)","120,988","(+/-5,321)","114,594","(+/-5,235)","155,595","(+/-5,601)","88,429","(+/-4,340)","92,745","(+/-5,630)","58,653","(+/-5,342)","86,779","(+/-5,262)","140,125","(+/-4,971)","71,403","(+/-4,974)","55,510","(+/-3,740)","59,548","(+/-3,953)","107,587","(+/-6,246)","104,458","(+/-3,747)","112,308","(+/-5,876)","123,013","(+/-6,235)"
Housing,"Mortgage Status","Housing units without a mortgage","113,461","(+/-4,230)","72,228","(+/-5,168)","69,077","(+/-3,793)","84,566","(+/-4,306)","90,137","(+/-4,083)","82,417","(+/-4,026)","59,533","(+/-4,373)","85,651","(+/-5,240)","67,571","(+/-4,626)","92,002","(+/-3,911)","96,921","(+/-4,670)","72,961","(+/-4,414)","99,745","(+/-3,837)","96,081","(+/-4,379)","95,464","(+/-4,259)","81,125","(+/-4,742)","93,490","(+/-4,520)","61,014","(+/-4,360)","100,514","(+/-3,847)","65,827","(+/-4,817)","94,802","(+/-4,901)","87,819","(+/-5,126)","94,512","(+/-4,484)","69,577","(+/-3,464)","88,449","(+/-4,811)","69,220","(+/-3,561)","107,903","(+/-4,547)","85,941","(+/-5,031)","76,911","(+/-4,648)","68,617","(+/-4,283)","81,229","(+/-3,691)","50,442","(+/-3,986)","59,160","(+/-3,552)","110,385","(+/-4,401)","59,440","(+/-4,952)","97,829","(+/-4,690)","56,795","(+/-3,324)","75,554","(+/-4,410)"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units with a mortgage","93,030","(+/-4,796)","137,817","(+/-6,482)","147,538","(+/-5,533)","121,697","(+/-5,033)","113,571","(+/-5,256)","97,933","(+/-4,921)","78,652","(+/-4,568)","131,543","(+/-6,677)","83,040","(+/-4,838)","116,736","(+/-4,805)","103,840","(+/-4,461)","124,508","(+/-5,437)","91,937","(+/-4,832)","105,855","(+/-5,016)","80,585","(+/-4,206)","87,341","(+/-5,036)","96,007","(+/-4,868)","82,179","(+/-5,130)","79,713","(+/-3,679)","88,129","(+/-5,503)","138,988","(+/-6,358)","138,282","(+/-7,721)","103,343","(+/-6,101)","120,988","(+/-5,321)","114,594","(+/-5,235)","155,595","(+/-5,601)","88,429","(+/-4,340)","92,745","(+/-5,630)","58,653","(+/-5,342)","86,779","(+/-5,262)","140,125","(+/-4,971)","71,403","(+/-4,974)","55,510","(+/-3,740)","59,548","(+/-3,953)","107,587","(+/-6,246)","104,458","(+/-3,747)","112,308","(+/-5,876)","123,013","(+/-6,235)"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $500",939,(+/-584),772,(+/-500),705,(+/-370),983,(+/-724),541,(+/-321),278,(+/-262),224,(+/-246),"1,192",(+/-616),164,(+/-196),"1,152",(+/-669),"1,465",(+/-820),709,(+/-465),920,(+/-566),800,(+/-508),"1,094",(+/-584),718,(+/-491),998,(+/-454),"1,375",(+/-962),662,(+/-359),371,(+/-313),790,(+/-397),"1,016",(+/-699),852,(+/-472),335,(+/-234),682,(+/-325),648,(+/-579),790,(+/-433),912,(+/-559),922,(+/-751),39,(+/-63),855,(+/-527),233,(+/-188),96,(+/-114),717,(+/-380),494,(+/-362),765,(+/-508),"1,004",(+/-713),409,(+/-485)
Housing,"Selected Monthly Owner Costs(SMOC)","$500 to $999","14,957","(+/-1,994)","3,395",(+/-871),"2,296",(+/-880),"5,687","(+/-1,256)","7,932","(+/-1,685)","6,648","(+/-1,373)","2,035",(+/-894),"5,793","(+/-1,456)","3,927","(+/-1,060)","7,145","(+/-1,761)","9,238","(+/-1,747)","4,502","(+/-1,342)","10,616","(+/-1,560)","6,932","(+/-1,612)","12,368","(+/-1,975)","11,675","(+/-2,157)","8,344","(+/-1,618)","5,387","(+/-1,533)","9,628","(+/-1,458)","10,346","(+/-1,974)","4,927","(+/-1,067)","3,381","(+/-1,059)","6,377","(+/-1,780)","2,118",(+/-752),"6,154","(+/-1,182)","2,129",(+/-753),"6,395","(+/-1,145)","11,493","(+/-2,241)","5,449","(+/-1,270)","4,301","(+/-1,228)","5,847","(+/-1,055)","1,991",(+/-655),"4,883","(+/-1,138)","9,509","(+/-1,656)","6,997","(+/-1,519)","7,972","(+/-1,977)","2,488",(+/-947),"3,589","(+/-1,487)"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 to $1,499","25,451","(+/-2,473)","18,474","(+/-2,826)","10,738","(+/-2,222)","13,334","(+/-1,862)","22,013","(+/-2,769)","18,111","(+/-2,730)","7,699","(+/-1,366)","21,673","(+/-3,058)","15,101","(+/-2,021)","18,932","(+/-2,798)","27,224","(+/-3,055)","16,678","(+/-2,434)","25,576","(+/-2,939)","18,848","(+/-2,210)","21,901","(+/-2,248)","26,192","(+/-2,622)","24,291","(+/-3,014)","13,449","(+/-1,856)","22,617","(+/-2,710)","23,739","(+/-3,246)","17,211","(+/-2,403)","11,686","(+/-2,034)","17,685","(+/-2,718)","9,195","(+/-1,306)","23,133","(+/-3,132)","12,128","(+/-2,070)","22,669","(+/-2,531)","23,713","(+/-2,805)","16,433","(+/-2,180)","16,061","(+/-2,314)","17,048","(+/-2,351)","10,770","(+/-1,771)","12,852","(+/-1,808)","23,072","(+/-2,547)","19,711","(+/-2,876)","20,545","(+/-2,600)","9,342","(+/-1,905)","14,020","(+/-2,876)"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,500 to $1,999","23,988","(+/-2,859)","32,520","(+/-4,002)","25,277","(+/-2,789)","19,247","(+/-2,444)","27,624","(+/-3,127)","22,565","(+/-2,731)","13,127","(+/-2,268)","33,660","(+/-4,105)","21,278","(+/-3,028)","23,204","(+/-2,890)","25,025","(+/-2,769)","27,327","(+/-2,815)","20,707","(+/-2,644)","27,539","(+/-3,270)","21,019","(+/-2,753)","24,842","(+/-2,306)","22,637","(+/-3,033)","21,822","(+/-2,803)","23,952","(+/-2,669)","27,748","(+/-3,208)","25,659","(+/-2,729)","22,676","(+/-3,254)","26,372","(+/-3,303)","18,777","(+/-2,358)","31,156","(+/-3,857)","25,041","(+/-2,642)","21,647","(+/-2,568)","28,182","(+/-3,342)","19,282","(+/-2,871)","23,075","(+/-3,351)","33,364","(+/-2,976)","15,123","(+/-2,376)","12,991","(+/-2,054)","15,735","(+/-2,077)","26,765","(+/-3,357)","27,413","(+/-3,219)","16,681","(+/-2,799)","24,379","(+/-3,111)"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,000 to $2,499","13,578","(+/-2,099)","29,592","(+/-4,189)","28,552","(+/-2,927)","21,993","(+/-2,433)","24,785","(+/-3,352)","20,179","(+/-2,660)","14,935","(+/-2,520)","27,705","(+/-4,264)","18,138","(+/-2,603)","19,775","(+/-2,526)","18,614","(+/-2,645)","31,504","(+/-3,241)","15,595","(+/-2,200)","22,344","(+/-3,256)","11,163","(+/-2,208)","13,618","(+/-2,480)","17,850","(+/-2,970)","13,836","(+/-2,410)","10,879","(+/-1,542)","16,435","(+/-2,848)","28,038","(+/-3,556)","27,101","(+/-3,646)","20,643","(+/-2,907)","20,842","(+/-2,803)","22,011","(+/-2,659)","28,117","(+/-2,839)","17,010","(+/-2,616)","16,335","(+/-2,288)","8,527","(+/-1,602)","19,532","(+/-2,746)","28,448","(+/-2,505)","11,624","(+/-1,864)","7,580","(+/-1,497)","5,387","(+/-1,229)","26,437","(+/-3,885)","20,824","(+/-3,009)","19,979","(+/-3,041)","23,047","(+/-2,877)"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,500 to $2,999","5,970","(+/-1,394)","20,411","(+/-2,864)","24,387","(+/-2,522)","17,831","(+/-2,304)","15,073","(+/-2,225)","13,533","(+/-2,187)","11,172","(+/-2,426)","17,324","(+/-2,955)","11,581","(+/-2,237)","12,349","(+/-1,757)","10,104","(+/-2,232)","18,052","(+/-2,590)","8,324","(+/-1,726)","13,438","(+/-2,301)","5,872","(+/-1,485)","6,744","(+/-1,878)","11,155","(+/-1,840)","6,566","(+/-1,373)","6,197","(+/-1,189)","5,762","(+/-1,626)","17,312","(+/-2,446)","23,675","(+/-3,484)","12,333","(+/-2,651)","17,089","(+/-2,312)","11,785","(+/-1,660)","28,456","(+/-3,079)","8,441","(+/-1,629)","5,471","(+/-1,296)","4,209","(+/-1,259)","9,749","(+/-1,768)","20,676","(+/-2,460)","7,626","(+/-1,393)","6,165","(+/-1,371)","2,839",(+/-891),"11,083","(+/-2,502)","13,822","(+/-2,409)","13,422","(+/-2,491)","19,124","(+/-2,687)"
Housing,"Selected Monthly Owner Costs(SMOC)","$3,000 or more","8,147","(+/-1,641)","32,653","(+/-3,328)","55,583","(+/-4,422)","42,622","(+/-3,097)","15,603","(+/-2,329)","16,619","(+/-2,351)","29,460","(+/-2,128)","24,196","(+/-3,085)","12,851","(+/-1,928)","34,179","(+/-3,242)","12,170","(+/-2,203)","25,736","(+/-3,160)","10,199","(+/-1,636)","15,954","(+/-2,242)","7,168","(+/-1,612)","3,552",(+/-915),"10,732","(+/-1,702)","19,744","(+/-2,833)","5,778","(+/-1,235)","3,728","(+/-1,123)","45,051","(+/-4,108)","48,747","(+/-5,213)","19,081","(+/-2,913)","52,632","(+/-3,473)","19,673","(+/-2,382)","59,076","(+/-4,156)","11,477","(+/-2,042)","6,639","(+/-1,701)","3,831","(+/-1,138)","14,022","(+/-2,553)","33,887","(+/-3,419)","24,036","(+/-2,801)","10,943","(+/-1,867)","2,289",(+/-877),"16,100","(+/-2,834)","13,117","(+/-1,832)","49,392","(+/-4,070)","38,445","(+/-3,640)"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)","1,599",(+/-43),"2,232",(+/-61),"2,627",(+/-77),"2,491",(+/-72),"1,974",(+/-61),"2,034",(+/-66),"2,558",(+/-100),"2,062",(+/-67),"2,029",(+/-72),"2,201",(+/-70),"1,760",(+/-59),"2,207",(+/-45),"1,697",(+/-54),"1,977",(+/-55),"1,602",(+/-49),"1,600",(+/-47),"1,801",(+/-70),"1,978",(+/-62),"1,629",(+/-38),"1,652",(+/-45),"2,373",(+/-51),"2,569",(+/-91),"2,009",(+/-77),"2,770",(+/-74),"1,940",(+/-45),"2,671",(+/-56),"1,809",(+/-74),"1,667",(+/-41),"1,637",(+/-42),"1,998",(+/-67),"2,228",(+/-54),"2,326",(+/-97),"1,869",(+/-76),"1,408",(+/-52),"1,997",(+/-64),"1,919",(+/-57),"2,748",(+/-118),"2,415",(+/-70)
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units without a mortgage","113,461","(+/-4,230)","72,228","(+/-5,168)","69,077","(+/-3,793)","84,566","(+/-4,306)","90,137","(+/-4,083)","82,417","(+/-4,026)","59,533","(+/-4,373)","85,651","(+/-5,240)","67,571","(+/-4,626)","92,002","(+/-3,911)","96,921","(+/-4,670)","72,961","(+/-4,414)","99,745","(+/-3,837)","96,081","(+/-4,379)","95,464","(+/-4,259)","81,125","(+/-4,742)","93,490","(+/-4,520)","61,014","(+/-4,360)","100,514","(+/-3,847)","65,827","(+/-4,817)","94,802","(+/-4,901)","87,819","(+/-5,126)","94,512","(+/-4,484)","69,577","(+/-3,464)","88,449","(+/-4,811)","69,220","(+/-3,561)","107,903","(+/-4,547)","85,941","(+/-5,031)","76,911","(+/-4,648)","68,617","(+/-4,283)","81,229","(+/-3,691)","50,442","(+/-3,986)","59,160","(+/-3,552)","110,385","(+/-4,401)","59,440","(+/-4,952)","97,829","(+/-4,690)","56,795","(+/-3,324)","75,554","(+/-4,410)"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $250","13,634","(+/-2,075)","3,782","(+/-1,115)","1,502",(+/-664),"2,548",(+/-699),"5,470","(+/-1,207)","3,572","(+/-1,052)","1,003",(+/-469),"6,748","(+/-1,874)","4,967","(+/-1,242)","4,912","(+/-1,211)","7,905","(+/-1,550)","1,841",(+/-836),"6,404","(+/-1,158)","5,957","(+/-1,276)","8,304","(+/-1,278)","5,428","(+/-1,142)","8,061","(+/-1,767)","3,571",(+/-996),"7,814","(+/-1,580)","5,800","(+/-1,428)","4,946","(+/-1,364)","3,087","(+/-1,316)","8,912","(+/-1,806)",515,(+/-342),"4,288","(+/-1,016)",862,(+/-409),"8,517","(+/-1,693)","9,747","(+/-1,733)","6,291","(+/-1,627)","4,022","(+/-1,169)","2,443",(+/-674),"1,425",(+/-655),"2,367",(+/-773),"12,754","(+/-2,022)","3,853","(+/-1,171)","5,449","(+/-1,270)","1,499",(+/-899),832,(+/-458)
Housing,"Selected Monthly Owner Costs(SMOC)","$250 to $399","22,422","(+/-2,527)","7,371","(+/-1,876)","1,925",(+/-664),"7,887","(+/-1,456)","13,523","(+/-1,964)","9,723","(+/-1,439)","3,767","(+/-1,443)","10,073","(+/-1,876)","7,714","(+/-1,540)","10,236","(+/-1,513)","17,826","(+/-2,609)","3,963","(+/-1,155)","15,167","(+/-2,147)","15,236","(+/-2,292)","21,044","(+/-2,123)","14,227","(+/-2,196)","14,148","(+/-2,227)","8,334","(+/-1,541)","18,965","(+/-2,062)","13,358","(+/-2,006)","7,822","(+/-1,305)","7,749","(+/-1,871)","17,106","(+/-3,044)","2,100",(+/-595),"11,291","(+/-1,907)","3,824","(+/-1,016)","16,699","(+/-2,244)","19,626","(+/-2,514)","11,998","(+/-2,128)","6,650","(+/-1,380)","7,493","(+/-1,267)","3,148",(+/-964),"8,331","(+/-1,521)","26,763","(+/-3,005)","8,746","(+/-1,748)","13,803","(+/-2,265)","1,756",(+/-917),"5,039","(+/-1,736)"
Housing,"Selected Monthly Owner Costs(SMOC)","$400 to $599","32,375","(+/-2,812)","12,624","(+/-2,093)","6,372","(+/-1,487)","15,124","(+/-1,732)","19,237","(+/-2,114)","20,327","(+/-2,352)","8,925","(+/-1,870)","16,018","(+/-2,310)","15,896","(+/-2,223)","18,901","(+/-2,710)","24,420","(+/-2,839)","13,122","(+/-2,176)","26,678","(+/-2,312)","19,456","(+/-2,435)","29,782","(+/-2,692)","22,440","(+/-2,594)","23,099","(+/-2,620)","15,282","(+/-1,996)","28,374","(+/-2,523)","17,108","(+/-2,269)","18,651","(+/-1,905)","12,351","(+/-2,162)","23,868","(+/-2,413)","5,982","(+/-1,390)","19,653","(+/-2,428)","8,891","(+/-1,599)","29,984","(+/-3,223)","23,129","(+/-2,824)","22,053","(+/-2,651)","14,386","(+/-2,541)","14,999","(+/-1,631)","8,951","(+/-1,854)","16,387","(+/-2,057)","34,431","(+/-3,158)","16,019","(+/-2,161)","23,487","(+/-2,927)","5,505","(+/-1,441)","9,172","(+/-1,818)"
Housing,"Selected Monthly Owner Costs(SMOC)","$600 to $799","20,476","(+/-2,064)","15,580","(+/-2,725)","10,862","(+/-1,876)","14,807","(+/-2,006)","16,891","(+/-2,106)","15,500","(+/-2,101)","10,710","(+/-2,320)","15,901","(+/-2,633)","14,225","(+/-2,151)","18,043","(+/-1,973)","19,558","(+/-2,144)","14,408","(+/-2,007)","22,866","(+/-2,387)","19,562","(+/-2,715)","17,422","(+/-1,979)","19,950","(+/-2,360)","19,376","(+/-2,105)","15,339","(+/-2,496)","17,042","(+/-2,019)","14,850","(+/-2,467)","19,092","(+/-2,552)","13,736","(+/-2,273)","19,307","(+/-2,575)","10,536","(+/-1,695)","19,410","(+/-2,115)","11,587","(+/-1,572)","23,389","(+/-2,629)","14,804","(+/-2,078)","17,937","(+/-2,616)","12,973","(+/-2,233)","18,004","(+/-2,092)","11,173","(+/-1,820)","14,630","(+/-2,236)","18,834","(+/-2,658)","9,856","(+/-2,043)","15,794","(+/-2,466)","6,507","(+/-1,158)","11,563","(+/-1,954)"
