Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Under 18 years",19.5,(+/-3.8),26.9,(+/-3.6),28.6,(+/-3.5)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder under 18 years",18.6,(+/-3.8),26.9,(+/-3.6),28.3,(+/-3.4)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder under 5 years",23.1,(+/-5.8),26.1,(+/-5.2),31.6,(+/-4.8)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder 5 to 17 years",17.2,(+/-4.1),27.2,(+/-3.9),27.4,(+/-3.9)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","18 years and over",11.3,(+/-0.9),18.1,(+/-1.4),18.0,(+/-1.2)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","65 years and over",9.6,(+/-1.3),17.5,(+/-1.7),14.6,(+/-1.6)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","People in families",10.1,(+/-1.6),17.5,(+/-1.9),18.5,(+/-1.9)
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Unrelated individuals 15 years and over",20.8,(+/-1.9),30.8,(+/-2.8),27.4,(+/-2.3)
Education,"School Enrollment","Population 3 years and over enrolled in school","161,735","(+/-7,892)","177,348","(+/-7,474)","162,224","(+/-5,718)"
Education,"School Enrollment","Nursery school, preschool","8,075","(+/-1,935)","8,785","(+/-1,983)","9,111","(+/-1,641)"
Education,"School Enrollment",Kindergarten,"7,112","(+/-1,697)","9,732","(+/-1,980)","8,019","(+/-1,730)"
Education,"School Enrollment","Elementary school (grades 1-8)","60,402","(+/-5,092)","72,032","(+/-5,405)","71,649","(+/-3,336)"
Education,"School Enrollment","High school (grades 9-12)","36,999","(+/-3,911)","43,179","(+/-3,577)","39,860","(+/-2,587)"
Education,"School Enrollment","College or graduate school","49,147","(+/-4,704)","43,620","(+/-4,250)","33,585","(+/-3,345)"
Education,"Educational Attainment","Population 25 years and over","515,110","(+/-7,860)","472,361","(+/-7,609)","483,586","(+/-5,185)"
Education,"Educational Attainment","Less than 9th grade","18,759","(+/-3,273)","37,378","(+/-3,960)","28,487","(+/-3,462)"
Education,"Educational Attainment","9th to 12th grade, no diploma","23,028","(+/-2,926)","40,964","(+/-4,333)","35,284","(+/-3,662)"
Education,"Educational Attainment","High school graduate (includes equivalency)","103,781","(+/-5,990)","131,322","(+/-7,761)","134,350","(+/-4,816)"
Education,"Educational Attainment","Some college, no degree","111,702","(+/-5,242)","99,737","(+/-5,647)","106,669","(+/-5,616)"
Education,"Educational Attainment","Associate's degree","50,553","(+/-4,018)","42,794","(+/-3,917)","40,688","(+/-2,913)"
Education,"Educational Attainment","Bachelor's degree","112,818","(+/-5,974)","73,899","(+/-5,159)","70,714","(+/-4,571)"
Education,"Educational Attainment","Graduate or professional degree","94,469","(+/-5,051)","46,267","(+/-3,585)","67,394","(+/-3,787)"
Education,"Educational Attainment","Percent high school graduate or higher",91.9,(+/-0.9),83.4,(+/-1.2),86.8,(+/-1.1)
Education,"Educational Attainment","Percent bachelor's degree or higher",40.2,(+/-1.2),25.4,(+/-1.4),28.6,(+/-1.2)

"Source: 2023 American Community Survey 1-Year Estimates"
"Estimates in the People, Workers, Housing, Socioeconomic, and Education tabs are from the American Community Survey (ACS). The ACS is an annual household survey developed by the U.S. Census Bureau to replace the long form of the decennial census program. Each year, the ACS samples about 3.5 million household addresses to produce nearly 11 billion estimates covering demographic, social, economic, and housing characteristics."
"Except where noted, 'race' refers to people reporting only one race.  'Hispanic' refers to an ethnic category;  Hispanics may be of any race."
"An '-' The estimate could not be computed because there were an insufficient number of sample observations. For a ratio of medians estimate, one or both of the median estimates falls in the lowest interval or highest interval of an open-ended distribution. For a 5-year median estimate, the margin of error associated with a median was larger than the median itself."
"median- The median falls in the lowest interval of an open-ended distribution (for example '2,500-')"
"median+ The median falls in the highest interval of an open-ended distribution (for example '250,000+')"
"An '**' The margin of error could not be computed because there were an insufficient number of sample observations."
"An '***' The margin of error could not be computed because the median falls in the lowest interval or highest interval of an open-ended distribution. "
"An '*****' A margin of error is not appropriate because the corresponding estimate is controlled to an independent population or housing estimate. Effectively, the corresponding estimate has no sampling error and the margin of error may be treated as zero. "
"An 'N' The estimate or margin of error cannot be displayed because there were an insufficient number of sample cases in the selected geographic area."
"An '(X)' The estimate or margin of error is not applicable or not available.  "
"If calculating a percentage, use the total population line within the section as the denominator. Do not use total population lines from other sections since these may have different universes."

Topic,Subject,Title,"District 01 Estimate","District 01 Flag","District 02 Estimate","District 02 Flag","District 03 Estimate","District 03 Flag"
Business,"Paid employees for pay period including March 12","Total for all sectors","283,077",G,"143,862",G,"198,178",G
Business,"Paid employees for pay period including March 12","Agriculture, forestry, fishing and hunting",30,G,212,G,185,G
Business,"Paid employees for pay period including March 12","Mining, quarrying, and oil and gas extraction",185,J,"5,583",G,"7,408",G
Business,"Paid employees for pay period including March 12",Utilities,"1,739",G,859,G,"1,877",G
Business,"Paid employees for pay period including March 12",Construction,"19,693",G,"12,953",G,"10,611",G
Business,"Paid employees for pay period including March 12",Manufacturing,"13,778",G,"10,035",G,"5,826",G
Business,"Paid employees for pay period including March 12","Wholesale trade","9,278",G,"4,893",G,"5,081",G
Business,"Paid employees for pay period including March 12","Retail trade","37,498",G,"23,344",G,"32,301",G
Business,"Paid employees for pay period including March 12","Transportation and warehousing","6,235",G,"7,248",G,"6,601",G
Business,"Paid employees for pay period including March 12",Information,"4,717",G,"1,594",G,"2,383",G
Business,"Paid employees for pay period including March 12","Finance and insurance","14,212",H,"3,435",G,"5,285",G
Business,"Paid employees for pay period including March 12","Real estate and rental and leasing","4,223",G,"2,186",G,"3,106",G
Business,"Paid employees for pay period including March 12","Professional, scientific, and technical services","33,014",H,"5,550",G,"18,833",H
Business,"Paid employees for pay period including March 12","Management of companies and enterprises","4,669",H,400,G,941,H
Business,"Paid employees for pay period including March 12","Administrative and support and waste management and remediation services","20,062",G,"6,054",G,"6,408",G
Business,"Paid employees for pay period including March 12","Educational services","3,888",G,"1,732",H,"3,222",G
Business,"Paid employees for pay period including March 12","Health care and social assistance","54,985",G,"31,124",G,"41,712",G
Business,"Paid employees for pay period including March 12","Arts, entertainment, and recreation","5,562",G,"1,191",H,"4,895",H
Business,"Paid employees for pay period including March 12","Accommodation and food services","37,541",G,"20,198",G,"32,272",G
Business,"Paid employees for pay period including March 12","Other services (except public administration)","11,745",G,"5,264",G,"9,192",G
Business,"Paid employees for pay period including March 12","Industries not classified",23,H,7,G,39,H
Business,"Annual payroll ($1,000)","Total for all sectors","14,690,610",G,"6,485,816",G,"10,069,036",G
Business,"Annual payroll ($1,000)","Agriculture, forestry, fishing and hunting","2,099",G,"11,701",H,"10,626",G
Business,"Annual payroll ($1,000)","Mining, quarrying, and oil and gas extraction","11,291",H,"546,006",G,"698,690",G
Business,"Annual payroll ($1,000)",Utilities,"180,911",H,"70,427",G,"159,102",H
Business,"Annual payroll ($1,000)",Construction,"1,218,613",G,"722,242",G,"573,012",G
Business,"Annual payroll ($1,000)",Manufacturing,"846,750",G,"563,568",G,"314,246",G
Business,"Annual payroll ($1,000)","Wholesale trade","591,516",G,"316,464",G,"329,031",G
Business,"Annual payroll ($1,000)","Retail trade","1,351,556",G,"727,133",G,"1,100,826",G
Business,"Annual payroll ($1,000)","Transportation and warehousing","291,562",G,"385,095",G,"391,104",G
Business,"Annual payroll ($1,000)",Information,"312,351",G,"87,282",H,"131,004",G
Business,"Annual payroll ($1,000)","Finance and insurance","1,003,855",G,"183,833",G,"424,181",H
Business,"Annual payroll ($1,000)","Real estate and rental and leasing","227,675",G,"111,308",G,"170,788",G
Business,"Annual payroll ($1,000)","Professional, scientific, and technical services","2,698,789",H,"413,041",G,"1,956,020",J
Business,"Annual payroll ($1,000)","Management of companies and enterprises","374,158",H,"26,007",G,"67,241",H
Business,"Annual payroll ($1,000)","Administrative and support and waste management and remediation services","807,877",G,"328,051",H,"312,120",G
Business,"Annual payroll ($1,000)","Educational services","140,251",G,"79,870",H,"124,076",G
Business,"Annual payroll ($1,000)","Health care and social assistance","3,136,389",G,"1,295,232",G,"1,998,025",G
Business,"Annual payroll ($1,000)","Arts, entertainment, and recreation","148,408",G,"26,919",H,"178,893",H
Business,"Annual payroll ($1,000)","Accommodation and food services","901,544",G,"421,798",G,"787,166",G
Business,"Annual payroll ($1,000)","Other services (except public administration)","444,063",G,"169,649",G,"341,531",G
Business,"Annual payroll ($1,000)","Industries not classified",952,G,190,G,"1,354",G
Business,"Total Establishments","Total for all sectors","17,951",X,"10,415",X,"16,005",X
Business,"Total Establishments","Agriculture, forestry, fishing and hunting",20,X,38,X,55,X
Business,"Total Establishments","Mining, quarrying, and oil and gas extraction",26,X,172,X,393,X
Business,"Total Establishments",Utilities,38,X,74,X,122,X
Business,"Total Establishments",Construction,"1,642",X,"1,331",X,"1,559",X
Business,"Total Establishments",Manufacturing,600,X,300,X,411,X
Business,"Total Establishments","Wholesale trade",707,X,352,X,518,X
Business,"Total Establishments","Retail trade","2,199",X,"1,497",X,"2,582",X
Business,"Total Establishments","Transportation and warehousing",369,X,516,X,613,X
Business,"Total Establishments",Information,348,X,177,X,304,X
Business,"Total Establishments","Finance and insurance","1,103",X,604,X,810,X
Business,"Total Establishments","Real estate and rental and leasing","1,152",X,535,X,812,X
Business,"Total Establishments","Professional, scientific, and technical services","2,351",X,716,X,"1,412",X
Business,"Total Establishments","Management of companies and enterprises",103,X,27,X,63,X
Business,"Total Establishments","Administrative and support and waste management and remediation services",869,X,460,X,658,X
Business,"Total Establishments","Educational services",266,X,111,X,196,X
Business,"Total Establishments","Health care and social assistance","2,334",X,"1,317",X,"1,851",X
Business,"Total Establishments","Arts, entertainment, and recreation",312,X,102,X,332,X
Business,"Total Establishments","Accommodation and food services","1,778",X,"1,130",X,"1,713",X
Business,"Total Establishments","Other services (except public administration)","1,715",X,946,X,"1,582",X
Business,"Total Establishments","Industries not classified",19,X,10,X,19,X

"Source: 2022 County Business Patterns for Congressional Districts"
"1. CBP data includes the number of establishments, employment during the week of March 12, and annual payroll. CBP basic data are extracted from the Business Register (BR), a database of all known single and multi-establishment employer companies maintained and updated by the U.S. Census Bureau. Primary causes of differences between CBP employment estimates and ACS estimates: CBP does not cover the self-employed, public employment, and most agricultural employment; CBP estimates are not based on a sample survey; they represent business location as opposed to workers' residence in the district; use the week of March 12 as a reference period; and use a business source to determine industry."
"2. Industries not classified - Industry could not be determined."
"3. Statewide - County Business Patterns data includes employers without a fixed location within a state (or of unknown county location), these are included under a 'statewide' classification. Statewide cases are not included in any particular congressional district (though they would be included in at-large districts). This incomplete detail causes only a slight understatement of a district's total estimates."
"4. Disclosure and Quality Indicator Flag Definitions:"
"G Cell value changed by less than 2 percent by the application of noise"
"H Cell value changed by at least 2 percent but less than 5 percent by the application of noise"
"J Cell value changed by 5 percent or more by the application of noise"
"N Not available or not comparable"
"S Cell value withheld because it did not meet publication standards"
"X Not applicable"
