Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE"
Workers,"Commuting to Work","Other means","6,061","(+/-1,703)","3,899",(+/-938),"3,581","(+/-1,039)","4,138","(+/-1,372)","3,541","(+/-1,120)","4,650","(+/-1,236)","6,836","(+/-1,918)","3,485","(+/-1,135)","4,660","(+/-1,384)"
Workers,"Commuting to Work","Worked from home","35,056","(+/-3,931)","54,695","(+/-4,667)","47,818","(+/-3,813)","42,154","(+/-3,709)","76,978","(+/-5,788)","59,257","(+/-4,262)","59,361","(+/-5,312)","31,925","(+/-3,403)","29,005","(+/-3,808)"
Workers,"Commuting to Work","Mean travel time to work (minutes)",25.6,(+/-0.8),24.8,(+/-0.7),23.9,(+/-0.6),28.6,(+/-0.8),28.2,(+/-0.7),28.0,(+/-0.9),28.4,(+/-1.1),25.3,(+/-0.9),22.7,(+/-0.6)
Workers,Occupation,"Civilian employed population 16 years and over","355,390","(+/-7,302)","398,873","(+/-6,305)","375,701","(+/-6,781)","403,084","(+/-5,895)","420,407","(+/-10,483)","394,880","(+/-9,194)","402,429","(+/-9,848)","344,435","(+/-6,824)","347,221","(+/-7,472)"
Workers,Occupation,"Management, business, science, and arts occupations","120,076","(+/-6,419)","165,915","(+/-6,068)","148,211","(+/-6,198)","146,076","(+/-7,227)","212,352","(+/-9,209)","162,363","(+/-8,040)","186,459","(+/-7,419)","132,557","(+/-6,087)","114,920","(+/-5,712)"
Workers,Occupation,"Service occupations","67,513","(+/-5,057)","65,448","(+/-4,561)","59,947","(+/-4,631)","59,487","(+/-5,538)","49,219","(+/-5,181)","53,374","(+/-4,653)","63,227","(+/-4,528)","55,416","(+/-4,860)","64,908","(+/-4,751)"
Workers,Occupation,"Sales and office occupations","76,321","(+/-4,567)","81,488","(+/-5,736)","72,547","(+/-4,852)","80,079","(+/-5,271)","79,406","(+/-6,719)","74,928","(+/-5,480)","71,835","(+/-4,189)","67,453","(+/-4,614)","70,087","(+/-5,273)"
Workers,Occupation,"Natural resources, construction, and maintenance occupations","34,021","(+/-3,872)","33,676","(+/-3,233)","31,877","(+/-3,320)","38,867","(+/-3,141)","25,568","(+/-3,691)","40,078","(+/-3,439)","31,808","(+/-3,212)","24,451","(+/-3,001)","24,098","(+/-3,441)"
Workers,Occupation,"Production, transportation, and material moving occupations","57,459","(+/-3,879)","52,346","(+/-4,345)","63,119","(+/-5,146)","78,575","(+/-5,624)","53,862","(+/-5,522)","64,137","(+/-4,594)","49,100","(+/-4,665)","64,558","(+/-4,256)","73,208","(+/-6,018)"
Workers,Industry,"Civilian employed population 16 years and over","355,390","(+/-7,302)","398,873","(+/-6,305)","375,701","(+/-6,781)","403,084","(+/-5,895)","420,407","(+/-10,483)","394,880","(+/-9,194)","402,429","(+/-9,848)","344,435","(+/-6,824)","347,221","(+/-7,472)"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining","3,765","(+/-1,264)","2,967",(+/-947),"3,871","(+/-1,116)","6,411","(+/-1,629)","1,498",(+/-698),"5,192","(+/-1,538)","2,406","(+/-1,007)","4,860","(+/-1,295)",861,(+/-545)
Workers,Industry,Construction,"27,652","(+/-3,599)","29,471","(+/-3,136)","27,331","(+/-3,040)","27,513","(+/-2,905)","24,679","(+/-3,141)","37,303","(+/-3,632)","28,160","(+/-3,050)","17,369","(+/-2,548)","20,134","(+/-2,876)"
Workers,Industry,Manufacturing,"47,152","(+/-3,494)","39,715","(+/-3,561)","55,106","(+/-4,930)","66,226","(+/-4,883)","45,164","(+/-4,283)","45,840","(+/-4,413)","40,626","(+/-3,977)","55,066","(+/-3,750)","32,076","(+/-3,876)"
Workers,Industry,"Wholesale trade","5,065",(+/-990),"8,894","(+/-1,547)","7,710","(+/-2,150)","7,535","(+/-1,879)","10,184","(+/-2,502)","9,541","(+/-1,762)","6,200","(+/-1,448)","7,166","(+/-1,477)","8,528","(+/-1,987)"
Workers,Industry,"Retail trade","46,100","(+/-3,796)","47,326","(+/-4,490)","41,789","(+/-4,119)","49,991","(+/-4,005)","40,898","(+/-3,979)","44,277","(+/-4,233)","40,484","(+/-4,376)","39,919","(+/-3,268)","33,196","(+/-3,868)"
Workers,Industry,"Transportation and warehousing, and utilities","23,051","(+/-3,249)","25,549","(+/-3,004)","27,903","(+/-2,981)","29,666","(+/-3,337)","25,785","(+/-4,462)","26,952","(+/-3,104)","22,498","(+/-2,451)","26,065","(+/-2,701)","50,050","(+/-4,787)"
Workers,Industry,Information,"4,943","(+/-1,619)","5,664","(+/-1,176)","4,823","(+/-1,368)","4,657","(+/-1,326)","11,738","(+/-2,678)","7,869","(+/-1,806)","10,069","(+/-2,597)","3,885","(+/-1,105)","4,313","(+/-1,744)"
Workers,Industry,"Finance and insurance, and real estate and rental and leasing","19,533","(+/-2,620)","26,282","(+/-2,456)","20,219","(+/-2,451)","20,980","(+/-2,642)","33,182","(+/-3,184)","18,814","(+/-2,839)","23,195","(+/-3,110)","19,262","(+/-2,637)","16,352","(+/-2,816)"
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services","31,689","(+/-3,675)","51,458","(+/-4,526)","43,086","(+/-3,881)","37,856","(+/-3,655)","56,052","(+/-3,936)","46,552","(+/-4,079)","49,904","(+/-4,345)","33,345","(+/-3,408)","34,959","(+/-4,127)"
Workers,Industry,"Educational services, and health care and social assistance","74,833","(+/-4,441)","89,052","(+/-5,161)","78,398","(+/-4,346)","84,036","(+/-5,247)","101,154","(+/-6,254)","82,582","(+/-5,075)","103,509","(+/-6,586)","75,688","(+/-4,240)","76,443","(+/-5,276)"
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services","39,103","(+/-3,863)","38,900","(+/-3,304)","32,092","(+/-3,775)","33,168","(+/-3,854)","35,337","(+/-4,636)","33,781","(+/-3,536)","36,110","(+/-3,809)","27,339","(+/-3,251)","31,665","(+/-3,946)"
Workers,Industry,"Other services, except public administration","16,973","(+/-3,158)","20,629","(+/-2,625)","20,106","(+/-2,880)","17,634","(+/-2,614)","20,226","(+/-3,194)","19,973","(+/-3,125)","18,755","(+/-2,861)","15,658","(+/-2,305)","15,824","(+/-2,685)"
Workers,Industry,"Public administration","15,531","(+/-2,351)","12,966","(+/-2,094)","13,267","(+/-1,973)","17,411","(+/-2,544)","14,510","(+/-2,527)","16,204","(+/-2,544)","20,513","(+/-3,497)","18,813","(+/-2,516)","22,820","(+/-3,752)"
Workers,"Class of Worker","Civilian employed population 16 years and over","355,390","(+/-7,302)","398,873","(+/-6,305)","375,701","(+/-6,781)","403,084","(+/-5,895)","420,407","(+/-10,483)","394,880","(+/-9,194)","402,429","(+/-9,848)","344,435","(+/-6,824)","347,221","(+/-7,472)"
Workers,"Class of Worker","Private wage and salary workers","275,209","(+/-7,709)","319,382","(+/-6,668)","297,202","(+/-7,019)","319,915","(+/-7,381)","343,124","(+/-10,364)","309,074","(+/-9,388)","310,105","(+/-10,714)","273,382","(+/-7,003)","273,952","(+/-6,855)"
Workers,"Class of Worker","Government workers","52,280","(+/-4,282)","54,511","(+/-4,089)","50,497","(+/-4,021)","56,382","(+/-4,263)","46,819","(+/-4,366)","55,463","(+/-4,578)","61,142","(+/-5,185)","48,616","(+/-3,610)","55,710","(+/-5,015)"
Workers,"Class of Worker","Self-employed in own not incorporated business workers","27,319","(+/-4,030)","24,757","(+/-2,917)","27,258","(+/-3,452)","25,981","(+/-3,692)","29,501","(+/-2,644)","29,945","(+/-3,759)","30,822","(+/-3,930)","21,875","(+/-3,011)","17,263","(+/-2,505)"
Workers,"Class of Worker","Unpaid family workers",582,(+/-514),223,(+/-215),744,(+/-493),806,(+/-560),963,(+/-637),398,(+/-379),360,(+/-288),562,(+/-488),296,(+/-296)
Housing,"Housing Occupancy","Total housing units","381,185","(+/-1,056)","360,354","(+/-1,733)","355,809","(+/-1,975)","334,854","(+/-1,353)","349,256","(+/-5,323)","360,198","(+/-5,248)","372,590","(+/-5,958)","336,845","(+/-3,399)","344,079","(+/-3,340)"
Housing,"Housing Occupancy","Occupied housing units","330,999","(+/-4,272)","323,515","(+/-4,257)","324,057","(+/-3,530)","305,777","(+/-3,381)","327,354","(+/-5,696)","330,981","(+/-5,672)","339,426","(+/-6,555)","304,513","(+/-4,838)","302,604","(+/-4,120)"
Housing,"Housing Occupancy","Vacant housing units","50,186","(+/-4,293)","36,839","(+/-4,214)","31,752","(+/-3,172)","29,077","(+/-3,203)","21,902","(+/-3,462)","29,217","(+/-3,695)","33,164","(+/-4,304)","32,332","(+/-3,264)","41,475","(+/-3,453)"
Housing,"Housing Occupancy","Homeowner vacancy rate",1.0,(+/-0.4),0.5,(+/-0.3),1.5,(+/-0.5),0.5,(+/-0.3),0.8,(+/-0.3),1.2,(+/-0.5),1.3,(+/-0.7),0.7,(+/-0.3),0.9,(+/-0.6)
Housing,"Housing Occupancy","Rental vacancy rate",8.6,(+/-2.1),4.9,(+/-1.7),2.9,(+/-1.0),5.2,(+/-1.7),6.5,(+/-1.9),5.4,(+/-1.5),7.0,(+/-1.5),3.1,(+/-1.3),7.7,(+/-1.3)
Housing,"Housing Tenure","Occupied housing units","330,999","(+/-4,272)","323,515","(+/-4,257)","324,057","(+/-3,530)","305,777","(+/-3,381)","327,354","(+/-5,696)","330,981","(+/-5,672)","339,426","(+/-6,555)","304,513","(+/-4,838)","302,604","(+/-4,120)"
Housing,"Housing Tenure",Owner-occupied,"243,424","(+/-5,452)","226,525","(+/-4,657)","225,223","(+/-4,866)","218,837","(+/-4,753)","220,989","(+/-6,628)","226,660","(+/-6,074)","216,570","(+/-6,109)","220,407","(+/-5,047)","144,647","(+/-5,543)"
Housing,"Housing Tenure",Renter-occupied,"87,575","(+/-4,989)","96,990","(+/-4,626)","98,834","(+/-4,308)","86,940","(+/-4,499)","106,365","(+/-7,161)","104,321","(+/-5,052)","122,856","(+/-5,239)","84,106","(+/-4,090)","157,957","(+/-5,735)"
Housing,"Housing Tenure","Average household size of owner-occupied unit",2.37,(+/-0.04),2.52,(+/-0.04),2.49,(+/-0.04),2.67,(+/-0.05),2.52,(+/-0.04),2.44,(+/-0.04),2.49,(+/-0.05),2.53,(+/-0.04),2.46,(+/-0.07)
Housing,"Housing Tenure","Average household size of renter-occupied unit",2.22,(+/-0.08),2.25,(+/-0.07),2.23,(+/-0.08),2.42,(+/-0.09),2.15,(+/-0.09),2.21,(+/-0.09),2.00,(+/-0.07),2.29,(+/-0.08),2.39,(+/-0.06)
Housing,"Year Householder Moved into Unit","Occupied housing units","330,999","(+/-4,272)","323,515","(+/-4,257)","324,057","(+/-3,530)","305,777","(+/-3,381)","327,354","(+/-5,696)","330,981","(+/-5,672)","339,426","(+/-6,555)","304,513","(+/-4,838)","302,604","(+/-4,120)"
Housing,"Year Householder Moved into Unit","Moved in 2021 or later","73,606","(+/-4,306)","88,751","(+/-4,981)","82,606","(+/-4,773)","75,783","(+/-4,563)","98,627","(+/-7,465)","90,048","(+/-5,401)","118,253","(+/-6,360)","66,902","(+/-4,604)","84,769","(+/-4,419)"
Housing,"Year Householder Moved into Unit","Moved in 2018 to 2020","59,436","(+/-4,033)","62,524","(+/-4,027)","64,204","(+/-4,311)","62,292","(+/-3,848)","69,639","(+/-5,104)","67,656","(+/-4,368)","63,175","(+/-4,741)","57,484","(+/-3,428)","61,438","(+/-5,128)"
Housing,"Year Householder Moved into Unit","Moved in 2010 to 2017","67,684","(+/-4,625)","66,088","(+/-4,102)","68,405","(+/-4,159)","68,747","(+/-4,219)","69,347","(+/-4,670)","72,054","(+/-4,401)","66,955","(+/-4,227)","69,697","(+/-4,197)","60,297","(+/-3,947)"
Housing,"Year Householder Moved into Unit","Moved in 2000 to 2009","55,576","(+/-3,674)","49,631","(+/-3,831)","46,736","(+/-3,143)","45,128","(+/-3,291)","47,710","(+/-3,609)","49,487","(+/-4,144)","43,751","(+/-3,765)","47,918","(+/-3,125)","44,645","(+/-3,682)"
Housing,"Year Householder Moved into Unit","Moved in 1990 to 1999","34,934","(+/-2,924)","30,343","(+/-2,691)","32,544","(+/-2,600)","29,056","(+/-2,579)","24,996","(+/-2,699)","28,087","(+/-3,447)","22,555","(+/-2,161)","31,886","(+/-2,767)","28,333","(+/-3,084)"
Housing,"Year Householder Moved into Unit","Moved in 1989 and earlier","39,763","(+/-3,042)","26,178","(+/-2,619)","29,562","(+/-2,264)","24,771","(+/-2,241)","17,035","(+/-2,147)","23,649","(+/-2,021)","24,737","(+/-2,286)","30,626","(+/-2,387)","23,122","(+/-2,358)"
Housing,Value,"Owner-occupied units","243,424","(+/-5,452)","226,525","(+/-4,657)","225,223","(+/-4,866)","218,837","(+/-4,753)","220,989","(+/-6,628)","226,660","(+/-6,074)","216,570","(+/-6,109)","220,407","(+/-5,047)","144,647","(+/-5,543)"
Housing,Value,"Less than $50,000","20,978","(+/-2,430)","10,854","(+/-1,790)","12,396","(+/-1,827)","12,748","(+/-1,935)","4,920","(+/-1,159)","10,935","(+/-1,856)","8,834","(+/-1,593)","15,473","(+/-1,631)","11,039","(+/-1,847)"
Housing,Value,"$50,000 to $99,999","22,015","(+/-2,253)","10,438","(+/-1,906)","13,002","(+/-1,803)","12,500","(+/-1,667)","4,729","(+/-1,392)","11,468","(+/-1,629)","10,328","(+/-1,652)","26,647","(+/-2,654)","20,049","(+/-2,305)"
Housing,Value,"$100,000 to $149,999","28,707","(+/-3,125)","12,342","(+/-1,954)","15,584","(+/-1,798)","13,867","(+/-2,049)","4,800","(+/-1,162)","12,466","(+/-1,675)","10,003","(+/-1,696)","23,007","(+/-2,194)","17,913","(+/-2,037)"
Housing,Value,"$150,000 to $199,999","31,155","(+/-2,808)","17,363","(+/-1,815)","25,705","(+/-2,703)","18,539","(+/-2,312)","6,536","(+/-1,662)","16,533","(+/-2,406)","14,321","(+/-2,396)","24,656","(+/-2,379)","18,333","(+/-2,431)"
Housing,Value,"$200,000 to $299,999","58,810","(+/-4,620)","46,588","(+/-3,754)","56,018","(+/-4,318)","44,934","(+/-3,549)","24,005","(+/-3,051)","45,938","(+/-3,958)","42,538","(+/-4,023)","38,303","(+/-2,998)","38,332","(+/-3,267)"
Housing,Value,"$300,000 to $499,999","53,152","(+/-3,496)","75,302","(+/-3,806)","66,802","(+/-3,313)","72,431","(+/-4,466)","71,864","(+/-4,638)","72,767","(+/-4,329)","71,352","(+/-4,826)","53,403","(+/-3,166)","30,615","(+/-3,062)"
Housing,Value,"$500,000 to $999,999","23,820","(+/-2,641)","45,615","(+/-2,926)","31,237","(+/-2,805)","38,511","(+/-3,382)","73,122","(+/-3,965)","46,557","(+/-3,329)","45,564","(+/-3,280)","34,673","(+/-2,697)","7,076","(+/-1,523)"
Housing,Value,"$1,000,000 or more","4,787","(+/-1,067)","8,023","(+/-1,188)","4,479","(+/-1,146)","5,307","(+/-1,184)","31,013","(+/-2,354)","9,996","(+/-1,853)","13,630","(+/-1,957)","4,245","(+/-1,082)","1,290",(+/-629)
Housing,Value,"Median (dollars)","230,500","(+/-6,701)","336,000","(+/-7,821)","281,400","(+/-6,266)","316,400","(+/-7,692)","483,600","(+/-8,995)","335,300","(+/-8,010)","349,500","(+/-7,486)","248,800","(+/-7,039)","213,000","(+/-7,748)"
Housing,"Mortgage Status","Owner-occupied units","243,424","(+/-5,452)","226,525","(+/-4,657)","225,223","(+/-4,866)","218,837","(+/-4,753)","220,989","(+/-6,628)","226,660","(+/-6,074)","216,570","(+/-6,109)","220,407","(+/-5,047)","144,647","(+/-5,543)"
Housing,"Mortgage Status","Housing units with a mortgage","116,062","(+/-5,066)","129,735","(+/-4,611)","125,946","(+/-4,964)","126,230","(+/-4,670)","148,411","(+/-6,092)","130,556","(+/-5,762)","134,432","(+/-5,966)","121,586","(+/-5,143)","89,067","(+/-5,213)"
Housing,"Mortgage Status","Housing units without a mortgage","127,362","(+/-4,115)","96,790","(+/-4,424)","99,277","(+/-3,769)","92,607","(+/-4,401)","72,578","(+/-4,537)","96,104","(+/-5,172)","82,138","(+/-4,205)","98,821","(+/-4,414)","55,580","(+/-3,368)"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units with a mortgage","116,062","(+/-5,066)","129,735","(+/-4,611)","125,946","(+/-4,964)","126,230","(+/-4,670)","148,411","(+/-6,092)","130,556","(+/-5,762)","134,432","(+/-5,966)","121,586","(+/-5,143)","89,067","(+/-5,213)"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $500","1,940",(+/-735),"1,331",(+/-564),"1,524",(+/-555),"1,983",(+/-738),329,(+/-285),"1,786",(+/-742),"1,560",(+/-747),"2,339",(+/-774),"1,005",(+/-499)
Housing,"Selected Monthly Owner Costs(SMOC)","$500 to $999","39,337","(+/-3,308)","24,610","(+/-2,411)","25,235","(+/-2,874)","24,995","(+/-3,136)","10,290","(+/-1,786)","21,401","(+/-2,567)","17,720","(+/-2,350)","25,646","(+/-2,442)","18,147","(+/-2,445)"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 to $1,499","39,956","(+/-2,777)","42,530","(+/-3,652)","44,617","(+/-3,891)","37,873","(+/-3,419)","32,623","(+/-4,032)","38,020","(+/-3,786)","36,827","(+/-3,258)","35,476","(+/-2,855)","30,123","(+/-3,330)"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,500 to $1,999","17,877","(+/-2,047)","30,349","(+/-2,870)","26,661","(+/-2,758)","30,126","(+/-3,124)","33,587","(+/-2,837)","30,281","(+/-3,658)","30,856","(+/-3,704)","22,437","(+/-2,663)","20,940","(+/-2,572)"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,000 to $2,499","7,691","(+/-1,408)","14,149","(+/-1,971)","13,098","(+/-1,542)","16,640","(+/-2,700)","24,252","(+/-2,722)","17,483","(+/-2,678)","19,781","(+/-2,463)","15,338","(+/-2,243)","10,495","(+/-2,196)"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,500 to $2,999","4,341","(+/-1,245)","8,036","(+/-1,532)","6,365","(+/-1,549)","7,872","(+/-1,580)","17,353","(+/-2,580)","10,390","(+/-2,053)","10,951","(+/-1,871)","7,416","(+/-1,530)","3,944","(+/-1,234)"
Housing,"Selected Monthly Owner Costs(SMOC)","$3,000 or more","4,920","(+/-1,343)","8,730","(+/-1,480)","8,446","(+/-1,492)","6,741","(+/-1,537)","29,977","(+/-3,107)","11,195","(+/-1,783)","16,737","(+/-2,515)","12,934","(+/-2,161)","4,413",(+/-983)
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)","1,184",(+/-27),"1,457",(+/-34),"1,406",(+/-29),"1,478",(+/-49),"1,964",(+/-50),"1,560",(+/-53),"1,683",(+/-50),"1,458",(+/-38),"1,413",(+/-49)
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units without a mortgage","127,362","(+/-4,115)","96,790","(+/-4,424)","99,277","(+/-3,769)","92,607","(+/-4,401)","72,578","(+/-4,537)","96,104","(+/-5,172)","82,138","(+/-4,205)","98,821","(+/-4,414)","55,580","(+/-3,368)"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $250","25,499","(+/-2,763)","9,367","(+/-1,549)","11,781","(+/-1,451)","11,605","(+/-1,601)","3,797","(+/-1,391)","12,240","(+/-1,792)","9,106","(+/-1,646)","12,803","(+/-1,638)","4,574","(+/-1,067)"
Housing,"Selected Monthly Owner Costs(SMOC)","$250 to $399","47,740","(+/-3,535)","31,313","(+/-2,940)","29,028","(+/-2,478)","31,860","(+/-3,091)","10,437","(+/-1,561)","30,964","(+/-2,857)","22,048","(+/-2,347)","25,138","(+/-2,273)","12,150","(+/-1,630)"
Housing,"Selected Monthly Owner Costs(SMOC)","$400 to $599","35,640","(+/-2,776)","32,859","(+/-2,453)","33,510","(+/-2,714)","28,907","(+/-3,227)","24,259","(+/-2,931)","33,022","(+/-2,763)","27,416","(+/-2,917)","29,616","(+/-2,369)","19,721","(+/-1,934)"
Housing,"Selected Monthly Owner Costs(SMOC)","$600 to $799","10,100","(+/-1,641)","13,790","(+/-1,886)","14,329","(+/-1,814)","12,122","(+/-1,701)","15,876","(+/-2,082)","11,980","(+/-2,063)","13,577","(+/-1,948)","14,126","(+/-2,001)","10,357","(+/-1,576)"
Housing,"Selected Monthly Owner Costs(SMOC)","$800 to $999","4,269","(+/-1,073)","4,338","(+/-1,059)","4,230","(+/-1,082)","3,717",(+/-798),"7,975","(+/-1,487)","4,145","(+/-1,008)","4,000","(+/-1,007)","7,781","(+/-1,305)","4,735","(+/-1,351)"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 or more","4,114",(+/-946),"5,123","(+/-1,253)","6,399","(+/-1,426)","4,396",(+/-842),"10,234","(+/-1,583)","3,753","(+/-1,060)","5,991","(+/-1,225)","9,357","(+/-1,596)","4,043","(+/-1,029)"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",373,(+/-8),441,(+/-12),442,(+/-11),417,(+/-14),581,(+/-18),426,(+/-14),467,(+/-17),469,(+/-13),493,(+/-16)
Housing,"Gross Rent","Occupied units paying rent","77,864","(+/-4,355)","89,370","(+/-4,198)","90,725","(+/-4,167)","79,349","(+/-4,179)","103,106","(+/-7,101)","97,087","(+/-4,832)","115,679","(+/-5,321)","75,290","(+/-4,055)","151,937","(+/-5,707)"
Housing,"Gross Rent","Less than $500","10,430","(+/-1,752)","8,294","(+/-1,591)","8,775","(+/-1,354)","5,019","(+/-1,197)","3,681","(+/-1,212)","10,180","(+/-1,930)","7,169","(+/-1,667)","8,910","(+/-1,462)","6,162","(+/-1,590)"
Housing,"Gross Rent","$500 to $999","38,844","(+/-3,535)","26,115","(+/-3,188)","30,717","(+/-2,687)","22,819","(+/-2,925)","11,110","(+/-2,236)","22,538","(+/-2,721)","18,315","(+/-2,747)","34,896","(+/-3,259)","40,631","(+/-3,472)"
Housing,"Gross Rent","$1,000 to $1,499","20,869","(+/-2,415)","26,887","(+/-2,831)","30,419","(+/-2,876)","25,194","(+/-3,003)","28,767","(+/-3,709)","31,912","(+/-4,017)","33,617","(+/-3,457)","18,574","(+/-2,713)","65,380","(+/-5,410)"
Housing,"Gross Rent","$1,500 to $1,999","4,771","(+/-1,383)","16,812","(+/-2,046)","13,125","(+/-1,817)","16,270","(+/-2,344)","34,517","(+/-5,080)","20,245","(+/-3,226)","29,121","(+/-3,035)","6,681","(+/-1,498)","29,720","(+/-3,887)"
Housing,"Gross Rent","$2,000 to $2,499","2,317","(+/-1,208)","6,201","(+/-1,432)","4,846","(+/-1,485)","7,577","(+/-1,686)","17,652","(+/-2,939)","6,818","(+/-1,597)","17,370","(+/-3,126)","4,047","(+/-1,327)","6,423","(+/-1,694)"
Housing,"Gross Rent","$2,500 to $2,999",71,(+/-116),"2,677",(+/-980),"1,696",(+/-754),"1,834","(+/-1,121)","3,737","(+/-1,215)","3,591","(+/-1,619)","4,930","(+/-1,567)",589,(+/-404),"1,642",(+/-967)
Housing,"Gross Rent","$3,000 or more",562,(+/-357),"2,384",(+/-855),"1,147",(+/-512),636,(+/-457),"3,642","(+/-1,285)","1,803",(+/-766),"5,157","(+/-1,701)","1,593",(+/-732),"1,979",(+/-957)
Housing,"Gross Rent","Median (dollars)",885,(+/-28),"1,203",(+/-56),"1,106",(+/-40),"1,218",(+/-50),"1,616",(+/-50),"1,258",(+/-47),"1,481",(+/-53),912,(+/-35),"1,193",(+/-24)
Housing,"Gross Rent","No rent paid","9,711","(+/-1,878)","7,620","(+/-1,663)","8,109","(+/-1,683)","7,591","(+/-1,479)","3,259","(+/-1,147)","7,234","(+/-1,669)","7,177","(+/-1,516)","8,816","(+/-1,694)","6,020","(+/-1,443)"
Socioeconomic,"Income and Benefits (In 2023 inflation-adjusted dollars)","Total households","330,999","(+/-4,272)","323,515","(+/-4,257)","324,057","(+/-3,530)","305,777","(+/-3,381)","327,354","(+/-5,696)","330,981","(+/-5,672)","339,426","(+/-6,555)","304,513","(+/-4,838)","302,604","(+/-4,120)"
Socioeconomic,"Income and Benefits (In 2023 inflation-adjusted dollars)","Less than $10,000","19,967","(+/-2,477)","16,270","(+/-2,199)","17,469","(+/-1,998)","12,080","(+/-2,090)","10,899","(+/-2,379)","18,885","(+/-2,758)","19,322","(+/-3,059)","19,760","(+/-2,855)","26,595","(+/-3,292)"
Socioeconomic,"Income and Benefits (In 2023 inflation-adjusted dollars)","$10,000 to $14,999","17,056","(+/-2,002)","11,450","(+/-1,881)","15,576","(+/-2,313)","13,518","(+/-2,162)","8,269","(+/-2,033)","13,033","(+/-2,130)","10,355","(+/-2,020)","14,953","(+/-1,897)","15,431","(+/-2,226)"
Socioeconomic,"Income and Benefits (In 2023 inflation-adjusted dollars)","$15,000 to $24,999","32,801","(+/-3,685)","25,365","(+/-2,507)","26,052","(+/-2,916)","22,263","(+/-2,871)","10,937","(+/-1,839)","25,694","(+/-3,168)","20,415","(+/-3,056)","21,499","(+/-2,494)","31,010","(+/-4,445)"
Socioeconomic,"Income and Benefits (In 2023 inflation-adjusted dollars)","$25,000 to $34,999","33,232","(+/-3,001)","24,624","(+/-2,645)","26,181","(+/-2,531)","22,045","(+/-2,635)","16,191","(+/-2,804)","22,461","(+/-3,105)","21,604","(+/-2,933)","24,549","(+/-2,664)","29,868","(+/-3,430)"
Socioeconomic,"Income and Benefits (In 2023 inflation-adjusted dollars)","$35,000 to $49,999","46,201","(+/-3,570)","35,735","(+/-2,936)","40,721","(+/-3,242)","39,923","(+/-3,618)","32,155","(+/-3,890)","39,646","(+/-3,137)","38,276","(+/-4,232)","38,110","(+/-2,987)","36,382","(+/-3,711)"
Socioeconomic,"Income and Benefits (In 2023 inflation-adjusted dollars)","$50,000 to $74,999","58,914","(+/-4,204)","57,723","(+/-3,700)","54,182","(+/-3,652)","57,723","(+/-4,086)","52,097","(+/-5,032)","56,941","(+/-3,945)","60,007","(+/-5,703)","49,709","(+/-3,868)","55,906","(+/-5,204)"
Socioeconomic,"Income and Benefits (In 2023 inflation-adjusted dollars)","$75,000 to $99,999","43,039","(+/-3,799)","39,225","(+/-3,312)","43,542","(+/-3,538)","39,793","(+/-3,562)","44,476","(+/-3,790)","47,391","(+/-3,719)","45,539","(+/-4,371)","35,669","(+/-2,559)","38,812","(+/-3,771)"
Socioeconomic,"Income and Benefits (In 2023 inflation-adjusted dollars)","$100,000 to $149,999","45,796","(+/-3,858)","56,940","(+/-4,173)","54,541","(+/-3,576)","56,853","(+/-4,133)","62,387","(+/-4,570)","53,689","(+/-3,356)","67,402","(+/-4,753)","51,504","(+/-3,444)","39,432","(+/-3,795)"
Socioeconomic,"Income and Benefits (In 2023 inflation-adjusted dollars)","$150,000 to $199,999","17,338","(+/-2,224)","24,285","(+/-2,674)","19,771","(+/-2,420)","23,825","(+/-2,643)","35,968","(+/-3,460)","26,343","(+/-3,661)","23,293","(+/-2,891)","21,194","(+/-2,669)","16,040","(+/-2,255)"
Socioeconomic,"Income and Benefits (In 2023 inflation-adjusted dollars)","$200,000 or more","16,655","(+/-2,374)","31,898","(+/-2,513)","26,022","(+/-2,694)","17,754","(+/-2,372)","53,975","(+/-3,713)","26,898","(+/-3,145)","33,213","(+/-3,075)","27,566","(+/-2,450)","13,128","(+/-1,949)"
Socioeconomic,"Income and Benefits (In 2023 inflation-adjusted dollars)","Median household income (dollars)","55,431","(+/-1,686)","70,762","(+/-1,648)","65,934","(+/-1,878)","66,901","(+/-2,982)","92,367","(+/-2,621)","69,381","(+/-2,633)","74,881","(+/-2,723)","65,691","(+/-1,699)","53,598","(+/-2,572)"
